true_strain,true_stress,time,engineering_strain,engineering_stress
0.000000000000000000e+00,0.000000000000000000e+00,1.662009999999999854e+04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.662820000000000073e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.202890000000000046e-04,1.822498591000000001e+00,1.662829999999999927e+04,2.202650000000000061e-04,1.822900112093190250e+00
6.500340000000000176e-05,2.154160905999999986e+00,1.662840000000000146e+04,6.500130000000000393e-05,2.154300938361584539e+00
1.814660000000000003e-04,2.199086567999999797e+00,1.662840000000000146e+04,1.814490000000000037e-04,2.199485662473970038e+00
1.685249999999999899e-04,2.409989069999999955e+00,1.662850000000000000e+04,1.685110000000000134e-04,2.410395248113654798e+00
1.426429999999999961e-04,2.771518423999999925e+00,1.662850000000000000e+04,1.426330000000000013e-04,2.771913790379663123e+00
3.626559999999999918e-04,2.816097429000000041e+00,1.662859999999999854e+04,3.625899999999999826e-04,2.817118888137649879e+00
1.814650000000000117e-04,3.208185144000000211e+00,1.662859999999999854e+04,1.814490000000000037e-04,3.208767371630814935e+00
3.108839999999999867e-04,3.508955358000000135e+00,1.662870000000000073e+04,3.108349999999999742e-04,3.510046403273761495e+00
2.073479999999999941e-04,3.193050445999999987e+00,1.662870000000000073e+04,2.073260000000000001e-04,3.193712585655533509e+00
2.849990000000000271e-04,3.885532573999999961e+00,1.662879999999999927e+04,2.849579999999999778e-04,3.886640103190524886e+00
3.626559999999999918e-04,4.035805563000000262e+00,1.662879999999999927e+04,3.625899999999999826e-04,4.037269436524989707e+00
4.014859999999999978e-04,4.291640362999999958e+00,1.662890000000000146e+04,4.014059999999999850e-04,4.293363744967412465e+00
5.309330000000000343e-04,4.577136824000000104e+00,1.662890000000000146e+04,5.307919999999999826e-04,4.579567621857140836e+00
6.992399999999999527e-04,4.832281827000000085e+00,1.662900000000000000e+04,6.989949999999999983e-04,4.835661930511117923e+00
5.179880000000000422e-04,5.119213432999999647e+00,1.662900000000000000e+04,5.178539999999999923e-04,5.121865811698050663e+00
