true_strain,true_stress,time,engineering_strain,engineering_stress
3.238259999999999858e-04,5.285858318999999916e+00,1.662909999999999854e+04,3.237739999999999802e-04,5.287570296785271573e+00
6.215559999999999965e-04,5.510108759000000411e+00,1.662909999999999854e+04,6.213629999999999935e-04,5.513534665440322335e+00
6.086089999999999729e-04,5.675783767000000424e+00,1.662920000000000073e+04,6.084239999999999874e-04,5.679239152402061563e+00
6.345030000000000201e-04,6.097147692000000063e+00,1.662920000000000073e+04,6.343019999999999995e-04,6.101017579652808998e+00
5.568250000000000500e-04,6.263233569999999695e+00,1.662929999999999927e+04,5.566699999999999947e-04,6.266722066172576433e+00
5.697700000000000421e-04,6.910526324000000109e+00,1.662929999999999927e+04,5.696079999999999850e-04,6.914464858499120403e+00
6.992399999999999527e-04,7.195635496000000408e+00,1.662940000000000146e+04,6.989960000000000140e-04,7.200668734642841073e+00
6.603960000000000516e-04,7.060429966000000057e+00,1.662940000000000146e+04,6.601779999999999801e-04,7.065094185749359212e+00
7.510299999999999702e-04,7.436121412000000319e+00,1.662950000000000000e+04,7.507479999999999752e-04,7.441708259592472174e+00
9.064239999999999667e-04,7.645664113999999678e+00,1.662950000000000000e+04,9.060140000000000164e-04,7.652597474448214143e+00
8.287249999999999912e-04,7.962329972000000033e+00,1.662959999999999854e+04,8.283820000000000116e-04,7.968931291240901160e+00
8.416749999999999536e-04,8.112729465999999334e+00,1.662959999999999854e+04,8.413210000000000176e-04,8.119560622862787014e+00
9.193740000000000375e-04,8.548551271999999202e+00,1.662970000000000073e+04,9.189520000000000067e-04,8.556414205947383778e+00
1.269100000000000002e-03,8.756204230999999893e+00,1.662970000000000073e+04,1.268295000000000013e-03,8.767323783918525848e+00
1.100700000000000029e-03,9.178993330999999145e+00,1.662979999999999927e+04,1.100094000000000028e-03,9.189102207203530881e+00
9.064220000000000436e-04,9.677439847000000483e+00,1.662979999999999927e+04,9.060119999999999849e-04,9.686215674635807460e+00
1.022984000000000003e-03,9.856886350999999991e+00,1.662990000000000146e+04,1.022460999999999899e-03,9.866974948072380514e+00
9.970800000000000149e-04,1.003772082000000054e+01,1.662990000000000146e+04,9.965830000000001042e-04,1.004773422111328074e+01
1.087744999999999988e-03,1.047318944000000052e+01,1.663000000000000000e+04,1.087153999999999898e-03,1.048458780156682479e+01
1.048887999999999990e-03,1.071436289000000031e+01,1.663000000000000000e+04,1.048338000000000004e-03,1.072560695134015418e+01
1.372745000000000085e-03,1.119227056999999981e+01,1.663009999999999854e+04,1.371802999999999998e-03,1.120764525137877676e+01
1.126606999999999956e-03,1.105960385999999929e+01,1.663009999999999854e+04,1.125972000000000041e-03,1.107207070159201123e+01
9.711760000000000271e-04,1.169339684999999918e+01,1.663020000000000073e+04,9.707049999999999837e-04,1.170475871781117227e+01
1.204322999999999982e-03,1.181102525000000014e+01,1.663020000000000073e+04,1.203597999999999951e-03,1.182525810700707858e+01
1.333877000000000023e-03,1.208028282999999981e+01,1.663029999999999927e+04,1.332988000000000011e-03,1.209640719563489597e+01
1.204327000000000045e-03,1.239782136000000001e+01,1.663029999999999927e+04,1.203602000000000014e-03,1.241276138442782084e+01
1.372745000000000085e-03,1.266651066000000014e+01,1.663040000000000146e+04,1.371802999999999998e-03,1.268391048645705332e+01
1.320919000000000043e-03,1.307335387000000004e+01,1.663040000000000146e+04,1.320046999999999974e-03,1.309063412230124079e+01
1.554152000000000051e-03,1.350645991999999929e+01,1.663050000000000000e+04,1.552945000000000020e-03,1.352746733275706781e+01
1.282053999999999919e-03,1.396148522000000014e+01,1.663050000000000000e+04,1.281231999999999987e-03,1.397939606958502701e+01
1.489361000000000027e-03,1.406387888999999980e+01,1.663059999999999854e+04,1.488252000000000021e-03,1.408484068231513753e+01
1.567108999999999907e-03,1.436359275000000046e+01,1.663059999999999854e+04,1.565881999999999994e-03,1.438611971591299366e+01
1.502316999999999975e-03,1.459012824000000030e+01,1.663070000000000073e+04,1.501188999999999996e-03,1.461206370930771214e+01
1.567112999999999970e-03,1.475462789999999913e+01,1.663070000000000073e+04,1.565886000000000057e-03,1.477776820033614946e+01
1.605990000000000065e-03,1.497965605999999994e+01,1.663079999999999927e+04,1.604701000000000044e-03,1.500373256465022642e+01
1.722629000000000044e-03,1.547414647999999993e+01,1.663079999999999927e+04,1.721146000000000004e-03,1.550082566408844187e+01
1.709669000000000032e-03,1.574503291999999988e+01,1.663090000000000146e+04,1.708209000000000029e-03,1.577197474921438136e+01
1.476403999999999954e-03,1.591416614000000074e+01,1.663090000000000146e+04,1.475315000000000046e-03,1.593767923724389490e+01
1.528234000000000059e-03,1.606376098000000141e+01,1.663100000000000000e+04,1.527067000000000008e-03,1.608832893620362370e+01
1.735591999999999994e-03,1.682734037000000171e+01,1.663100000000000000e+04,1.734087000000000042e-03,1.685657113086260495e+01
1.826319999999999983e-03,1.676566379000000140e+01,1.663109999999999854e+04,1.824653999999999989e-03,1.679631124650117613e+01
1.955951000000000044e-03,1.721453624000000104e+01,1.663109999999999854e+04,1.954038999999999863e-03,1.724823997358975447e+01
1.761510999999999893e-03,1.775922751999999960e+01,1.663120000000000073e+04,1.759960999999999991e-03,1.779053817335411480e+01
2.007814000000000126e-03,1.792020570000000035e+01,1.663120000000000073e+04,2.005798999999999950e-03,1.795622227267831406e+01
1.994847000000000113e-03,1.810085744999999946e+01,1.663129999999999927e+04,1.992858000000000129e-03,1.813700191937103412e+01
1.813359999999999972e-03,1.841990352999999914e+01,1.663129999999999927e+04,1.811717000000000015e-03,1.845333575208876553e+01
2.020773000000000014e-03,1.858145336999999842e+01,1.663140000000000146e+04,2.018732000000000078e-03,1.861904022230605449e+01
2.046707000000000040e-03,1.903195586000000006e+01,1.663140000000000146e+04,2.044614000000000154e-03,1.907094858847728247e+01
2.137468000000000007e-03,1.949621502000000106e+01,1.663150000000000000e+04,2.135184999999999948e-03,1.953793211959277443e+01
2.111534999999999888e-03,1.999278551000000093e+01,1.663150000000000000e+04,2.109306999999999935e-03,2.003504557187006441e+01
2.085602000000000202e-03,1.985801189000000022e+01,1.663159999999999854e+04,2.083428999999999923e-03,1.989947102501818321e+01
1.955951000000000044e-03,2.011616023999999925e+01,1.663159999999999854e+04,1.954038999999999863e-03,2.015554496091989023e+01
2.163397999999999970e-03,2.090857345999999950e+01,1.663170000000000073e+04,2.161058999999999897e-03,2.095385597904822461e+01
2.280105000000000152e-03,2.105654163000000167e+01,1.663170000000000073e+04,2.277508000000000137e-03,2.110460754251494109e+01
2.163397999999999970e-03,2.131451978000000125e+01,1.663179999999999927e+04,2.161058999999999897e-03,2.136068147294323794e+01
2.085602000000000202e-03,2.158676218000000091e+01,1.663179999999999927e+04,2.083428999999999923e-03,2.163183056311828878e+01
2.228237000000000100e-03,2.195931692999999996e+01,1.663190000000000146e+04,2.225756000000000175e-03,2.200830204031604609e+01
2.189331999999999997e-03,2.257649441999999951e+01,1.663190000000000146e+04,2.186936999999999909e-03,2.262597600408444620e+01
2.435735999999999978e-03,2.254085521000000014e+01,1.663200000000000000e+04,2.432772000000000146e-03,2.259582570208491248e+01
2.370882999999999845e-03,2.260247491999999880e+01,1.663200000000000000e+04,2.368074999999999868e-03,2.265612632635027168e+01
2.319009999999999821e-03,2.334000929999999840e+01,1.663209999999999854e+04,2.316322999999999906e-03,2.339419781847347579e+01
2.461676999999999789e-03,2.359212401999999997e+01,1.663209999999999854e+04,2.458650000000000158e-03,2.365027176066435644e+01
2.630307000000000131e-03,2.369339491999999936e+01,1.663220000000000073e+04,2.626850000000000018e-03,2.375579783754956509e+01
2.435735999999999978e-03,2.378823630999999850e+01,1.663220000000000073e+04,2.432772000000000146e-03,2.384624879637685879e+01
2.617336000000000055e-03,2.441480874000000156e+01,1.663229999999999927e+04,2.613912999999999827e-03,2.447879417832705684e+01
2.474646000000000051e-03,2.446340641999999832e+01,1.663229999999999927e+04,2.471586999999999916e-03,2.452401966819966717e+01
2.500584000000000140e-03,2.492852816999999988e+01,1.663240000000000146e+04,2.497460999999999865e-03,2.499094207318102789e+01
2.747064999999999924e-03,2.541829678999999942e+01,1.663240000000000146e+04,2.743295000000000195e-03,2.548821849234897030e+01
2.552471000000000167e-03,2.548318722000000136e+01,1.663250000000000000e+04,2.549216999999999889e-03,2.554831541999000066e+01
2.591389999999999839e-03,2.573760667000000169e+01,1.663250000000000000e+04,2.588034999999999815e-03,2.580438933274677638e+01
2.656252999999999913e-03,2.620182428000000030e+01,1.663259999999999854e+04,2.652728000000000030e-03,2.627151546467558063e+01
3.019566000000000004e-03,2.659770234999999872e+01,1.663259999999999854e+04,3.015012000000000074e-03,2.667813725395832947e+01
2.954675999999999830e-03,2.685474677999999926e+01,1.663270000000000073e+04,2.950314999999999795e-03,2.693421118727899710e+01
2.876819000000000077e-03,2.687186953000000145e+01,1.663270000000000073e+04,2.872684999999999822e-03,2.694928634063143846e+01
2.967655000000000032e-03,2.762034360000000177e+01,1.663279999999999927e+04,2.963256000000000050e-03,2.770243300080423410e+01
2.902772000000000078e-03,2.784760765000000049e+01,1.663279999999999927e+04,2.898562999999999834e-03,2.792856034164957535e+01
2.785990999999999815e-03,2.774562738999999922e+01,1.663290000000000146e+04,2.782114000000000028e-03,2.782303424309017714e+01
3.175312000000000013e-03,2.826037914999999856e+01,1.663290000000000146e+04,3.170276000000000084e-03,2.835025729028120267e+01
2.967655000000000032e-03,2.849150236999999919e+01,1.663300000000000000e+04,2.963256000000000050e-03,2.857618090953727119e+01
2.863841000000000216e-03,2.908030382999999830e+01,1.663300000000000000e+04,2.859744000000000001e-03,2.916370455913074622e+01
3.058495000000000050e-03,2.917984760999999949e+01,1.663309999999999854e+04,3.053823000000000214e-03,2.926923065978114380e+01
2.941701000000000125e-03,2.949849799000000061e+01,1.663309999999999854e+04,2.937378000000000038e-03,2.958540149747986803e+01
3.006585999999999894e-03,2.997733769999999964e+01,1.663320000000000073e+04,3.002070999999999820e-03,3.006760277834037609e+01
3.097434000000000038e-03,3.012469670999999849e+01,1.663320000000000073e+04,3.092642000000000047e-03,3.021815063180624961e+01
3.227228999999999862e-03,3.066133779999999831e+01,1.663329999999999927e+04,3.222028000000000045e-03,3.076044882741449626e+01
3.253190999999999895e-03,3.109589528000000058e+01,1.663329999999999927e+04,3.247906000000000057e-03,3.119722092101268274e+01
3.201268000000000169e-03,3.097749719000000113e+01,1.663340000000000146e+04,3.196150000000000033e-03,3.107682337904292780e+01
3.175307999999999950e-03,3.144374352999999900e+01,1.663340000000000146e+04,3.170272000000000021e-03,3.154374578403423968e+01
3.201268000000000169e-03,3.174326364999999939e+01,1.663350000000000000e+04,3.196150000000000033e-03,3.184504519118781118e+01
3.434940000000000042e-03,3.211123056999999648e+01,1.663350000000000000e+04,3.429047000000000171e-03,3.222172036354746183e+01
3.564775000000000062e-03,3.254227953000000184e+01,1.663359999999999854e+04,3.558429000000000106e-03,3.265849245665404510e+01
3.408973000000000038e-03,3.217195679000000297e+01,1.663359999999999854e+04,3.403169000000000159e-03,3.228181726979624244e+01
3.551795999999999860e-03,3.266287556999999708e+01,1.663370000000000073e+04,3.545495999999999977e-03,3.277909371565246488e+01
3.499857999999999789e-03,3.290472886999999957e+01,1.663370000000000073e+04,3.493739999999999953e-03,3.302009248792877827e+01
3.421954999999999962e-03,3.338764335999999844e+01,1.663379999999999927e+04,3.416105999999999917e-03,3.350209005083519287e+01
3.629704999999999997e-03,3.393606167000000084e+01,1.663379999999999927e+04,3.623125999999999951e-03,3.405946339738110140e+01
3.551791999999999797e-03,3.375844535000000235e+01,1.663390000000000146e+04,3.545491999999999914e-03,3.387856151883654121e+01
3.525822999999999978e-03,3.438984415000000183e+01,1.663390000000000146e+04,3.519613999999999902e-03,3.451131064209426569e+01
3.889455999999999903e-03,3.428724131999999969e+01,1.663400000000000000e+04,3.881902000000000009e-03,3.442085972420511553e+01
3.538808999999999965e-03,3.434433183000000156e+01,1.663400000000000000e+04,3.532555000000000157e-03,3.446608517150302475e+01
3.811521999999999914e-03,3.469519137000000342e+01,1.663409999999999854e+04,3.804267999999999973e-03,3.482768521839039977e+01
3.772559999999999889e-03,3.508681843000000100e+01,1.663409999999999854e+04,3.765453000000000203e-03,3.521943555928501723e+01
3.629700999999999934e-03,3.516673095000000160e+01,1.663420000000000073e+04,3.623121999999999888e-03,3.529460761934702617e+01
3.876459999999999975e-03,3.544317116999999939e+01,1.663420000000000073e+04,3.868957000000000125e-03,3.558083187856238538e+01
3.863477000000000144e-03,3.577380297999999925e+01,1.663429999999999927e+04,3.856023999999999997e-03,3.591228159974336620e+01
3.967387000000000170e-03,3.584516323999999798e+01,1.663429999999999927e+04,3.959528000000000353e-03,3.598765737703878642e+01
4.032339000000000236e-03,3.588787856999999804e+01,1.663440000000000146e+04,4.024220000000000227e-03,3.603288281769261658e+01
3.941410999999999699e-03,3.589114195999999879e+01,1.663440000000000146e+04,3.933653999999999970e-03,3.603288285376925870e+01
3.915430999999999599e-03,3.650713172999999756e+01,1.663450000000000000e+04,3.907775999999999958e-03,3.665035310023662873e+01
4.188246999999999977e-03,3.657223410999999658e+01,1.663450000000000000e+04,4.179488000000000300e-03,3.672572885303249990e+01
4.227225000000000253e-03,3.672072139000000135e+01,1.663459999999999854e+04,4.218302999999999636e-03,3.687627669862664703e+01
4.149270000000000042e-03,3.690373692000000005e+01,1.663459999999999854e+04,4.140673000000000097e-03,3.705717857879740507e+01
4.318184000000000085e-03,3.694253446999999824e+01,1.663470000000000073e+04,4.308873999999999864e-03,3.710240405416649168e+01
4.461132999999999939e-03,3.729704161000000084e+01,1.663470000000000073e+04,4.451196999999999619e-03,3.746380036579683548e+01
4.422144999999999722e-03,3.729849577000000238e+01,1.663479999999999927e+04,4.412382000000000283e-03,3.746380036839711636e+01
4.435139999999999742e-03,3.762799404999999808e+01,1.663479999999999927e+04,4.425318999999999607e-03,3.779525008832561639e+01
4.435139999999999742e-03,3.762799404999999808e+01,1.663490000000000146e+04,4.425318999999999607e-03,3.779525008832561639e+01
4.461132999999999939e-03,3.782191787000000005e+01,1.663490000000000146e+04,4.451196999999999619e-03,3.799102339938225725e+01
4.617103000000000006e-03,3.777100209999999691e+01,1.663500000000000000e+04,4.606461000000000063e-03,3.794579793831672987e+01
4.747099999999999757e-03,3.791612992999999676e+01,1.663500000000000000e+04,4.735849999999999782e-03,3.809654947382561119e+01
4.656101999999999637e-03,3.826449553999999864e+01,1.663509999999999854e+04,4.645279999999999895e-03,3.844307438457718717e+01
4.565109000000000354e-03,3.817793855000000036e+01,1.663509999999999854e+04,4.554705000000000038e-03,3.835262343572581756e+01
4.812099000000000237e-03,3.824352408000000025e+01,1.663520000000000073e+04,4.800539000000000368e-03,3.842799918879779142e+01
4.838106000000000004e-03,3.845236031999999682e+01,1.663520000000000073e+04,4.826421000000000010e-03,3.863884766578996732e+01
4.890109999999999596e-03,3.857017088999999999e+01,1.663529999999999927e+04,4.878173000000000405e-03,3.875924519340284036e+01
4.877105999999999976e-03,3.854087158000000102e+01,1.663529999999999927e+04,4.865231999999999717e-03,3.872929860290038562e+01
4.968127999999999607e-03,3.853736367999999857e+01,1.663540000000000146e+04,4.955806999999999574e-03,3.872929860915232325e+01
5.020138999999999851e-03,3.923973559000000222e+01,1.663540000000000146e+04,5.007558999999999969e-03,3.943721979491903085e+01
4.942117000000000211e-03,3.883797737999999811e+01,1.663550000000000000e+04,4.929924999999999932e-03,3.903039429660267956e+01
5.306261999999999958e-03,3.879404920000000345e+01,1.663550000000000000e+04,5.292208999999999976e-03,3.900044772043009544e+01
5.202209000000000173e-03,3.920259799000000100e+01,1.663559999999999854e+04,5.188701000000000424e-03,3.940706949087437039e+01
5.371301000000000200e-03,3.915098649000000108e+01,1.663559999999999854e+04,5.356902000000000191e-03,3.936184403101342610e+01
5.007133000000000417e-03,3.922524608999999884e+01,1.663570000000000073e+04,4.994618000000000148e-03,3.942214464323370038e+01
5.254235999999999802e-03,3.957525968000000205e+01,1.663570000000000073e+04,5.240456999999999581e-03,3.978374468331187330e+01
5.527413000000000118e-03,3.927980355999999773e+01,1.663579999999999927e+04,5.512165000000000294e-03,3.949752040958851751e+01
5.501391999999999914e-03,3.947552491999999802e+01,1.663579999999999927e+04,5.486287000000000282e-03,3.969329372133051237e+01
5.553434999999999795e-03,3.947347056000000265e+01,1.663590000000000146e+04,5.538043000000000306e-03,3.969329372747439066e+01
5.527413000000000118e-03,3.969917602999999673e+01,1.663590000000000146e+04,5.512165000000000294e-03,3.991921734266362165e+01
5.592467000000000271e-03,3.996623048000000011e+01,1.663600000000000000e+04,5.576857999999999642e-03,4.019036644664087987e+01
5.657525000000000054e-03,4.017328940000000159e+01,1.663600000000000000e+04,5.641550999999999857e-03,4.040121491440155665e+01
5.436349000000000042e-03,3.973277825000000263e+01,1.663609999999999854e+04,5.421597999999999695e-03,3.994936766181657362e+01
6.021929999999999991e-03,3.975447221999999670e+01,1.663609999999999854e+04,6.003834999999999901e-03,3.999459315821404459e+01
5.722587000000000333e-03,4.027559966999999830e+01,1.663620000000000073e+04,5.706244000000000073e-03,4.050674101789289949e+01
5.917798999999999629e-03,4.023776575000000122e+01,1.663620000000000073e+04,5.900322999999999853e-03,4.047659070912262536e+01
5.839711000000000034e-03,4.015098368000000306e+01,1.663629999999999927e+04,5.822693000000000313e-03,4.038613977335534599e+01
5.956849000000000172e-03,4.016126638000000071e+01,1.663629999999999927e+04,5.939141999999999685e-03,4.040121493245637652e+01
6.074000000000000406e-03,4.030640037999999947e+01,1.663640000000000146e+04,6.055590999999999925e-03,4.055196650339023279e+01
6.060979999999999666e-03,4.033689328999999901e+01,1.663640000000000146e+04,6.042650000000000104e-03,4.058211681819144445e+01
6.243239999999999727e-03,4.023965418000000227e+01,1.663650000000000000e+04,6.223791000000000219e-03,4.049166584546401282e+01
6.412507999999999923e-03,4.063686610999999971e+01,1.663650000000000000e+04,6.391991999999999986e-03,4.089828763739190265e+01
6.295321000000000423e-03,4.032744181000000339e+01,1.663659999999999854e+04,6.275547000000000243e-03,4.058211679128319105e+01
6.295321000000000423e-03,4.053696708999999743e+01,1.663659999999999854e+04,6.275547000000000243e-03,4.079296526076328178e+01
6.438552999999999638e-03,4.054613971999999933e+01,1.663670000000000073e+04,6.417869999999999998e-03,4.080804041835978069e+01
6.438552999999999638e-03,4.056111812999999700e+01,1.663670000000000073e+04,6.417869999999999998e-03,4.082311557877957853e+01
6.568782999999999914e-03,4.088511582999999661e+01,1.663679999999999927e+04,6.547256000000000430e-03,4.115456530461804618e+01
6.490641000000000119e-03,4.054402781999999661e+01,1.663679999999999927e+04,6.469622000000000393e-03,4.080804041605257737e+01
6.529713000000000357e-03,4.079685099999999665e+01,1.663690000000000146e+04,6.508441000000000226e-03,4.106411436556553696e+01
6.633904999999999837e-03,4.094215297000000220e+01,1.663690000000000146e+04,6.611948999999999778e-03,4.121466221461526658e+01
6.829293999999999643e-03,4.090420896999999911e+01,1.663700000000000000e+04,6.806028000000000425e-03,4.118451191123418909e+01
7.141998999999999570e-03,4.090638792000000024e+01,1.663700000000000000e+04,7.116555000000000103e-03,4.119958704719867626e+01
6.829298000000000139e-03,4.088923625000000328e+01,1.663709999999999854e+04,6.806030999999999713e-03,4.116943671251793546e+01
6.920489999999999628e-03,4.108013311999999928e+01,1.663709999999999854e+04,6.896598000000000311e-03,4.136541374973559471e+01
7.050787000000000200e-03,4.101490390000000019e+01,1.663720000000000073e+04,7.025988000000000372e-03,4.130511312918429212e+01
7.089876999999999638e-03,4.110311257000000040e+01,1.663720000000000073e+04,7.064802999999999708e-03,4.139556407526563220e+01
7.050782999999999703e-03,4.107478102000000320e+01,1.663729999999999927e+04,7.025983999999999875e-03,4.136541375519740171e+01
7.076848000000000166e-03,4.117829006000000192e+01,1.663729999999999927e+04,7.051866000000000384e-03,4.147073613413930815e+01
7.376589000000000236e-03,4.110629386000000096e+01,1.663740000000000146e+04,7.349449000000000086e-03,4.141063924116031103e+01
7.128968999999999757e-03,4.125098420999999860e+01,1.663740000000000146e+04,7.103617999999999912e-03,4.154611191845394558e+01
7.624274999999999802e-03,4.135024267000000009e+01,1.663750000000000000e+04,7.595283000000000416e-03,4.166671314803917880e+01
7.324454999999999681e-03,4.152705645999999717e+01,1.663750000000000000e+04,7.297696999999999691e-03,4.183233617420145833e+01
7.533014999999999677e-03,4.121935827000000074e+01,1.663759999999999854e+04,7.504712999999999662e-03,4.153103678163864032e+01
7.598203000000000422e-03,4.129147657000000038e+01,1.663759999999999854e+04,7.569409000000000033e-03,4.160641252341243046e+01
7.650350999999999679e-03,4.158832652000000252e+01,1.663770000000000073e+04,7.621161000000000428e-03,4.190771193983511012e+01
7.585162999999999801e-03,4.136682120999999768e+01,1.663770000000000073e+04,7.556468999999999686e-03,4.168178835154299122e+01
7.598203000000000422e-03,4.145584591000000074e+01,1.663779999999999927e+04,7.569409000000000033e-03,4.177203553170198802e+01
7.937227999999999298e-03,4.163622139999999661e+01,1.663779999999999927e+04,7.905811000000000435e-03,4.196801257546726305e+01
7.845922999999999439e-03,4.131116378000000111e+01,1.663790000000000146e+04,7.815224000000000823e-03,4.163656284522551942e+01
7.989388999999999519e-03,4.143963210999999802e+01,1.663790000000000146e+04,7.957558999999999466e-03,4.177203554741867464e+01
8.002442000000000236e-03,4.172303411000000040e+01,1.663800000000000000e+04,7.970507999999999413e-03,4.205825980625181160e+01
7.858993999999999355e-03,4.163947887999999864e+01,1.663800000000000000e+04,7.828193000000000651e-03,4.196801258232083853e+01
7.858978000000000838e-03,4.180380601000000240e+01,1.663809999999999854e+04,7.828177000000000399e-03,4.213363556687096434e+01
8.119829999999999756e-03,4.183776258999999698e+01,1.663809999999999854e+04,8.086952999999999156e-03,4.217886105696116772e+01
7.937239999999999920e-03,4.189027037000000320e+01,1.663820000000000073e+04,7.905822999999999323e-03,4.222408652439857946e+01
8.276359000000000493e-03,4.177141061999999749e+01,1.663820000000000073e+04,8.242205000000000711e-03,4.211856042936369704e+01
8.224198999999999746e-03,4.156446798999999714e+01,1.663829999999999927e+04,8.190472000000000724e-03,4.190771193115620008e+01
8.393790999999999405e-03,4.170670903999999979e+01,1.663829999999999927e+04,8.358660999999999869e-03,4.205825977571514329e+01
8.302481000000000444e-03,4.175536901000000256e+01,1.663840000000000146e+04,8.268110000000000390e-03,4.210348525749233062e+01
8.432937999999999198e-03,4.198889708000000098e+01,1.663840000000000146e+04,8.397480000000000569e-03,4.234448403781789239e+01
8.772261999999999421e-03,4.182541867999999852e+01,1.663850000000000000e+04,8.733898000000000356e-03,4.219393621512137571e+01
8.693943000000000851e-03,4.208255181999999905e+01,1.663850000000000000e+04,8.656260000000000690e-03,4.245001014481616153e+01
8.393790999999999405e-03,4.208023572999999828e+01,1.663859999999999854e+04,8.358660999999999869e-03,4.243493496593731606e+01
8.641760000000000067e-03,4.196518431999999876e+01,1.663859999999999854e+04,8.604528000000000176e-03,4.232940890413911461e+01
8.524260000000000517e-03,4.194022113999999846e+01,1.663870000000000073e+04,8.488031000000000048e-03,4.229925855791660894e+01
9.033354999999999857e-03,4.202345213000000257e+01,1.663870000000000073e+04,8.992676999999999268e-03,4.240478466171737892e+01
9.007215000000000707e-03,4.224844846999999959e+01,1.663879999999999927e+04,8.966771999999999590e-03,4.263070831162887941e+01
8.928877999999999468e-03,4.196807825999999864e+01,1.663879999999999927e+04,8.889133999999999924e-03,4.234448405290715556e+01
9.111700999999999828e-03,4.231872643999999895e+01,1.663890000000000146e+04,9.070315000000000669e-03,4.270608407497651626e+01
9.020284999999999415e-03,4.236741457000000111e+01,1.663890000000000146e+04,8.979723999999999692e-03,4.275130953021994884e+01
9.163908000000000123e-03,4.213726548000000349e+01,1.663900000000000000e+04,9.122046999999999448e-03,4.252518219062645954e+01
9.216118000000000574e-03,4.235911845999999770e+01,1.663900000000000000e+04,9.173779999999999435e-03,4.275130956869509902e+01
9.320625000000000784e-03,4.219040356000000003e+01,1.663909999999999854e+04,9.277323000000000514e-03,4.258548283941217960e+01
9.255337000000000633e-03,4.213341309999999851e+01,1.663909999999999854e+04,9.212638000000000424e-03,4.252518220958091177e+01
9.398952999999999822e-03,4.251544802000000089e+01,1.663920000000000073e+04,9.354921000000000417e-03,4.291693253341240677e+01
9.255296999999999136e-03,4.231265006999999656e+01,1.663920000000000073e+04,9.212598000000000661e-03,4.270608405454876078e+01
9.529592999999999398e-03,4.201753585000000157e+01,1.663929999999999927e+04,9.484331000000000358e-03,4.241985984171240887e+01
9.699407000000000167e-03,4.248774637000000354e+01,1.663929999999999927e+04,9.652519999999999503e-03,4.290185740665489078e+01
9.568745000000000028e-03,4.225459455000000020e+01,1.663940000000000146e+04,9.523109999999999561e-03,4.266085859913399503e+01
9.777845000000000286e-03,4.258891317999999870e+01,1.663940000000000146e+04,9.730196999999999458e-03,4.300738349384970149e+01
9.843127999999999600e-03,4.249656794999999931e+01,1.663950000000000000e+04,9.794842999999999258e-03,4.291693256653075395e+01
9.817005999999999649e-03,4.260217326000000071e+01,1.663950000000000000e+04,9.768976000000000395e-03,4.302245862577620272e+01
9.699446999999999930e-03,4.266669862999999907e+01,1.663959999999999854e+04,9.652558999999999792e-03,4.308255553921302550e+01
9.934617999999999227e-03,4.235854659999999683e+01,1.663959999999999854e+04,9.885433000000000761e-03,4.278145985503917359e+01
1.007837299999999985e-02,4.232260984999999920e+01,1.663970000000000073e+04,1.002775600000000052e-02,4.275130955085646178e+01
9.986869000000000648e-03,4.231155736000000189e+01,1.663970000000000073e+04,9.937164999999999540e-03,4.273623437243758616e+01
1.016984500000000027e-02,4.267647826000000322e+01,1.663979999999999927e+04,1.011830700000000000e-02,4.311270585342566619e+01
