true_strain,true_stress,time,engineering_strain,engineering_stress
0.000000000000000000e+00,0.000000000000000000e+00,6.459649999999999636e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.216840000000000013e-05,1.973434638000000074e+00,6.459659999999999854e+03,5.216699999999999706e-05,1.973537591535537761e+00
1.818289999999999967e-04,2.138857212000000008e+00,6.459710000000000036e+03,1.818120000000000001e-04,2.139246152621500308e+00
1.818289999999999967e-04,2.425009053000000137e+00,6.459760000000000218e+03,1.818129999999999887e-04,2.425450031346549462e+00
2.855700000000000187e-04,2.379585671000000069e+00,6.459810000000000400e+03,2.855290000000000237e-04,2.380265305772491846e+00
1.558960000000000131e-04,2.620875843999999955e+00,6.459859999999999673e+03,1.558839999999999868e-04,2.621284460306810615e+00
2.596340000000000149e-04,2.997099909000000117e+00,6.459909999999999854e+03,2.596000000000000217e-04,2.997878158169861251e+00
4.412010000000000064e-04,2.966439133000000172e+00,6.459960000000000036e+03,4.411039999999999970e-04,2.967748218610221755e+00
4.022909999999999876e-04,3.207476772999999781e+00,6.460010000000000218e+03,4.022100000000000133e-04,3.208767371324420026e+00
5.709120000000000254e-04,3.568268536000000157e+00,6.460060000000000400e+03,5.707489999999999526e-04,3.570306284741710190e+00
2.855700000000000187e-04,3.734944034000000190e+00,6.460109999999999673e+03,2.855290000000000237e-04,3.736010773420124220e+00
4.152609999999999938e-04,3.990427298000000178e+00,6.460159999999999854e+03,4.151749999999999950e-04,3.992084711770209182e+00
5.319969999999999821e-04,3.959847581000000005e+00,6.460210000000000036e+03,5.318560000000000388e-04,3.961954770416374672e+00
5.838840000000000089e-04,4.456465412000000015e+00,6.460260000000000218e+03,5.837140000000000427e-04,4.459068232554296962e+00
4.930839999999999702e-04,4.562262706000000279e+00,6.460310000000000400e+03,4.929620000000000009e-04,4.564512837377339594e+00
6.098289999999999917e-04,4.847759509000000300e+00,6.460359999999999673e+03,6.096429999999999905e-04,4.850716714489972325e+00
7.784849999999999843e-04,5.223242618999999642e+00,6.460409999999999854e+03,7.781819999999999840e-04,5.227310417875602688e+00
8.044369999999999689e-04,5.223107065999999854e+00,6.460460000000000036e+03,8.041129999999999632e-04,5.227310414259140892e+00
5.709130000000000411e-04,5.450162324999999974e+00,6.460510000000000218e+03,5.707509999999999840e-04,5.453274787037976523e+00
7.006410000000000025e-04,5.735479111000000074e+00,6.460560000000000400e+03,7.003960000000000480e-04,5.739499033164833008e+00
6.876669999999999875e-04,5.946297769000000066e+00,6.460609999999999673e+03,6.874300000000000506e-04,5.950388244390842019e+00
7.265870000000000011e-04,6.232062345000000114e+00,6.460659999999999854e+03,7.263229999999999643e-04,6.236592125302225398e+00
8.563379999999999994e-04,6.517233026999999623e+00,6.460710000000000036e+03,8.559719999999999829e-04,6.522816375178293491e+00
8.433590000000000140e-04,7.119347369999999842e+00,6.460760000000000218e+03,8.430039999999999539e-04,7.125354071984099313e+00
9.861029999999998928e-04,7.298932663999999626e+00,6.460810000000000400e+03,9.856170000000000469e-04,7.306133713592389611e+00
1.012059000000000049e-03,7.644856512999999687e+00,6.460859999999999673e+03,1.011547000000000010e-03,7.652597475018061424e+00
1.063967999999999988e-03,7.990555009999999569e+00,6.460909999999999854e+03,1.063401999999999967e-03,7.999061227707666255e+00
1.089925999999999959e-03,7.975288862000000201e+00,6.460960000000000036e+03,1.089331999999999931e-03,7.983986073517437276e+00
1.025035000000000095e-03,8.442311497000000386e+00,6.461010000000000218e+03,1.024509999999999961e-03,8.450969599864757598e+00
9.471689999999999840e-04,8.653658452000000167e+00,6.461060000000000400e+03,9.467199999999999617e-04,8.661858806969734204e+00
9.601469999999999536e-04,8.698707852000000074e+00,6.461109999999999673e+03,9.596869999999999750e-04,8.707063908040716171e+00
1.050991999999999942e-03,8.773153214000000588e+00,6.461159999999999854e+03,1.050439000000000017e-03,8.782378566959499366e+00
