{'direction':'R12' }
time,displacement,load
0.0,1.1593103240297353e-05,27.4318862660554
2.7392578125,9.980797710616719e-06,27.0231165380351
5.478515625,6.979703744103805e-06,27.2540160005207
8.2177734375,1.1357664904803243e-05,27.3223066566369
10.95703125,1.2260675344629918e-05,27.2871476713113
13.6962890625,9.54568357866536e-06,27.2040998119295
16.435546875,1.097619535069563e-05,27.0916215886664
19.1748046875,1.37150282032454e-05,27.2919929873533
21.9140625,1.6173720071019747e-05,27.3532103396262
24.6533203125,1.2120604292759714e-05,27.766422322
27.392578125,1.3604759663539372e-05,27.2288923936594
30.1318359375,1.479983254059305e-05,27.0531712187445
32.87109375,1.4555454234725177e-05,27.257377706518
35.6103515625,1.201927656265121e-05,27.3929642282001
38.349609375,1.4099478540077775e-05,26.652997853203
41.0888671875,1.44600868112306e-05,26.9568326145806
43.828125,1.4954804988415925e-05,27.3438541629858
46.5673828125,1.518130251431255e-05,27.3347706961687
49.306640625,1.597106405132025e-05,27.1637867824601
52.0458984375,1.665651735523595e-05,27.1653612957792
54.78515625,1.567006108423695e-05,27.3656743791579
57.5244140625,1.3828277525676175e-05,27.501514743946
60.263671875,1.3303756556585474e-05,27.4272999385877
63.0029296875,1.6629695765667153e-05,27.0725130343217
65.7421875,1.58280136154315e-05,27.4897779306095
68.4814453125,1.70975923532837e-05,27.4217822813462
71.220703125,1.679360874334625e-05,26.8831820955861
73.9599609375,1.755654813130275e-05,27.0063045777365
76.69921875,1.8391013436556698e-05,27.2967148121546
79.4384765625,1.748502277348775e-05,27.2086329695575
82.177734375,1.763999466182815e-05,27.0806583107406
84.9169921875,1.6781687290894628e-05,27.1892551357017
87.65625,1.7726421555466474e-05,27.8553565971892
90.3955078125,1.83105464299205e-05,27.1906495576281
93.134765625,1.8209219119423826e-05,27.1146595656845
95.8740234375,1.70618296743762e-05,27.5391950087696
98.61328125,1.90466647877907e-05,27.6265667767325
101.3525390625,3.220140850381418e-05,33.3877847631571
103.7509765625,0.00020768642281020552,98.3080493314462
106.083984375,0.00036805270460395776,179.036791236938
108.4248046875,0.0005138665385420323,268.382552961511
110.7158203125,0.0006554126760126715,360.615718270269
112.95703125,0.0007912069487769987,456.477550196237
115.248046875,0.0009312987272347155,555.484841235742
117.4892578125,0.0010634600878651926,652.182379551385
119.73046875,0.0011961311056940026,750.422296021079
122.0205078125,0.001336789134120765,853.375132201472
124.212890625,0.0014765053879452223,956.574237358352
126.4541015625,0.00161424875440439,1058.51960455448
128.6953125,0.0017480850533681275,1156.91577860743
133.2275390625,0.0020145714052335925,1353.95379195485
135.46875,0.0021512478699552,1454.86325973886
137.7099609375,0.0022961228923101228,1560.26945523482
139.951171875,0.0024379252906550474,1659.82458086064
142.1923828125,0.0025775700023372124,1760.5510620684
144.4833984375,0.0027211545806150777,1859.54076246673
146.724609375,0.0028701185694057878,1958.39456761527
148.9658203125,0.0030207783003258853,2057.3443117366
151.2568359375,0.0031681566173302426,2146.88720664511
153.59765625,0.0033164947018931128,2228.85860660281
155.9384765625,0.0034819840661875225,2315.82212624522
158.279296875,0.0036577878881513524,2395.19241647846
160.669921875,0.0038542388869618176,2473.38531378021
163.16015625,0.0040303885317535875,2520.38289666711
165.650390625,0.0042291729931910275,2569.85513424797
168.1904296875,0.004448842890441465,2612.90538823162
170.73046875,0.00467571319279345,2653.10293966971
173.3203125,0.00491731745254168,2686.94985800523
175.810546875,0.005132841915909685,2711.65469234802
178.400390625,0.005384939810944957,2749.78110358181
180.990234375,0.005614933404039339,2768.79041213277
183.6298828125,0.005861374814939636,2797.9600311199
186.26953125,0.006097814362215642,2813.91553850043
188.9091796875,0.006350895657348923,2833.63396119807
191.4990234375,0.006593849908012355,2856.59476991197
194.1884765625,0.00685958549706632,2876.54634407208
196.828125,0.007107648100175957,2899.55720790221
199.4677734375,0.007358190114747395,2912.34672918074
202.0576171875,0.007595410824874342,2926.73252567927
204.6943359375,0.007855129282917888,2953.38972909529
207.2373046875,0.008097720165383146,2963.33752482745
209.9267578125,0.008347499350225185,2973.02845877892
212.5166015625,0.008597585471625637,2981.07437963406
215.2060546875,0.00885330415816655,2994.05907195792
217.845703125,0.009115743652484782,3013.98452086
220.53515625,0.009368288560585287,3019.98388998899
223.224609375,0.009631368281882565,3034.67638384446
225.9140625,0.009896179767028527,3044.96885735071
228.603515625,0.010158857305471851,3053.30698592388
231.3427734375,0.010424256166644875,3061.42381819369
234.0322265625,0.010684493108282225,3073.26668306339
236.7216796875,0.010937145580244277,3074.84495600474
239.4111328125,0.0112104801049522,3084.99560668165
242.0224609375,0.011469462373583601,3096.90674848622
244.740234375,0.011734720585339774,3098.52409954463
247.330078125,0.01198052449058375,3105.85322235365
250.0693359375,0.012234666815126576,3105.10283469007
252.7587890625,0.012514218273224274,3114.93866503065
255.3984375,0.0127573902297061,3113.94634430524
260.8271484375,0.013299605476405974,3128.40019819866
263.3671875,0.013568529739561625,3132.95104251654
265.95703125,0.013815897116327575,3133.14643310185
268.6962890625,0.014098131512181724,3142.49510421906
271.236328125,0.014346816868513926,3145.45230779674
273.92578125,0.014618596228895575,3150.06725778981
276.6650390625,0.014879321576349098,3150.37856548641
279.1552734375,0.015123591228483576,3159.17948434479
281.6953125,0.015375536156535925,3157.29253818664
284.4345703125,0.0156480339461182,3162.26929007251
287.173828125,0.015914502143896524,3156.06113841921
289.7802734375,0.016179218669201974,3167.68512192536
292.5029296875,0.0164456751223243,3164.49147378545
295.142578125,0.016723692327312474,3173.11302847732
297.6826171875,0.0169563920610203,3162.15490974111
