yield_stress, ultimate_stress, strain_at_ultimate_stress, failure_strain
38571.626204963504, 46043.073365331256, 0.0626527070999146, 0.098018042743206
40723.27542770096, 46054.11, 0.059342, 0.097423
40113.98050283649, 46081.942356241816, 0.0592133030295372, 0.0951949283480644
40291.64225908549, 46363.03210040858, 0.0610268, 0.0973338
40359.909364700936, 46598.98124008523, 0.057507199999999994, 0.0963798
40572.02667422306, 46653.89985638726, 0.060911700000000006, 0.0977367
40631.328141216254, 46657.252268402175, 0.060813, 0.09644559999999999
40596.12844478258, 46505.61119827417, 0.0607308, 0.0954588
