yield, max strain, ultimate stress, strain at ultimate stress
4.029164225908548502e+01, 9.733379999999999810e-02, 4.636303210040858147e+01, 6.102679999999999910e-02
4.035990936470093970e+01, 9.637980000000000158e-02, 4.659898124008523013e+01, 5.750719999999999443e-02
4.057202667422305353e+01, 9.773669999999999580e-02, 4.665389985638726245e+01, 6.091170000000000612e-02
4.063132814121625813e+01, 9.644559999999999245e-02, 4.665725226840217488e+01, 6.081299999999999900e-02
4.059612844478258609e+01, 9.545879999999999643e-02, 4.650561119827417400e+01, 6.073080000000000145e-02
