yield, max strain, ultimate stress, strain at ultimate stress
4.166766964623056424e+01, 1.460088193416599900e-01, 4.620909827530732628e+01, 7.671353220939640394e-02
4.209493418068118586e+01, 1.396501809358600132e-01, 4.645774052748305394e+01, 7.781092822551730070e-02
4.317463297866633098e+01, 1.544963121414180129e-01, 4.710621111503171932e+01, 7.799844443798069349e-02
4.114705652800012103e+01, 1.396842300891880106e-01, 4.602081245695077172e+01, 7.354617863893510299e-02
