yield, max strain, ultimate stress, strain at ultimate stress
4.344917464752487746e+01, 1.703693717718119949e-01, 4.699717572081179640e+01, 7.133388519287109375e-02
4.469145740757883090e+01, 1.198238432407379983e-01, 4.937526211032505330e+01, 5.098875239491459932e-02
4.427702638651429368e+01, 1.432017982006069945e-01, 4.847946611450154819e+01, 7.160864025354389539e-02
4.465115305436214754e+01, 1.455302536487579901e-01, 4.831171974868363606e+01, 7.242993265390400282e-02
