yield, max strain, ultimate stress, strain at ultimate stress
4.329670440956851252e+01, 1.800631000000000037e-01, 4.573285572371468533e+01, 7.886369999999999492e-02
4.510037509883454021e+01, 1.751536000000000204e-01, 4.754611328184959973e+01, 7.917619999999998825e-02
4.490779578107282077e+01, 1.752028999999999948e-01, 4.735925113477097170e+01, 8.001500000000000279e-02
4.317879524090457011e+01, 1.799807999999999963e-01, 4.556129889773412600e+01, 7.724359999999999560e-02
4.492899128019773514e+01, 1.740269000000000121e-01, 4.727071056304659180e+01, 7.830449999999999910e-02
