X, Y
-1.551488188845370937e-02, -4.379906226692376753e-02
-1.536239956101429806e-02, -4.342616895847643821e-02
-1.575224418324456047e-02, -4.326436356118928961e-02
-1.595530070589845292e-02, -4.367149893715820824e-02
-1.562851784459216159e-02, -4.413752636908285093e-02
-1.588763311656881533e-02, -4.400174883712878321e-02
-1.583672409276603091e-02, -4.440530154915461880e-02
-1.607908079921582800e-02, -4.419622120514531127e-02
-1.512582806510885149e-02, -4.397296299367265543e-02
-1.497591480185874770e-02, -4.358755768048080959e-02
-1.531096205418352486e-02, -4.435275184652022473e-02
-1.559168447738224807e-02, -4.465201034856840917e-02
-9.760422408404864983e-03, -5.325112354344760379e-02
-1.000807454303285528e-02, -5.290295447989250971e-02
-1.035306212985133423e-02, -5.318889287280145761e-02
-1.012761098341873577e-02, -5.368320643893109007e-02
-9.455628588787633876e-03, -5.352074658854608091e-02
-9.673930513138792597e-03, -5.389688258285756095e-02
-9.181873772304439268e-03, -5.321297495733134930e-02
-9.444785723392960797e-03, -5.292332315220615174e-02
-9.702216585966870130e-03, -5.261527644294333728e-02
-1.630406435489853076e-02, -4.443651945579059348e-02
-1.606318939748002314e-02, -4.464612993966930732e-02
-3.061250271678406503e-03, 1.947975317685817984e-02
-3.126475206982209671e-03, 1.994804873798581776e-02
-3.620622262283044231e-03, 1.978512721787788545e-02
-3.462003307666770922e-03, 1.941459474504139346e-02
-1.022374327988966047e-02, -5.257097565548031481e-02
-9.926579578401827780e-03, -5.229695717509327130e-02
-1.054216671966569027e-02, -5.280300838716671386e-02
-9.715346969126875676e-03, 5.571459027461217461e-02
-1.012920487183390124e-02, 5.571620675722753491e-02
-1.019032346026671823e-02, 5.525967694043655565e-02
-9.723437565187023623e-03, 5.520277013234110158e-02
-9.316398400741355071e-03, 5.576200143615882981e-02
-9.322212480994341438e-03, 5.537977592904822638e-02
-8.934114501844449621e-03, 5.577284551800757578e-02
-8.971124384739011942e-03, 5.538794150658717108e-02
-9.687731634780299278e-03, 5.615282123011670207e-02
-1.008486868336044319e-02, 5.615280114442623705e-02
-9.291098858721921067e-03, 5.617238313114027853e-02
-8.893612234777187667e-03, 5.617545570167146313e-02
4.825277283439094456e-03, -2.255231102517909689e-02
5.046241668629151099e-03, -2.278167188377987554e-02
5.270858827391922997e-03, -2.252910520638671393e-02
5.037625998800449034e-03, -2.236920165231149477e-02
5.009304957420909928e-03, -2.202870745684905318e-02
5.433250943509789106e-03, -2.218208299271424988e-02
4.641178155976184369e-03, -2.226699425459842049e-02
1.658384957767142232e-02, -2.174271348431233014e-02
1.645055447589464578e-02, -2.135255210438928575e-02
1.590693689624711818e-02, -2.151359374632744181e-02
1.620478048029031642e-02, -2.193425516740381276e-02
1.638519991472276241e-02, -2.092099714686506545e-02
1.594520388468024380e-02, -2.099249438145127378e-02
5.396854374853968586e-03, 8.384781031402808310e-03
5.444628130706905336e-03, 8.030212978564529869e-03
5.799581951720256257e-03, 8.113836919127301317e-03
5.679784585092873678e-03, 8.413716311720572869e-03
5.842917428704397925e-03, 8.742530984631608978e-03
6.145824537373757723e-03, 8.326771225907520294e-03
5.402058096124566153e-03, 8.736059843745940315e-03
-1.691115433707545551e-02, -4.716895389263870558e-02
-1.707742924113452715e-02, -4.694252298989379929e-02
-1.729146909824041609e-02, -4.720122520656709619e-02
-1.700877486199066022e-02, -4.748300667578519291e-02
-1.729833933431801363e-02, -4.666162163871341584e-02
-1.754317388103423386e-02, -4.693528245460661802e-02
-1.131494373723744215e-02, -3.880797104393174379e-02
-1.156390807413521307e-02, -3.838790857258683048e-02
-1.188215071480145171e-02, -3.871240542759396552e-02
-1.160140206670466807e-02, -3.901172165621367288e-02
-1.101144853650158975e-02, -3.866345943520855394e-02
-1.113980565744489802e-02, -3.836239524043515842e-02
-1.075546153706693174e-02, -3.852161446975016501e-02
-1.090578241793919642e-02, -3.834103930979373964e-02
-1.109258222153882215e-02, -3.913588903757470039e-02
-1.138578752373542100e-02, -3.932531682728042377e-02
-1.080544544580594631e-02, -3.895346275817936077e-02
-1.053996512670809550e-02, -3.876176350020613115e-02
2.222882984533693096e-03, -1.665319424671030807e-02
2.373814617033664746e-03, -1.625979494306865544e-02
1.961066837484484564e-03, -1.616253321624013667e-02
1.838408556182432717e-03, -1.652144563314651704e-02
2.917528737211650628e-03, -1.634342622624455552e-02
2.625269252110626599e-03, -1.680601024404502694e-02
2.955704214713448380e-03, 4.502777469507746391e-03
3.417990425470764180e-03, 4.653204430295479997e-03
3.320628785344648636e-03, 5.038678498036699115e-03
2.947604238046814835e-03, 4.940573956380571279e-03
3.547115650467160593e-03, 4.283405953939369883e-03
3.202101506398840561e-03, 4.161995601974157952e-03
-8.092552473869118676e-03, -3.653147959705685399e-02
-7.715082548791805245e-03, -3.678800879964589515e-02
-7.614493885967393155e-03, -3.636666395789515949e-02
-7.934290615861400164e-03, -3.616946125810102664e-02
-7.981718887977041349e-03, -3.711226028411537814e-02
-8.297750295569268283e-03, -3.687460556505017112e-02
5.528391947321471822e-03, -2.278381754969812517e-02
5.838309360434584816e-03, -2.243423448655470012e-02
6.312558454599341042e-03, -2.273000868248411382e-02
6.532570322806432322e-03, -2.264853690821801505e-02
6.591613833586949106e-03, -2.241693900631327660e-02
6.269029995780142986e-03, -2.239708319002975748e-02
2.616005817599694958e-02, 4.843860140448857932e-02
2.568998828160360542e-02, 4.863987513944179747e-02
2.568745647052141784e-02, 4.818723825147283590e-02
2.601025157474763996e-02, 4.807462335470150117e-02
2.595230837414128425e-02, 4.905576386318777349e-02
2.633936622847561637e-02, 4.884590146540658540e-02
-1.039406167971222098e-03, 8.667664047195228899e-03
-1.280527864368220716e-03, 8.931623251934365376e-03
-1.499273097341872595e-03, 8.672000993455705742e-03
-1.254443106913270389e-03, 8.497621355164101595e-03
-1.227085938578293799e-03, 8.157666224418982578e-03
-1.634700676646370660e-03, 8.334821241190171204e-03
-8.645456602887637530e-04, 8.350220739133268691e-03
1.583238927612602015e-02, -1.939040852533493661e-02
1.556861685084385410e-02, -1.920302519712862796e-02
1.540753790650586062e-02, -1.951927856153923627e-02
1.566049142578936071e-02, -1.957660718899075641e-02
1.551499803129571288e-02, -1.870254167882085330e-02
1.527193312313824235e-02, -1.852272854836108790e-02
1.492098322064381102e-02, -1.862791079447907727e-02
1.523881358621503694e-02, -1.898637078929819866e-02
1.472174184329663738e-02, -1.808901531285525208e-02
1.449574752173599969e-02, -1.798780030474669486e-02
1.429116666141678864e-02, -1.812309452339486149e-02
1.452411566811439951e-02, -1.837957117578742014e-02
-1.125156604383791177e-02, 4.054259577933801845e-02
-1.170951786186524152e-02, 4.073778841437735582e-02
-1.173247922769877528e-02, 4.021529116785318991e-02
-1.139178639921484097e-02, 4.025711667701290658e-02
-1.233799643312679696e-02, 4.101574644936888114e-02
-1.263962500699749962e-02, 4.090572649637727598e-02
-1.277143396028714538e-02, 4.056611944270499537e-02
-1.224673956105602236e-02, 4.060810947628287065e-02
1.633492960247078657e-02, -2.048964816754380788e-02
1.592235402659374077e-02, -2.056527464479395578e-02
-2.757783999377429098e-03, 8.999753489152053157e-03
-2.951387452300177541e-03, 8.606479387609456896e-03
-2.509276446234621257e-03, 8.510841979962704626e-03
-2.513942746970778980e-03, 8.830707233276316806e-03
-3.510499678833396437e-03, 8.752209349755133219e-03
-3.700075123816236062e-03, 8.583555895934289956e-03
-3.656341776649094880e-03, 8.323699229544592043e-03
-3.343599319054659045e-03, 8.427070658182884977e-03
-1.141017639163328760e-02, 5.538543364375284744e-02
-1.160622594378922685e-02, 5.486174855485684981e-02
-1.111871863312197117e-02, 5.486712607655703372e-02
-1.101291408035988753e-02, 5.533379021224703320e-02
-1.191595425548870948e-02, 5.517459072341205500e-02
-1.176032330043048392e-02, 5.551193333453695311e-02
-1.069901856184934073e-02, 5.485579613069245519e-02
-1.060742609007865427e-02, 5.529740064484044149e-02
2.349649935192800118e-02, -5.564383945264785719e-02
2.329414205805534557e-02, -5.608789243622169796e-02
2.376860363753754285e-02, -5.617661980524523563e-02
2.386489229206116211e-02, -5.574831669153663266e-02
2.318511499067373374e-02, -5.547364043818125978e-02
2.301839256526442418e-02, -5.575429132283730299e-02
2.292265947111464530e-02, -5.535137252606936453e-02
2.286397598432994907e-02, -5.557550256128775124e-02
2.361399363158919740e-02, -5.525925203481284187e-02
2.395318840538422298e-02, -5.536135599655265388e-02
2.329507177911719837e-02, -5.514832669152781169e-02
2.298484314029836453e-02, -5.504398509072133683e-02
2.182129764192062074e-02, -2.928858483224472745e-02
2.154039688597288865e-02, -2.888046468186733495e-02
2.119696581443038935e-02, -2.909607956843093118e-02
2.139688479229575127e-02, -2.948856456252823416e-02
2.183487072792121911e-02, -2.862773708046574550e-02
