#time, displacement
8.000000000000000167e-08,1.831097008579457017e-06
4.439999999999999841e-06,1.012747897838960038e-04
8.619999999999998784e-06,1.947308978480097807e-04
1.253999999999999852e-05,2.791123758175395033e-04
1.621999999999999717e-05,3.541327906239053781e-04
2.027999999999999896e-05,4.307163951865678646e-04
2.467999999999999749e-05,5.045754658707484993e-04
2.928000000000000088e-05,5.701108501905289552e-04
3.311999999999999460e-05,6.246245703676830442e-04
3.685999999999999607e-05,6.940186292824302230e-04
4.039999999999999944e-05,7.885761189547505975e-04
4.379999999999999399e-05,9.181922279111959587e-04
4.709999999999999967e-05,1.091456216688936739e-03
5.021999999999999690e-05,1.307913744003358879e-03
5.317999999999999567e-05,1.568850633419102865e-03
5.614000000000000121e-05,1.891674704536825237e-03
5.906000000000000036e-05,2.278219482481723141e-03
6.197999999999999950e-05,2.739774223648163733e-03
6.490000000000000543e-05,3.284532660826588926e-03
6.781999999999998425e-05,3.921629849374447772e-03
7.073999999999999017e-05,4.660250935765780297e-03
7.365999999999999609e-05,5.509581066474606575e-03
7.657999999999998847e-05,6.478805387974948850e-03
7.949999999999999439e-05,7.577109046740841507e-03
8.242000000000000031e-05,8.813677189246310259e-03
8.534000000000000624e-05,1.019619884855186252e-02
8.825999999999999861e-05,1.172146426823775581e-02
9.118000000000000453e-05,1.338144013247502193e-02
9.409999999999998335e-05,1.516807165622840146e-02
9.701999999999998928e-05,1.707330405446268878e-02
9.993999999999999520e-05,1.908908254214262273e-02
1.028600000000000011e-04,2.120735233423296645e-02
1.057799999999999935e-04,2.342005864569847093e-02
1.116200000000000053e-04,2.809643403214659788e-02
1.145399999999999977e-04,3.054121258383130436e-02
1.174599999999999901e-04,3.304045754765937842e-02
1.203799999999999960e-04,3.558105835378814336e-02
1.232999999999999884e-04,3.814990443237489814e-02
1.262199999999999943e-04,4.073388521357700076e-02
1.291399999999999731e-04,4.331989012755173285e-02
1.320600000000000062e-04,4.589480860445648708e-02
1.349799999999999850e-04,4.844553007444848958e-02
1.378999999999999909e-04,5.095894396768513301e-02
1.408199999999999968e-04,5.342319491970572848e-02
1.437400000000000027e-04,5.584029378398722154e-02
1.466599999999999816e-04,5.822086447664827358e-02
1.495800000000000146e-04,6.057566022381845328e-02
1.524999999999999934e-04,6.291543425162715586e-02
1.554199999999999722e-04,6.525093978620391533e-02
1.583400000000000053e-04,6.759293005367827956e-02
1.612599999999999841e-04,6.995215828017964377e-02
1.641799999999999900e-04,7.233937769183754196e-02
1.670999999999999959e-04,7.476533913262913000e-02
1.700200000000000019e-04,7.723688264502229228e-02
1.729399999999999807e-04,7.974897090563849711e-02
1.758600000000000137e-04,8.229432012898055260e-02
1.787799999999999925e-04,8.486564652955112809e-02
1.816999999999999713e-04,8.745566632185297617e-02
1.846200000000000044e-04,9.005709572038889110e-02
1.875399999999999832e-04,9.266265093966147282e-02
1.904599999999999891e-04,9.526504819417359882e-02
1.933799999999999950e-04,9.785700369842793844e-02
1.963000000000000010e-04,1.004321288145933883e-01
1.992199999999999798e-04,1.029913064497316316e-01
2.021399999999999857e-04,1.055389542175701745e-01
2.079799999999999705e-04,1.106174246407938266e-01
2.109000000000000035e-04,1.131571295409019018e-01
2.138199999999999823e-04,1.157030690631560416e-01
2.167399999999999882e-04,1.182596843299177775e-01
2.196599999999999941e-04,1.208314164635485161e-01
2.225800000000000001e-04,1.234226831660710372e-01
2.254999999999999789e-04,1.260359739043263594e-01
2.284199999999999848e-04,1.286704420898885093e-01
2.313399999999999907e-04,1.313249093449020688e-01
2.342400000000000070e-04,1.339798257499246192e-01
2.371599999999999858e-04,1.366706391804091425e-01
2.400799999999999918e-04,1.393779246178600828e-01
2.429999999999999977e-04,1.421005036844218417e-01
2.459199999999999494e-04,1.448371980022390981e-01
2.488400000000000095e-04,1.475868291934564758e-01
2.517599999999999612e-04,1.503481080665717839e-01
2.546800000000000214e-04,1.531189171846856212e-01
2.576000000000000273e-04,1.558967642328654146e-01
2.605199999999999790e-04,1.586791550481086444e-01
2.634399999999999849e-04,1.614635954674128737e-01
2.663599999999999909e-04,1.642475913277754995e-01
2.692799999999999426e-04,1.670286484661939741e-01
2.722000000000000027e-04,1.698042727196658608e-01
2.751200000000000086e-04,1.725719699251885564e-01
2.780400000000000146e-04,1.753292888617105083e-01
2.809599999999999663e-04,1.780753557372381501e-01
2.838799999999999722e-04,1.808112942395508904e-01
2.867999999999999781e-04,1.835383564791393252e-01
2.897200000000000383e-04,1.862577945664939949e-01
2.926399999999999900e-04,1.889708606121054124e-01
2.955599999999999959e-04,1.916788067264642847e-01
2.984800000000000018e-04,1.943828850200611524e-01
3.013999999999999535e-04,1.970843476033865282e-01
3.043199999999999595e-04,1.997844465869310915e-01
3.045799999999999875e-04,2.000248425196850532e-01
0.00060916, 0.4868496814461193
