{'temperature':534.67, 'engineering_strain_rate':3600 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
5.280000000000000269e-06,-5.433599999999999951e-06,-4.146099999999999996e-06,3.542540221999999961e+00,3.078000000000000549e-04,2.841000000000000192e-01,5.068897637795275845e-05
1.130000000000000023e-05,4.943999999999999802e-07,3.888999999999999526e-06,1.443071451900000035e+01,-2.541700000000000144e-04,1.157299999999999995e+00,1.336456692913385767e-04
1.735999999999999981e-05,7.533999999999999356e-06,1.995899999999999983e-05,3.762628233000000222e+01,-2.498399999999999796e-04,3.017599999999999838e+00,4.891732283464567338e-04
2.247999999999999822e-05,3.458399999999999787e-06,7.906499999999999601e-06,7.430387068000000284e+01,-2.106699999999999870e-04,5.959100000000000286e+00,1.751220472440944819e-04
2.707999999999999822e-05,-5.063099999999999856e-06,-4.146099999999999996e-06,1.275903479499999946e+02,6.126400000000000162e-04,1.023299999999999876e+01,3.610236220472440527e-05
3.176000000000000085e-05,3.828899999999999882e-06,1.995899999999999983e-05,2.078471609499999886e+02,2.018900000000000067e-04,1.666900000000000048e+01,6.350433070866142327e-04
3.670000000000000437e-05,2.717400000000000020e-06,4.004699999999999791e-05,3.245567533000000253e+02,5.350500000000000221e-04,2.602800000000000225e+01,1.469669291338582652e-03
4.123999999999999818e-05,8.274999999999999546e-06,2.799399999999999998e-05,4.557552857000000017e+02,1.181299999999999928e-03,3.655100000000000193e+01,7.763385826771653127e-04
4.478000000000000155e-05,1.235400000000000064e-06,3.602900000000000351e-05,5.626744461000000683e+02,1.393600000000000047e-03,4.512500000000000000e+01,1.369826771653543567e-03
4.767999999999999750e-05,-1.728600000000000060e-06,2.799399999999999998e-05,6.419870612999999366e+02,1.847500000000000184e-03,5.148699999999999477e+01,1.170181102362204822e-03
5.043999999999999818e-05,-6.171100000000000513e-07,3.888999999999999526e-06,7.004823631000000432e+02,2.854999999999999899e-03,5.617800000000000438e+01,1.774059055118110139e-04
5.313999999999999605e-05,-1.358099999999999965e-06,2.397699999999999761e-05,7.372835963999999649e+02,3.458600000000000042e-03,5.912800000000000011e+01,9.974448818897637976e-04
5.575999999999999468e-05,9.386499999999998984e-06,4.406399999999999689e-05,7.574489637000000357e+02,3.020600000000000021e-03,6.074499999999999744e+01,1.365255905511811047e-03
5.839999999999999651e-05,1.976399999999999831e-06,5.209999999999999923e-05,7.687343755000000556e+02,5.750100000000000176e-03,6.165200000000000102e+01,1.973370078740157522e-03
6.102000000000000192e-05,8.274999999999999546e-06,4.406399999999999689e-05,7.770972702999999910e+02,6.001300000000000211e-03,6.232300000000000040e+01,1.409015748031496127e-03
6.363999999999999377e-05,4.940400000000000166e-06,4.808199999999999806e-05,7.862020347999999785e+02,8.585299999999998835e-03,6.305199999999999960e+01,1.698488188976378117e-03
6.626000000000000596e-05,1.272099999999999899e-05,1.003099999999999934e-04,7.958238600000000815e+02,9.379399999999999543e-03,6.382300000000000040e+01,3.448385826771653302e-03
6.887999999999999104e-05,1.309200000000000103e-05,1.003099999999999934e-04,8.031526334000000134e+02,1.205200000000000021e-02,6.441100000000000136e+01,3.433779527559054686e-03
7.150000000000000322e-05,9.015999999999999736e-06,1.244200000000000048e-04,8.087728584000000183e+02,1.427499999999999949e-02,6.486100000000000421e+01,4.543464566929134377e-03
7.412000000000000186e-05,1.420299999999999937e-05,1.203999999999999992e-04,8.148202205000000049e+02,1.631499999999999964e-02,6.534799999999999898e+01,4.180984251968503790e-03
7.673999999999998693e-05,8.645499999999998794e-06,1.806599999999999949e-04,8.241497940000000426e+02,1.990899999999999961e-02,6.609399999999999409e+01,6.772224409448818899e-03
7.935999999999999912e-05,6.792999999999999166e-06,1.726300000000000057e-04,8.368515025000000378e+02,2.250699999999999923e-02,6.711499999999999488e+01,6.529015748031496112e-03
8.197999999999999775e-05,8.274999999999999546e-06,2.087799999999999899e-04,8.521609954000000471e+02,2.620600000000000013e-02,6.834199999999999875e+01,7.893897637795275340e-03
8.459999999999999638e-05,1.346200000000000088e-05,2.449400000000000232e-04,8.674480074000000513e+02,3.055899999999999589e-02,6.956799999999999784e+01,9.113307086614175212e-03
8.721999999999999502e-05,1.420299999999999937e-05,2.730599999999999911e-04,8.819257069999999885e+02,3.457899999999999863e-02,7.072899999999999920e+01,1.019122047244094484e-02
8.983999999999999365e-05,1.642599999999999825e-05,3.092200000000000244e-04,8.963809257000000343e+02,3.866900000000000198e-02,7.188800000000000523e+01,1.152732283464567159e-02
9.245999999999999228e-05,1.531500000000000160e-05,3.654700000000000093e-04,9.111283961000000318e+02,4.356499999999999956e-02,7.306999999999999318e+01,1.378562992125984335e-02
