{'temperature':534.67, 'engineering_strain_rate':0.0001 }
time, displacement, load, engineering_strain, engineering_stress
7.980199999998148996e+00,3.135149999999999854e-07,6.801700000000000301e+00,1.254059999999999941e-06,5.516015138400580664e-01
1.248070000000006985e+01,1.018272500000000041e-06,1.864130000000000109e+01,4.073090000000000164e-06,1.511764602959065229e+00
1.747969999999986612e+01,4.378800000000000326e-06,2.587650000000000006e+01,1.751520000000000130e-05,2.098521924354538104e+00
2.047999999999956344e+01,2.452252499999999862e-06,3.278300000000000125e+01,9.809009999999999450e-06,2.658622466180311061e+00
2.298029999999926076e+01,6.750200000000000186e-06,3.837389999999999901e+01,2.700080000000000074e-05,3.112031011651058332e+00
2.797999999999956344e+01,2.201635000000000140e-05,4.988459999999999894e+01,8.806540000000000559e-05,4.045521101681308629e+00
3.048049999999784632e+01,3.018324999999999939e-05,6.090189999999999770e+01,1.207329999999999975e-04,4.938997638198660667e+00
3.298049999999784632e+01,4.280125000000000292e-05,6.978159999999999741e+01,1.712050000000000117e-04,5.659119955037915872e+00
3.548040000000037253e+01,2.285109999999999878e-05,7.175490000000000634e+01,9.140439999999999514e-05,5.819149839810926927e+00
3.800010000000111177e+01,3.084324999999999984e-05,7.800350000000000250e+01,1.233729999999999994e-04,6.325896273699657790e+00
4.299949999999807915e+01,3.745000000000000228e-05,1.013538000000000068e+02,1.498000000000000091e-04,8.219549452848916360e+00
4.548049999999784632e+01,5.779724999999999961e-05,1.115490000000000066e+02,2.311889999999999985e-04,9.046355656283669333e+00
4.798059999999895808e+01,8.166200000000000520e-05,1.099046000000000021e+02,3.266480000000000208e-04,8.912998770599415366e+00
5.048070000000006985e+01,5.116500000000000225e-05,1.247040999999999968e+02,2.046600000000000090e-04,1.011320263199817404e+01
5.299970000000030268e+01,7.540124999999999573e-05,1.421346000000000060e+02,3.016049999999999829e-04,1.152677426658792825e+01
5.798049999999784632e+01,9.461875000000000613e-05,1.495343000000000018e+02,3.784750000000000245e-04,1.212687214240754230e+01
7.951959999999962747e+01,1.643507499999999951e-04,2.365223000000000013e+02,6.574029999999999804e-04,1.918138976093217352e+01
1.295203000000001339e+02,4.991225000000000175e-04,4.271066999999999894e+02,1.996490000000000070e-03,3.463732629948858488e+01
1.795203999999976077e+02,1.525915000000000084e-03,5.529023999999999432e+02,6.103660000000000335e-03,4.483905506649826833e+01
2.295205999999998312e+02,3.095974999999999942e-03,6.025629999999999882e+02,1.238389999999999977e-02,4.886641030683606601e+01
3.295203000000001339e+02,6.727124999999999598e-03,6.497568999999999733e+02,2.690849999999999839e-02,5.269372210888795394e+01
3.795007000000005064e+02,8.594374999999999584e-03,6.696540999999999713e+02,3.437749999999999834e-02,5.430733718176361435e+01
4.295007000000005064e+02,1.048722499999999933e-02,6.921821999999999662e+02,4.194889999999999730e-02,5.613431191807074327e+01
4.795004999999982829e+02,1.235147500000000065e-02,7.175058000000000220e+02,4.940590000000000259e-02,5.818799498199302178e+01
5.295200000000004366e+02,1.419934999999999947e-02,7.306608999999999696e+02,5.679739999999999789e-02,5.925484195770751938e+01
6.295004000000008091e+02,1.793967499999999868e-02,7.577934000000000196e+02,7.175869999999999471e-02,6.145522246173818814e+01
6.795007000000005064e+02,1.980157499999999834e-02,7.753882999999999583e+02,7.920629999999999338e-02,6.288212654099255161e+01
7.295197000000007392e+02,2.166939999999999839e-02,7.813080999999999676e+02,8.667759999999999354e-02,6.336220808555205508e+01
7.795005999999993946e+02,2.354152500000000064e-02,7.977519999999999527e+02,9.416610000000000258e-02,6.469576883263506772e+01
8.295204999999987194e+02,2.540875000000000078e-02,8.077827999999999520e+02,1.016350000000000031e-01,6.550924259140521144e+01
9.295204999999987194e+02,2.917799999999999908e-02,8.301464999999999463e+02,1.167119999999999963e-01,6.732288488304772045e+01
9.795007000000005064e+02,3.106375000000000108e-02,8.462616000000000440e+02,1.242550000000000043e-01,6.862978074080152169e+01
1.029500599999999395e+03,3.294674999999999687e-02,8.548124000000000251e+02,1.317869999999999875e-01,6.932323005855201359e+01
1.079520399999997608e+03,3.488949999999999690e-02,8.567857000000000198e+02,1.395579999999999876e-01,6.948325994332502376e+01
1.129520000000000437e+03,3.673175000000000051e-02,8.697763999999999669e+02,1.469270000000000020e-01,7.053677447437490855e+01
1.229500299999999697e+03,4.052424999999999777e-02,8.923044999999999618e+02,1.620969999999999911e-01,7.236374921068204458e+01
1.279520499999998719e+03,4.243274999999999825e-02,8.990465000000000373e+02,1.697309999999999930e-01,7.291050919808367325e+01
1.329500599999999395e+03,4.435025000000000078e-02,8.990465000000000373e+02,1.774010000000000031e-01,7.291050919808367325e+01
1.379520499999998719e+03,4.627150000000000013e-02,9.174637000000000171e+02,1.850860000000000005e-01,7.440409982993971028e+01
1.429520000000000437e+03,4.817475000000000229e-02,9.214103000000000065e+02,1.926990000000000092e-01,7.472415959948571640e+01
1.529519700000000739e+03,5.204149999999999748e-02,9.388407999999999447e+02,2.081659999999999899e-01,7.613773123407547416e+01
1.579520099999997910e+03,5.397249999999999964e-02,9.449251000000000431e+02,2.158899999999999986e-01,7.663115333305911747e+01
1.629500400000000809e+03,5.591825000000000268e-02,9.488715999999999440e+02,2.236730000000000107e-01,7.695120499284561788e+01
1.679520700000000943e+03,5.786075000000000246e-02,9.524892999999999574e+02,2.314430000000000098e-01,7.724459176330287846e+01
1.729500499999998283e+03,5.983100000000000224e-02,9.580801999999999907e+02,2.393240000000000089e-01,7.769800030877362929e+01
1.829500299999999697e+03,6.374825000000000630e-02,9.750173999999999523e+02,2.549930000000000252e-01,7.907156649961001449e+01
1.879500199999998586e+03,6.572350000000000414e-02,9.830750000000000455e+02,2.628940000000000166e-01,7.972501848336666797e+01
1.929520399999997608e+03,6.769875000000000198e-02,9.817595000000000027e+02,2.707950000000000079e-01,7.961833459677116309e+01
1.979520799999998417e+03,6.966124999999999401e-02,9.848837999999999511e+02,2.786449999999999760e-01,7.987170781371553119e+01
2.029500400000000809e+03,7.166875000000000329e-02,9.873504000000000360e+02,2.866750000000000131e-01,8.007174314224191392e+01
2.129519899999999325e+03,7.569249999999999590e-02,1.004123199999999997e+03,3.027699999999999836e-01,8.143197688841368631e+01
2.179520300000000134e+03,7.772800000000000542e-02,1.003629900000000021e+03,3.109120000000000217e-01,8.139197144466031375e+01
2.229520000000000437e+03,7.973149999999999682e-02,1.003794300000000021e+03,3.189259999999999873e-01,8.140530388932492656e+01
2.279500700000000506e+03,8.177025000000000265e-02,1.012345199999999977e+03,3.270810000000000106e-01,8.209876131683495259e+01
2.329520099999997910e+03,8.381924999999999792e-02,1.017113899999999944e+03,3.352769999999999917e-01,8.248549141946355689e+01
2.429500299999999697e+03,8.793325000000000446e-02,1.018264999999999986e+03,3.517330000000000179e-01,8.257884286139446317e+01
2.479500599999999395e+03,9.000574999999999548e-02,1.025829199999999901e+03,3.600229999999999819e-01,8.319228129163820995e+01
2.529500700000000506e+03,9.208475000000000688e-02,1.025335900000000038e+03,3.683390000000000275e-01,8.315227584788485160e+01
2.579500400000000809e+03,9.417475000000000152e-02,1.031091200000000072e+03,3.766990000000000061e-01,8.361901683802021523e+01
2.629520300000000134e+03,9.625675000000000203e-02,1.035202199999999948e+03,3.850270000000000081e-01,8.395240905223083416e+01
2.729500299999999697e+03,1.004769999999999969e-01,1.025664700000000039e+03,4.019079999999999875e-01,8.317894073721407722e+01
2.779520099999997910e+03,1.026027500000000064e-01,1.040793200000000070e+03,4.104110000000000258e-01,8.440582570746111912e+01
2.829500299999999697e+03,1.047420000000000018e-01,1.041286499999999933e+03,4.189680000000000071e-01,8.444583115121449168e+01
2.879500599999999395e+03,1.069330000000000003e-01,1.045726300000000037e+03,4.277320000000000011e-01,8.480588825475435044e+01
2.929500299999999697e+03,1.090867499999999962e-01,1.044904099999999971e+03,4.363469999999999849e-01,8.473920981191221813e+01
