{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
8.759999999999999138e-06,-3.319700000000000166e-06,8.254099999999999458e-06,4.493931909999999696e+00,-2.571099999999999829e-05,3.586099999999999843e-01,4.556614173228346011e-04
1.685999999999999782e-05,1.280300000000000049e-06,1.023199999999999961e-05,1.381855961200000138e+01,1.853600000000000007e-04,1.102700000000000014e+00,3.524291338582677012e-04
2.415999999999999908e-05,1.280300000000000049e-06,2.321300000000000120e-06,3.564346695000000409e+01,1.771499999999999963e-04,2.844199999999999839e+00,4.098425196850394243e-05
3.113999999999999662e-05,-9.453099999999999329e-06,-3.611499999999999642e-06,8.138760227000000214e+01,3.704700000000000224e-04,6.494600000000000151e+00,2.299842519685039489e-04
3.850000000000000069e-05,-6.386399999999999536e-06,-3.611499999999999642e-06,1.753735009000000105e+02,-3.558099999999999696e-05,1.399400000000000155e+01,1.092480314960629954e-04
4.452000000000000065e-05,5.880399999999999637e-06,6.276499999999999961e-06,2.973548643000000311e+02,7.349499999999999479e-04,2.372899999999999920e+01,1.559448818897638957e-05
5.007999999999999485e-05,1.280300000000000049e-06,1.220900000000000118e-05,4.361519408999999996e+02,1.522000000000000132e-03,3.480499999999999972e+01,4.302637795275591039e-04
5.543999999999999775e-05,2.813699999999999844e-06,1.220900000000000118e-05,5.624271562000000131e+02,1.300200000000000054e-03,4.488100000000000023e+01,3.698937007874016233e-04
6.043999999999999731e-05,5.880399999999999637e-06,1.814200000000000011e-05,6.316458473000000140e+02,1.939999999999999884e-03,5.040500000000000114e+01,4.827401574803150326e-04
7.371999999999999213e-05,-1.786399999999999956e-06,4.780600000000000273e-05,6.474499200000000201e+02,6.617100000000000759e-03,5.166499999999999915e+01,1.952456692913385940e-03
7.870000000000000205e-05,5.880399999999999637e-06,4.978300000000000092e-05,6.589826217000000952e+02,6.904099999999999820e-03,5.258600000000000563e+01,1.728448818897637901e-03
8.367999999999999842e-05,4.347000000000000054e-06,6.955900000000000266e-05,6.671656692999999905e+02,1.005900000000000023e-02,5.324000000000000199e+01,2.567401574803149494e-03
8.865999999999999478e-05,-3.245300000000000252e-05,8.340200000000001226e-05,6.857124118000000408e+02,1.474999999999999922e-02,5.471899999999999409e+01,4.561220472440946118e-03
9.363999999999999115e-05,1.280300000000000049e-06,1.150399999999999963e-04,7.067770151000000851e+02,1.349399999999999905e-02,5.639999999999999858e+01,4.478728346456692724e-03
9.862000000000000106e-05,4.347000000000000054e-06,1.427300000000000107e-04,7.208500585000000456e+02,1.747100000000000042e-02,5.752300000000000324e+01,5.448149606299213313e-03
1.035999999999999839e-04,-7.919799999999999965e-06,1.605300000000000097e-04,7.359122614999999996e+02,2.171599999999999919e-02,5.872399999999999665e+01,6.631881889763780076e-03
1.085799999999999938e-04,1.047999999999999961e-05,2.040400000000000048e-04,7.542341949999999997e+02,2.428999999999999909e-02,6.018600000000000705e+01,7.620472440944882700e-03
