{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.272000000000000019e-05,-5.365800000000000363e-06,-1.325000000000000019e-06,1.050509976100000031e+01,-3.331000000000000193e-04,8.488499999999999934e-01,1.590866141732283758e-04
2.335999999999999996e-05,-8.432499999999999309e-06,2.630199999999999822e-06,4.839013725000000221e+01,-3.829400000000000300e-05,3.910099999999999909e+00,4.355393700787400920e-04
3.089999999999999892e-05,2.300899999999999858e-06,6.585399999999999663e-06,1.193488500100000067e+02,3.363600000000000118e-04,9.643800000000000594e+00,1.686811023622047110e-04
3.743999999999999390e-05,-2.299100000000000146e-06,1.845100000000000003e-05,2.310586902000000009e+02,4.925700000000000087e-04,1.866900000000000048e+01,8.169330708661417780e-04
4.325999999999999578e-05,-3.832500000000000152e-06,1.054099999999999953e-05,3.772744638000000350e+02,6.231500000000000494e-04,3.048400000000000176e+01,5.658858267716535472e-04
4.801999999999999764e-05,-5.365800000000000363e-06,1.647299999999999966e-05,5.142730684000000565e+02,1.511999999999999889e-03,4.155499999999999972e+01,8.597952755905511430e-04
5.247999999999999220e-05,-6.899199999999999945e-06,1.054099999999999953e-05,6.341637081000000080e+02,2.073000000000000190e-03,5.124199999999999733e+01,6.866220472440945008e-04
5.691999999999999713e-05,-5.365800000000000363e-06,3.427199999999999984e-05,7.155670470000000023e+02,2.871099999999999694e-03,5.782000000000000028e+01,1.560543307086614340e-03
6.132000000000000243e-05,-9.965900000000000585e-06,2.833900000000000091e-05,7.484790846000000784e+02,3.386800000000000140e-03,6.047899999999999920e+01,1.508066929133858357e-03
6.572000000000000096e-05,7.676000000000000707e-07,4.415999999999999732e-05,7.568194985000000088e+02,4.078800000000000481e-03,6.115299999999999869e+01,1.708362204724409245e-03
7.011999999999999950e-05,-7.657600000000001019e-07,5.800300000000000014e-05,7.663514001000000917e+02,7.256699999999999609e-03,6.192399999999999949e+01,2.313730708661417695e-03
7.451999999999999803e-05,2.300899999999999858e-06,6.393500000000000366e-05,7.779065827000000581e+02,7.890000000000001179e-03,6.285800000000000409e+01,2.426539370078740349e-03
