{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.794000000000000103e-05,1.418700000000000071e-06,3.626100000000000316e-06,8.015340086000000497e+01,-4.140099999999999748e-04,6.488800000000000345e+00,8.690551181102363872e-05
2.655999999999999643e-05,2.951999999999999858e-06,5.603700000000000236e-06,2.105920788399999992e+02,6.793500000000000602e-05,1.704899999999999949e+01,1.043976377952756149e-04
3.452000000000000153e-05,-1.648000000000000146e-06,1.153599999999999933e-05,4.155594365000000039e+02,1.075599999999999907e-03,3.364199999999999591e+01,5.190551181102362552e-04
3.995999999999999688e-05,1.368500000000000026e-05,1.549200000000000007e-05,5.733303927000000613e+02,9.314899999999999873e-04,4.641499999999999915e+01,7.114173228346456763e-05
4.521999999999999734e-05,-1.648000000000000146e-06,1.746900000000000164e-05,6.849480612000000974e+02,1.646400000000000120e-03,5.544899999999999807e+01,7.526377952755906181e-04
5.009999999999999805e-05,-6.248099999999999521e-06,2.142400000000000020e-05,7.193663191000000552e+02,2.788800000000000133e-03,5.823600000000000421e+01,1.089452755905511881e-03
5.491999999999999595e-05,1.215199999999999987e-05,3.526800000000000182e-05,7.181523505000000114e+02,2.888500000000000009e-03,5.813899999999999579e+01,9.100787401574803731e-04
5.974000000000000062e-05,6.018699999999999651e-06,5.108800000000000282e-05,7.221764316000000008e+02,4.719499999999999737e-03,5.846399999999999864e+01,1.774381889763779804e-03
6.456000000000000529e-05,-1.648000000000000146e-06,5.504300000000000138e-05,7.326750118999999586e+02,7.344499999999999466e-03,5.931300000000000239e+01,2.231929133858267904e-03
6.937999999999998964e-05,-1.648000000000000146e-06,7.284200000000000494e-05,7.401836325000000443e+02,7.153699999999998949e-03,5.992100000000000648e+01,2.932677165354330776e-03
7.420000000000000109e-05,1.981900000000000117e-05,1.005300000000000014e-04,7.549985456000000568e+02,1.164699999999999937e-02,6.112100000000000222e+01,3.177598425196850179e-03
7.901999999999999899e-05,4.485400000000000288e-06,1.203000000000000103e-04,7.763329197000000477e+02,1.378600000000000138e-02,6.284799999999999898e+01,4.559629921259843524e-03
8.383999999999999688e-05,4.485400000000000288e-06,1.400800000000000005e-04,7.946998150000000578e+02,1.826399999999999899e-02,6.433499999999999375e+01,5.338370078740157024e-03
8.865999999999999478e-05,2.951999999999999858e-06,1.736999999999999937e-04,8.086379729999999881e+02,2.153799999999999812e-02,6.546399999999999864e+01,6.722362204724409256e-03
9.348000000000000623e-05,6.018699999999999651e-06,2.033600000000000045e-04,8.238575422999999773e+02,2.616999999999999882e-02,6.669599999999999795e+01,7.769342519685040055e-03
9.829999999999999058e-05,1.981900000000000117e-05,2.508200000000000143e-04,8.393244015000000218e+02,2.915099999999999983e-02,6.794700000000000273e+01,9.094527559055119725e-03
1.031200000000000020e-04,4.485400000000000288e-06,2.864200000000000123e-04,8.535772921000000224e+02,3.605699999999999877e-02,6.910300000000000864e+01,1.109978740157480277e-02
1.079399999999999864e-04,1.215199999999999987e-05,3.279499999999999755e-04,8.676053737000000865e+02,4.082300000000000512e-02,7.023799999999999955e+01,1.243299212598425289e-02
1.127599999999999978e-04,1.215199999999999987e-05,3.833199999999999824e-04,8.826001340000000255e+02,4.621299999999999714e-02,7.145199999999999818e+01,1.461291338582677152e-02
1.175799999999999957e-04,2.135199999999999818e-05,4.268300000000000045e-04,8.978421842000000197e+02,5.198999999999999455e-02,7.268500000000000227e+01,1.596370078740157530e-02
1.223999999999999936e-04,1.215199999999999987e-05,4.762699999999999920e-04,9.116679377000000386e+02,5.886900000000000466e-02,7.380500000000000682e+01,1.827236220472441136e-02
1.272199999999999915e-04,9.085399999999999444e-06,5.296600000000000483e-04,9.251789585999999872e+02,6.361100000000000088e-02,7.489900000000000091e+01,2.049506299212598692e-02
1.320399999999999894e-04,3.055199999999999480e-05,5.771300000000000258e-04,9.383977277999999842e+02,6.953200000000001046e-02,7.596899999999999409e+01,2.151881889763779601e-02
1.368600000000000144e-04,9.085399999999999444e-06,6.226100000000000037e-04,9.510544745000000830e+02,7.616000000000000547e-02,7.699299999999999500e+01,2.415451181102362330e-02
1.416800000000000123e-04,3.208599999999999739e-05,6.819400000000000201e-04,9.626995807000000696e+02,8.133700000000000652e-02,7.793600000000000705e+01,2.558480314960630275e-02
1.464999999999999831e-04,2.595199999999999818e-05,7.373100000000000270e-04,9.745020532000000912e+02,8.723400000000000598e-02,7.889100000000000534e+01,2.800622047244094581e-02
1.513199999999999810e-04,2.135199999999999818e-05,7.867500000000000144e-04,9.850680762000000641e+02,9.482899999999999663e-02,7.974600000000000932e+01,3.013377952755905836e-02
1.561399999999999789e-04,2.595199999999999818e-05,8.421200000000000213e-04,9.960837172000000237e+02,1.008700000000000013e-01,8.063800000000000523e+01,3.213259842519685522e-02
1.609600000000000039e-04,2.441900000000000117e-05,8.974999999999999688e-04,1.006200122200000123e+03,1.064700000000000091e-01,8.145699999999999363e+01,3.437326771653543417e-02
1.657800000000000018e-04,2.441900000000000117e-05,9.548500000000000347e-04,1.016339008100000001e+03,1.134000000000000008e-01,8.227799999999999159e+01,3.663114173228346898e-02
1.705999999999999997e-04,2.441900000000000117e-05,1.000299999999999974e-03,1.025825947900000074e+03,1.188200000000000089e-01,8.304700000000001125e+01,3.842051181102362073e-02
1.754199999999999705e-04,3.821900000000000118e-05,1.053700000000000079e-03,1.035380330400000048e+03,1.245599999999999902e-01,8.381999999999999318e+01,3.997956692913386817e-02
1.850599999999999934e-04,3.668600000000000078e-05,1.146700000000000063e-03,1.053657302099999924e+03,1.361700000000000133e-01,8.529999999999999716e+01,4.370133858267716970e-02
1.898799999999999913e-04,3.821900000000000118e-05,1.198099999999999903e-03,1.062537257599999975e+03,1.418400000000000216e-01,8.601899999999999125e+01,4.566460629921259562e-02
1.946999999999999892e-04,1.981900000000000117e-05,1.257400000000000097e-03,1.070810228800000004e+03,1.481599999999999862e-01,8.668799999999998818e+01,4.872366141732284439e-02
1.995200000000000142e-04,3.668600000000000078e-05,1.308799999999999937e-03,1.079083200000000033e+03,1.529400000000000204e-01,8.735799999999998988e+01,5.008322834645669019e-02
2.043399999999999850e-04,3.208599999999999739e-05,1.350400000000000081e-03,1.086097240800000009e+03,1.600300000000000056e-01,8.792600000000000193e+01,5.190212598425197194e-02
2.091599999999999829e-04,4.128600000000000417e-05,1.401799999999999921e-03,1.093066319799999974e+03,1.654799999999999882e-01,8.848999999999999488e+01,5.356354330708661127e-02
2.139799999999999808e-04,3.975199999999999480e-05,1.473000000000000134e-03,1.100035398799999939e+03,1.721099999999999852e-01,8.905400000000000205e+01,5.642708661417324134e-02
2.188000000000000058e-04,4.435199999999999820e-05,1.520400000000000093e-03,1.106869592400000101e+03,1.779599999999999793e-01,8.960600000000000875e+01,5.811212598425197912e-02
2.236200000000000037e-04,4.128600000000000417e-05,1.575799999999999814e-03,1.112849511800000073e+03,1.846700000000000008e-01,9.009200000000001296e+01,6.041393700787400789e-02
2.284399999999999745e-04,4.435199999999999820e-05,1.629200000000000136e-03,1.118874393000000055e+03,1.896599999999999953e-01,9.057899999999999352e+01,6.239559055118111541e-02
2.332599999999999724e-04,3.821900000000000118e-05,1.680599999999999759e-03,1.124921755099999928e+03,1.960299999999999820e-01,9.106799999999999784e+01,6.466066929133858221e-02
2.380799999999999974e-04,3.975199999999999480e-05,1.726099999999999943e-03,1.130272209299999986e+03,2.029700000000000115e-01,9.150100000000000477e+01,6.639165354330708868e-02
2.428999999999999953e-04,4.741899999999999441e-05,1.777499999999999783e-03,1.135420335400000113e+03,2.074199999999999933e-01,9.191799999999999216e+01,6.811342519685038843e-02
2.477199999999999932e-04,5.968600000000000419e-05,1.832900000000000154e-03,1.140411095200000091e+03,2.131399999999999961e-01,9.232299999999999329e+01,6.981157480314961750e-02
2.525399999999999910e-04,4.128600000000000417e-05,1.882299999999999945e-03,1.144682466200000135e+03,2.200999999999999901e-01,9.266799999999999216e+01,7.248086614173228359e-02
2.573599999999999889e-04,6.581900000000000120e-05,1.941700000000000197e-03,1.149425936099999944e+03,2.250999999999999945e-01,9.305299999999999727e+01,7.385358267716536640e-02
2.621799999999999868e-04,5.201899999999999780e-05,1.991099999999999988e-03,1.154191886900000100e+03,2.317599999999999938e-01,9.343799999999998818e+01,7.634177165354330552e-02
2.669999999999999847e-04,6.275300000000000040e-05,2.048499999999999974e-03,1.159429936600000019e+03,2.382400000000000073e-01,9.386299999999999955e+01,7.817901574803150233e-02
2.718199999999999826e-04,4.435199999999999820e-05,2.109800000000000217e-03,1.163723788499999955e+03,2.445599999999999996e-01,9.420999999999999375e+01,8.131685039370079027e-02
2.766399999999999805e-04,5.815300000000000379e-05,2.155199999999999911e-03,1.168557182000000012e+03,2.504399999999999959e-01,9.460099999999999909e+01,8.256090551181102799e-02
2.814599999999999784e-04,6.428600000000000080e-05,2.210599999999999631e-03,1.173547941799999990e+03,2.566300000000000248e-01,9.500600000000000023e+01,8.450055118110234853e-02
2.862799999999999763e-04,6.581900000000000120e-05,2.271900000000000308e-03,1.177774351000000024e+03,2.636100000000000110e-01,9.534600000000000364e+01,8.685358267716537795e-02
2.911000000000000284e-04,5.201899999999999780e-05,2.331199999999999852e-03,1.181888355700000147e+03,2.697199999999999598e-01,9.568000000000000682e+01,8.973153543307087199e-02
