{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.696000000000000025e-05,6.554800000000000329e-06,8.387300000000000148e-06,3.109108470000000324e+01,-9.027399999999999661e-04,2.496599999999999930e+00,7.214566929133857257e-05
4.034000000000000340e-05,1.767199999999999953e-05,2.222999999999999892e-05,3.791853403000000071e+02,-1.156799999999999929e-03,3.044800000000000040e+01,1.794488188976377631e-04
4.788000000000000236e-05,1.230499999999999992e-05,1.629799999999999879e-05,5.985989243000000215e+02,4.745300000000000256e-04,4.806700000000000017e+01,1.572047244094487760e-04
5.539999999999999813e-05,1.498799999999999948e-05,2.025300000000000074e-05,7.213896001000000524e+02,1.248500000000000044e-03,5.792600000000000193e+01,2.072834645669291973e-04
5.945999999999999653e-05,1.728800000000000117e-05,4.200600000000000406e-05,7.354626435000000129e+02,2.348999999999999960e-03,5.905699999999999505e+01,9.731496062992127426e-04
6.360000000000000093e-05,2.380499999999999993e-05,3.211799999999999979e-05,7.419821044999999913e+02,2.110900000000000189e-03,5.958100000000000307e+01,3.272834645669291326e-04
6.765999999999999933e-05,-4.561999999999999690e-06,6.771499999999999796e-05,7.517837769000000208e+02,8.499200000000000157e-03,6.036600000000000676e+01,2.845551181102362256e-03
7.171999999999999773e-05,3.871399999999999898e-06,6.969299999999999833e-05,7.588427795000000060e+02,8.606400000000000161e-03,6.093399999999999750e+01,2.591401574803149210e-03
7.577999999999999613e-05,2.955500000000000079e-05,8.551299999999999255e-05,7.635637685000000374e+02,7.633899999999999887e-03,6.131300000000000239e+01,2.203070866141732236e-03
7.983999999999999452e-05,2.188800000000000118e-05,1.092400000000000044e-04,7.752763174000000390e+02,1.148599999999999968e-02,6.225300000000000011e+01,3.439055118110236325e-03
8.390000000000000647e-05,1.383800000000000032e-05,1.290200000000000082e-04,7.923618013999999903e+02,1.417899999999999890e-02,6.362500000000000000e+01,4.534724409448818994e-03
