{'temperature':534.67, 'engineering_strain_rate':3600 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
4.079999999999999900e-06,-1.632100000000000010e-06,2.408899999999999925e-06,3.683495465000000468e+00,7.506299999999999605e-04,2.957899999999999974e-01,1.590944881889763912e-04
7.740000000000000433e-06,-5.337200000000000331e-06,4.258399999999999751e-05,9.850680762000001423e+00,1.120799999999999921e-03,7.909899999999999709e-01,1.886661417322834690e-03
1.205999999999999973e-05,-1.632100000000000010e-06,1.044400000000000029e-05,2.165405249800000220e+01,7.341500000000000098e-05,1.738799999999999901e+00,4.754370078740158333e-04
1.698000000000000006e-05,3.925400000000000567e-06,6.426499999999999372e-06,4.484265123000000131e+01,-1.396799999999999908e-05,3.600699999999999790e+00,9.846850393700782515e-05
2.112000000000000108e-05,5.908800000000000077e-07,2.408899999999999925e-06,7.683072384000000454e+01,9.552299999999999463e-04,6.169400000000000439e+00,7.157559055118109536e-05
2.494000000000000177e-05,5.908800000000000077e-07,6.426499999999999372e-06,1.209315053699999964e+02,1.037799999999999964e-03,9.710599999999999454e+00,2.297488188976377660e-04
2.894000000000000074e-05,2.813899999999999859e-06,5.061899999999999766e-05,1.861485962700000130e+02,9.417299999999999977e-04,1.494700000000000095e+01,1.882090551181102387e-03
3.220000000000000341e-05,2.203799999999999921e-07,3.053199999999999838e-05,2.570915723999999614e+02,1.389000000000000044e-03,2.064499999999999957e+01,1.193370866141732142e-03
3.545999999999999592e-05,1.702399999999999998e-06,1.044400000000000029e-05,3.436430373999999688e+02,1.306299999999999822e-03,2.759499999999999886e+01,3.441574803149607020e-04
3.861999999999999277e-05,-1.632100000000000010e-06,1.446199999999999977e-05,4.409178916999999842e+02,1.883399999999999918e-03,3.540500000000000114e+01,6.336259842519685213e-04
4.175999999999999320e-05,2.813899999999999859e-06,1.044400000000000029e-05,5.454091148999999632e+02,1.585999999999999953e-03,4.379600000000000648e+01,3.003976377952756222e-04
4.478000000000000155e-05,5.036900000000000005e-06,6.669000000000000015e-05,6.426165265000000772e+02,2.583199999999999906e-03,5.160100000000000620e+01,2.427287401574803119e-03
4.761999999999999469e-05,-5.206300000000000238e-07,3.053199999999999838e-05,7.186019684999999981e+02,3.869400000000000270e-03,5.770300000000000296e+01,1.222544488188976328e-03
5.035999999999999895e-05,4.666399999999999910e-06,7.874199999999999928e-05,7.679250631000001022e+02,3.340400000000000313e-03,6.166399999999999437e+01,2.916362204724409334e-03
5.311999999999999285e-05,6.148400000000000290e-06,4.258399999999999751e-05,7.918222597999999834e+02,3.767700000000000129e-03,6.358200000000000074e+01,1.434472440944881957e-03
5.585999999999999711e-05,5.407400000000000100e-06,7.472500000000000030e-05,7.973300802999999632e+02,6.943200000000000066e-03,6.402400000000000091e+01,2.729039370078740166e-03
6.677999999999999420e-05,7.630399999999998975e-06,1.108799999999999955e-04,8.037146559000000252e+02,1.373100000000000015e-02,6.453600000000000136e+01,4.064944881889764362e-03
6.951999999999999846e-05,1.355799999999999962e-05,1.470400000000000016e-04,8.099643461000000570e+02,1.498700000000000032e-02,6.503900000000000148e+01,5.255196850393700943e-03
7.226000000000000272e-05,6.518899999999999538e-06,1.590899999999999964e-04,8.155620902000000569e+02,1.937700000000000186e-02,6.548899999999999011e+01,6.006736220472441018e-03
7.499999999999999343e-05,9.482999999999998822e-06,1.711500000000000131e-04,8.235203288000000157e+02,2.095500000000000140e-02,6.612800000000000011e+01,6.364842519685040556e-03
7.773999999999999769e-05,7.630399999999998975e-06,1.992700000000000081e-04,8.357274575000000141e+02,2.511100000000000138e-02,6.710699999999999932e+01,7.544866141732283794e-03
8.048000000000000195e-05,1.392900000000000166e-05,2.233699999999999976e-04,8.516888965000000553e+02,2.810099999999999751e-02,6.838899999999999579e+01,8.245708661417322852e-03
8.321999999999999266e-05,1.392900000000000166e-05,2.675700000000000149e-04,8.683022816000000148e+02,3.185699999999999643e-02,6.972399999999998954e+01,9.985866141732285123e-03
8.595999999999998336e-05,1.689299999999999903e-05,2.796200000000000096e-04,8.836342554000000291e+02,3.523899999999999949e-02,7.095499999999999829e+01,1.034358267716535551e-02
8.870000000000000117e-05,1.541099999999999865e-05,3.157799999999999887e-04,8.980445122999999512e+02,4.036499999999999810e-02,7.211100000000000421e+01,1.182555118110236239e-02
9.143999999999999188e-05,1.244700000000000128e-05,3.519400000000000219e-04,9.117803422000000637e+02,4.657700000000000035e-02,7.321500000000000341e+01,1.336586614173228445e-02
9.417999999999999614e-05,1.429900000000000150e-05,4.242499999999999852e-04,9.252239204000001109e+02,5.162599999999999828e-02,7.429300000000000637e+01,1.613980314960629728e-02
9.692000000000000040e-05,1.652300000000000088e-05,4.443399999999999911e-04,9.393868874000000915e+02,5.727300000000000446e-02,7.543099999999999739e+01,1.684318897637795270e-02
9.965999999999999111e-05,2.393300000000000277e-05,5.246899999999999654e-04,9.544490904000001592e+02,6.203800000000000286e-02,7.664199999999999591e+01,1.971484251968504131e-02
1.023999999999999954e-04,1.800500000000000126e-05,5.407600000000000471e-04,9.689717517999999927e+02,6.939800000000000135e-02,7.780599999999999739e+01,2.058090551181102762e-02
1.051399999999999996e-04,2.059800000000000167e-05,6.211100000000000215e-04,9.832021614999999883e+02,7.565800000000000303e-02,7.895000000000000284e+01,2.364220472440944909e-02
1.078799999999999903e-04,1.355799999999999962e-05,6.773600000000000064e-04,9.965558160999999018e+02,8.349800000000000277e-02,8.002299999999999613e+01,2.613393700787401686e-02
1.133599999999999989e-04,1.689299999999999903e-05,7.697599999999999755e-04,1.022633660099999929e+03,9.661100000000000243e-02,8.211700000000000443e+01,2.964043307086614010e-02
1.160999999999999896e-04,2.133900000000000017e-05,8.420800000000000420e-04,1.035537696699999969e+03,1.027900000000000064e-01,8.315299999999999159e+01,3.231263779527559360e-02
1.188399999999999938e-04,1.948700000000000163e-05,8.822500000000000047e-04,1.048306847900000093e+03,1.102799999999999891e-01,8.417799999999999727e+01,3.396704724409448789e-02
1.215799999999999981e-04,1.874599999999999975e-05,9.545699999999999628e-04,1.060963594599999851e+03,1.175799999999999901e-01,8.519400000000000261e+01,3.684346456692913496e-02
1.243199999999999752e-04,1.392900000000000166e-05,9.867100000000000176e-04,1.072788547999999992e+03,1.238199999999999995e-01,8.614399999999999125e+01,3.829846456692913292e-02
1.270599999999999930e-04,1.504000000000000000e-05,1.055000000000000165e-03,1.083646822700000030e+03,1.303900000000000059e-01,8.701600000000000534e+01,4.094330708661417934e-02
1.298000000000000109e-04,2.022800000000000013e-05,1.127299999999999917e-03,1.093515937800000074e+03,1.367900000000000227e-01,8.780700000000000216e+01,4.358551181102362365e-02
1.325399999999999745e-04,2.059800000000000167e-05,1.199599999999999885e-03,1.103070320300000049e+03,1.442700000000000093e-01,8.857500000000000284e+01,4.641740157480314655e-02
1.352799999999999923e-04,1.911599999999999790e-05,1.231799999999999909e-03,1.111725466800000049e+03,1.503899999999999959e-01,8.926899999999999125e+01,4.774346456692912799e-02
1.380200000000000101e-04,2.356199999999999904e-05,1.320199999999999889e-03,1.120200766100000010e+03,1.587200000000000000e-01,8.995100000000000762e+01,5.104874015748031568e-02
1.407599999999999737e-04,1.985699999999999979e-05,1.364399999999999988e-03,1.127439615900000035e+03,1.654200000000000115e-01,9.053200000000001069e+01,5.293476377952755635e-02
1.434999999999999915e-04,2.541499999999999977e-05,1.432700000000000076e-03,1.133756748799999968e+03,1.718299999999999828e-01,9.103799999999999670e+01,5.540492125984252531e-02
1.462400000000000093e-04,2.096900000000000201e-05,1.456800000000000065e-03,1.139759149100000059e+03,1.785599999999999965e-01,9.152100000000000080e+01,5.652877952755906016e-02
1.489799999999999729e-04,2.837900000000000053e-05,1.533099999999999914e-03,1.146031320199999982e+03,1.845600000000000018e-01,9.202500000000000568e+01,5.924098425196849815e-02
1.517199999999999907e-04,2.837900000000000053e-05,1.573299999999999916e-03,1.151651545200000101e+03,1.916899999999999993e-01,9.247599999999999909e+01,6.082366141732283016e-02
