{'temperature':534.67, 'engineering_strain_rate':0.0001 }
time, displacement, load, engineering_strain, engineering_stress
1.766988799999999173e+03,1.160995000000000082e-02,7.658509000000000242e+02,4.643980000000000330e-02,6.181232322121427103e+01
1.826988799999999173e+03,1.388047499999999976e-02,7.646997999999999820e+02,5.552189999999999903e-02,6.171941719308276220e+01
1.886988699999998062e+03,1.616837499999999872e-02,7.870634999999999764e+02,6.467349999999999488e-02,6.352440593543753522e+01
1.946969600000000355e+03,1.842867499999999853e-02,8.000542000000000371e+02,7.371469999999999412e-02,6.457289376416480309e+01
2.006989199999999983e+03,2.070935000000000137e-02,8.069605999999999995e+02,8.283740000000000547e-02,6.513031379082403305e+01
2.066988799999999173e+03,2.299765000000000142e-02,8.363952000000000453e+02,9.199060000000000570e-02,6.750599946160819798e+01
2.126988499999999476e+03,2.523324999999999874e-02,8.508659000000000106e+02,1.009329999999999949e-01,6.867393905094239415e+01
2.186988399999998364e+03,2.754850000000000007e-02,8.487282000000000153e+02,1.101940000000000003e-01,6.850140389644954553e+01
2.246988900000000285e+03,2.984900000000000053e-02,8.653365000000000009e+02,1.193960000000000021e-01,6.984187056921169301e+01
2.306969600000000355e+03,3.210074999999999734e-02,8.783271999999999480e+02,1.284029999999999894e-01,7.089035839793895377e+01
2.366969300000000658e+03,3.441400000000000015e-02,8.880290999999999713e+02,1.376560000000000006e-01,7.167340504404187129e+01
2.426969399999998132e+03,3.671449999999999714e-02,8.903313000000000557e+02,1.468579999999999885e-01,7.185921710030488896e+01
2.486969199999999546e+03,3.902250000000000163e-02,9.059529999999999745e+02,1.560900000000000065e-01,7.312005464670568244e+01
2.546988699999998062e+03,4.131825000000000081e-02,9.110506000000000313e+02,1.652730000000000032e-01,7.353148525134747615e+01
2.606988600000000588e+03,4.362474999999999686e-02,9.191081000000000358e+02,1.744989999999999875e-01,7.418181130613821495e+01
2.666988699999998062e+03,4.593300000000000161e-02,9.381830999999999676e+02,1.837320000000000064e-01,7.572136693693352072e+01
2.726969499999999243e+03,4.830849999999999728e-02,9.434451000000000249e+02,1.932339999999999891e-01,7.614606637228058617e+01
2.786969600000000355e+03,5.063750000000000195e-02,9.460760999999999967e+02,2.025500000000000078e-01,7.635841608995410468e+01
2.846989199999999983e+03,5.298624999999999863e-02,9.472272000000000389e+02,2.119449999999999945e-01,7.645132211808561351e+01
2.906988399999998364e+03,5.530825000000000324e-02,9.630134000000000469e+02,2.212330000000000130e-01,7.772543656625659025e+01
2.966988999999997759e+03,5.766174999999999773e-02,9.666309999999999718e+02,2.306469999999999909e-01,7.801741541029144855e+01
3.026988699999998062e+03,6.000450000000000228e-02,9.751819000000000415e+02,2.400180000000000091e-01,7.870756409932776876e+01
3.086969399999998132e+03,6.236524999999999708e-02,9.870214999999999463e+02,2.494609999999999883e-01,7.966314589992352069e+01
3.146969600000000355e+03,6.475450000000000650e-02,9.868570999999999458e+02,2.590180000000000260e-01,7.964987706921826316e+01
3.206989300000001094e+03,6.717750000000000110e-02,1.000505499999999984e+03,2.687100000000000044e-01,8.075144829183147976e+01
3.266988600000000588e+03,6.948799999999999422e-02,9.991900000000000546e+02,2.779519999999999769e-01,8.064527343299471340e+01
3.326969300000000658e+03,7.189474999999999338e-02,9.904746999999999844e+02,2.875789999999999735e-01,7.994185591325313567e+01
3.386969499999999243e+03,7.430875000000000674e-02,1.003465400000000045e+03,2.972350000000000270e-01,8.099034374198041064e+01
3.506969499999999243e+03,7.913924999999999432e-02,1.024184799999999996e+03,3.165569999999999773e-01,8.266261996408790935e+01
3.566988799999999173e+03,8.155924999999999980e-02,1.023198099999999954e+03,3.262369999999999992e-01,8.258298276666164384e+01
3.626969499999999243e+03,8.402075000000000515e-02,1.023198099999999954e+03,3.360830000000000206e-01,8.258298276666164384e+01
3.686988900000000285e+03,8.649424999999999475e-02,1.029117999999999938e+03,3.459769999999999790e-01,8.306078173802443132e+01
3.746969699999997829e+03,8.899025000000000685e-02,1.037833200000000033e+03,3.559610000000000274e-01,8.376419118670111175e+01
3.806969399999998132e+03,9.144049999999999401e-02,1.043259700000000066e+03,3.657619999999999760e-01,8.420216752381831782e+01
3.866969499999999243e+03,9.386474999999999680e-02,1.043095299999999952e+03,3.754589999999999872e-01,8.418889869311306029e+01
3.926989199999999983e+03,9.643074999999999564e-02,1.041615299999999934e+03,3.857229999999999825e-01,8.406944693250613909e+01
3.986988999999997759e+03,9.895249999999999879e-02,1.037504400000000032e+03,3.958099999999999952e-01,8.373765352529059669e+01
4.046969399999998132e+03,1.014807499999999946e-01,1.046877400000000080e+03,4.059229999999999783e-01,8.449415443891810185e+01
4.106989399999998568e+03,1.040377499999999983e-01,1.051152800000000070e+03,4.161509999999999931e-01,8.483922474790379908e+01
4.166989199999999983e+03,1.066055000000000058e-01,1.057237100000000055e+03,4.264220000000000232e-01,8.533029254997185831e+01
4.226969300000000658e+03,1.091700000000000031e-01,1.057072599999999966e+03,4.366800000000000126e-01,8.531701564820167505e+01
4.286988799999999173e+03,1.117660000000000042e-01,1.046219700000000103e+03,4.470640000000000169e-01,8.444107104503217442e+01
4.346969699999997829e+03,1.144125000000000003e-01,1.057730399999999918e+03,4.576500000000000012e-01,8.537010711315251399e+01
4.406988900000000285e+03,1.170449999999999963e-01,1.061019199999999955e+03,4.681799999999999851e-01,8.563554829577687144e+01
4.466989099999998871e+03,1.197187499999999988e-01,1.049508399999999938e+03,4.788749999999999951e-01,8.470650415659162036e+01
4.526969499999999243e+03,1.224235000000000045e-01,1.064801300000000083e+03,4.896940000000000182e-01,8.594080404158191300e+01
4.576969399999998132e+03,1.246992499999999976e-01,1.061019199999999955e+03,4.987969999999999904e-01,8.563554829577687144e+01
4.636989600000000792e+03,1.274787500000000018e-01,1.058059299999999894e+03,5.099150000000000071e-01,8.539665284562794056e+01
4.696969399999998132e+03,1.302532499999999871e-01,1.058223700000000008e+03,5.210129999999999484e-01,8.540992167633319809e+01
4.756988600000000588e+03,1.331227500000000119e-01,1.060196999999999889e+03,5.324910000000000476e-01,8.556918800012077497e+01
4.816989300000001094e+03,1.360617500000000091e-01,1.052961700000000064e+03,5.442470000000000363e-01,8.498522224098614686e+01
4.876969000000000960e+03,1.389807499999999862e-01,1.052139499999999998e+03,5.559229999999999450e-01,8.491886194533005039e+01
4.936969799999998941e+03,1.419934999999999947e-01,1.043917500000000018e+03,5.679739999999999789e-01,8.425525898876915676e+01
4.996989699999998265e+03,1.450629999999999975e-01,1.038326600000000099e+03,5.802519999999999900e-01,8.380401382094669316e+01
5.056969799999998941e+03,1.481427499999999897e-01,1.022540399999999977e+03,5.925709999999999589e-01,8.252989937277573063e+01
5.116969399999998132e+03,1.512860000000000038e-01,1.013989500000000021e+03,6.051440000000000152e-01,8.183975068373942463e+01
5.176989600000000792e+03,1.544787499999999980e-01,9.949145999999999503e+02,6.179149999999999920e-01,8.030020312400900195e+01
5.236969399999998132e+03,1.576710000000000056e-01,9.792929000000000315e+02,6.306840000000000224e-01,7.903936557760820847e+01
5.296989199999999983e+03,1.609039999999999915e-01,9.538048000000000002e+02,6.436159999999999659e-01,7.698220448333432842e+01
5.356969699999997829e+03,1.642345000000000055e-01,9.378541999999999916e+02,6.569380000000000219e-01,7.569482120445812257e+01
5.416969699999997829e+03,1.675667499999999865e-01,9.008554000000000315e+02,6.702669999999999462e-01,7.270862404206388874e+01
5.476989399999998568e+03,1.709575000000000122e-01,8.604032999999999447e+02,6.838300000000000489e-01,6.944370879527514262e+01
5.486969300000000658e+03,1.715262499999999912e-01,8.543191000000000486e+02,6.861049999999999649e-01,6.895264906427202334e+01
