{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.304199999999999880e-04,3.665799999999999698e-06,7.519899999999999610e-05,7.747817376000000422e+02,8.687399999999999636e-03,6.213600000000000279e+01,2.816267716535432886e-03
1.356399999999999685e-04,1.189699999999999977e-05,8.124100000000000364e-05,7.873035988999999972e+02,9.367299999999998544e-03,6.313899999999999579e+01,2.730078740157480810e-03
1.408600000000000032e-04,3.665799999999999698e-06,9.030399999999999463e-05,7.968579813999999715e+02,1.134800000000000045e-02,6.390699999999999648e+01,3.410952755905511443e-03
1.460800000000000108e-04,1.601300000000000068e-05,1.114499999999999985e-04,8.038270604000000503e+02,1.283399999999999992e-02,6.446500000000000341e+01,3.757362204724409502e-03
1.512999999999999914e-04,1.498400000000000087e-05,1.174900000000000017e-04,8.100542697000000771e+02,1.344700000000000062e-02,6.496399999999999864e+01,4.035669291338583008e-03
1.565199999999999990e-04,1.395499999999999937e-05,1.396500000000000063e-04,8.162814789999999903e+02,1.520999999999999956e-02,6.546500000000000341e+01,4.948622047244094664e-03
1.617400000000000066e-04,9.839500000000001254e-06,1.416599999999999956e-04,8.223288411000000906e+02,1.686299999999999952e-02,6.595000000000000284e+01,5.189783464566929093e-03
1.669599999999999871e-04,1.704200000000000048e-05,1.597900000000000134e-04,8.274544862999999850e+02,1.852099999999999927e-02,6.636100000000000421e+01,5.620000000000000863e-03
1.721799999999999947e-04,2.115800000000000309e-05,1.668399999999999950e-04,8.333220012000000452e+02,2.011699999999999947e-02,6.683100000000000307e+01,5.735511811023622820e-03
1.774000000000000023e-04,2.012899999999999989e-05,1.869800000000000021e-04,8.387398981000000049e+02,2.191399999999999945e-02,6.726500000000000057e+01,6.568937007874016062e-03
1.826199999999999829e-04,1.292599999999999957e-05,2.020799999999999897e-04,8.445849321000000600e+02,2.395399999999999960e-02,6.773399999999999466e+01,7.447007874015748076e-03
1.878399999999999905e-04,2.115800000000000309e-05,2.212100000000000047e-04,8.498005008999999745e+02,2.617599999999999788e-02,6.815200000000000102e+01,7.876062992125983445e-03
1.930599999999999981e-04,1.807100000000000028e-05,2.322899999999999867e-04,8.552858405000000630e+02,2.774599999999999636e-02,6.859199999999999875e+01,8.433818897637794867e-03
2.034999999999999862e-04,2.218699999999999950e-05,2.645200000000000220e-04,8.654022455000000491e+02,3.179599999999999788e-02,6.940399999999999636e+01,9.540669291338583352e-03
2.087199999999999939e-04,2.115800000000000309e-05,2.796200000000000096e-04,8.705953333999999586e+02,3.384900000000000408e-02,6.981999999999999318e+01,1.017566929133858350e-02
2.139400000000000015e-04,2.321599999999999931e-05,2.937200000000000271e-04,8.755186505000000352e+02,3.576399999999999718e-02,7.021399999999999864e+01,1.064976377952756015e-02
2.191599999999999820e-04,1.601300000000000068e-05,3.168800000000000154e-04,8.803970057999999881e+02,3.827599999999999753e-02,7.060600000000000875e+01,1.184515748031496167e-02
2.243799999999999896e-04,2.527400000000000230e-05,3.390299999999999846e-04,8.846683768000000327e+02,4.018100000000000144e-02,7.094899999999999807e+01,1.235259842519685104e-02
2.295999999999999972e-04,1.704200000000000048e-05,3.551499999999999861e-04,8.892994422000000441e+02,4.249599999999999905e-02,7.131999999999999318e+01,1.331133858267716588e-02
