#time, displacement
9.999999999999999547e-08,3.030228370775685681e-06
7.299999999999999564e-06,2.189487711277464063e-04
1.301999999999999901e-05,3.817234973221054171e-04
1.869999999999999714e-05,5.286923721592582575e-04
2.426000000000000151e-05,6.522471270690954849e-04
2.949999999999999877e-05,7.448856633674545355e-04
3.491999999999999770e-05,8.109624107810930928e-04
3.915999999999999776e-05,8.380250282660569759e-04
4.284000000000000319e-05,8.417401244363940244e-04
4.615999999999999173e-05,8.386128655439668757e-04
4.918000000000000008e-05,8.653952898982173337e-04
5.209999999999999923e-05,9.524561612858768690e-04
5.489999999999999275e-05,1.117830009915120586e-03
5.767999999999999663e-05,1.370524040939946229e-03
6.042000000000000089e-05,1.711621307947324517e-03
6.315999999999999837e-05,2.149756962156279191e-03
6.590000000000000263e-05,2.690569780299016667e-03
6.863999999999999334e-05,3.339698539107739238e-03
7.137999999999999760e-05,4.102782015314657658e-03
7.412000000000000186e-05,4.985458985651974005e-03
7.685999999999999256e-05,5.993368226851888622e-03
7.959999999999999682e-05,7.132148515646617899e-03
8.234000000000000108e-05,8.407438628768361746e-03
8.507999999999999179e-05,9.824877342949317471e-03
8.781999999999998249e-05,1.139010343492169799e-02
9.056000000000000031e-05,1.310588019449793716e-02
9.329999999999999101e-05,1.495923797062758374e-02
9.603999999999999527e-05,1.693185356756909607e-02
9.877999999999999953e-05,1.900539932622964667e-02
1.015199999999999902e-04,2.116154758751639248e-02
1.042599999999999945e-04,2.338197069233651990e-02
1.069999999999999988e-04,2.564889304744847470e-02
1.097399999999999895e-04,2.795103241966541419e-02
1.152199999999999980e-04,3.263280711557686037e-02
1.179599999999999887e-04,3.499847299036906029e-02
1.206999999999999929e-04,3.737134491711741752e-02
1.234399999999999972e-04,3.974443817137076479e-02
1.261799999999999879e-04,4.211076802867796953e-02
1.289199999999999786e-04,4.446334976458787835e-02
1.316599999999999964e-04,4.679519865464940032e-02
1.343999999999999871e-04,4.909932997441131264e-02
1.371399999999999778e-04,5.136902291780642837e-02
1.398799999999999957e-04,5.360411381444354917e-02
1.426199999999999864e-04,5.581127867738087944e-02
1.453600000000000042e-04,5.799751397914557072e-02
1.480999999999999949e-04,6.016981619226466349e-02
1.508399999999999856e-04,6.233518178926533704e-02
1.535800000000000034e-04,6.450060724267468737e-02
1.563199999999999941e-04,6.667308902501979662e-02
1.590599999999999848e-04,6.885962360882778854e-02
1.618000000000000026e-04,7.106720746662578692e-02
1.645399999999999933e-04,7.330145966286365222e-02
1.672799999999999840e-04,7.556162592511331266e-02
1.700200000000000019e-04,7.784510990829186794e-02
1.727599999999999926e-04,8.014931508518710612e-02
1.754999999999999833e-04,8.247164492858692630e-02
1.782400000000000011e-04,8.480950291127922758e-02
1.809799999999999918e-04,8.716029250605185352e-02
1.837199999999999825e-04,8.952141718569264772e-02
1.864600000000000003e-04,9.189028042298956478e-02
1.891999999999999910e-04,9.426428569073037889e-02
1.919399999999999817e-04,9.664101530644900184e-02
1.946799999999999995e-04,9.902027076125499705e-02
1.974199999999999902e-04,1.014033547337681307e-01
2.001599999999999809e-04,1.037915982368008555e-01
2.056399999999999895e-04,1.085888878856751394e-01
2.083799999999999802e-04,1.110005960571416039e-01
2.111199999999999980e-04,1.134227878103776233e-01
2.138600000000000158e-04,1.158567941581956640e-01
2.165999999999999794e-04,1.183036895359928509e-01
2.193399999999999972e-04,1.207630804504542105e-01
2.220800000000000150e-04,1.232340522475715155e-01
2.248199999999999786e-04,1.257156896528940637e-01
2.275599999999999964e-04,1.282070773919713469e-01
2.302799999999999975e-04,1.306890205821475692e-01
2.330199999999999882e-04,1.331971086727688214e-01
2.357599999999999789e-04,1.357122079546282389e-01
2.384999999999999967e-04,1.382334031532751750e-01
2.412399999999999874e-04,1.407597789942590383e-01
2.439799999999999781e-04,1.432904818790330659e-01
2.467199999999999688e-04,1.458250229205430015e-01
2.494600000000000138e-04,1.483630468046037154e-01
2.521999999999999503e-04,1.509041984177584561e-01
2.549399999999999952e-04,1.534481226465508885e-01
2.576799999999999859e-04,1.559944643775242890e-01
2.604200000000000308e-04,1.585428684972223223e-01
2.631600000000000215e-04,1.610929798921882372e-01
2.658999999999999580e-04,1.636444434489654765e-01
2.686399999999999487e-04,1.661969040540976772e-01
2.713799999999999936e-04,1.687500164293032345e-01
2.741199999999999843e-04,1.713035957400371734e-01
2.768599999999999750e-04,1.738575878270351704e-01
2.796000000000000200e-04,1.764119423337984216e-01
2.823399999999999565e-04,1.789666089038279562e-01
2.850799999999999472e-04,1.815215371806251365e-01
2.878199999999999921e-04,1.840766768076911308e-01
2.905599999999999828e-04,1.866319774285270516e-01
2.932999999999999735e-04,1.891873886866340670e-01
2.960400000000000184e-04,1.917428602255134562e-01
2.965799999999999556e-04,1.922464960629921282e-01
