{'temperature':534.67, 'engineering_strain_rate':0.01 }
time, displacement, load, engineering_strain, engineering_stress
3.026620000000002619e+01,6.516149999999999720e-02,9.673745999999999867e+02,2.606459999999999888e-01,7.782937026827099203e+01
3.124939999999969586e+01,6.902949999999999364e-02,9.778986999999999625e+02,2.761179999999999746e-01,7.867607853995842504e+01
3.226620000000002619e+01,7.305100000000000482e-02,9.880940000000000509e+02,2.922040000000000193e-01,7.949633346364167608e+01
3.324939999999969586e+01,7.694399999999999851e-02,9.966449000000000069e+02,3.077759999999999940e-01,8.018428946561542148e+01
3.424960000000010041e+01,8.094925000000000037e-02,1.005195699999999988e+03,3.237970000000000015e-01,8.087223742216703215e+01
3.524949999999989814e+01,8.496299999999999686e-02,1.012102200000000039e+03,3.398519999999999874e-01,8.142789450243130034e+01
3.624939999999969586e+01,8.902575000000000072e-02,1.020653099999999995e+03,3.561030000000000029e-01,8.211585050440505995e+01
3.826620000000002619e+01,9.731125000000000191e-02,1.031999499999999898e+03,3.892450000000000077e-01,8.302871628236934498e+01
3.924939999999969586e+01,1.014367500000000061e-01,1.037754799999999932e+03,4.057470000000000243e-01,8.349175446293040181e+01
4.026599999999962165e+01,1.057312499999999988e-01,1.041537000000000035e+03,4.229249999999999954e-01,8.379604841919994840e+01
4.124929999999949359e+01,1.099037499999999945e-01,1.046634600000000091e+03,4.396149999999999780e-01,8.420617185833050655e+01
4.224939999999969586e+01,1.142037500000000066e-01,1.049265599999999949e+03,4.568150000000000266e-01,8.441784691489681336e+01
4.326609999999982392e+01,1.186465000000000020e-01,1.052061099999999897e+03,4.745860000000000078e-01,8.464275669088735299e+01
4.426599999999962165e+01,1.230657500000000015e-01,1.055020999999999958e+03,4.922630000000000061e-01,8.488089314088001913e+01
4.524939999999969586e+01,1.274442500000000089e-01,1.056665400000000091e+03,5.097770000000000357e-01,8.501319206258949635e+01
4.626599999999962165e+01,1.320395000000000041e-01,1.057980999999999995e+03,5.281580000000000163e-01,8.511903763629480579e+01
4.704929999999967549e+01,1.356282500000000057e-01,1.058803200000000061e+03,5.425130000000000230e-01,8.518518709714955151e+01
4.804929999999967549e+01,1.402802499999999952e-01,1.058638699999999972e+03,5.611209999999999809e-01,8.517195237772530447e+01
4.904929999999967549e+01,1.449944999999999984e-01,1.056994300000000067e+03,5.799779999999999935e-01,8.503965345601582726e+01
5.004929999999967549e+01,1.498072500000000029e-01,1.054363299999999981e+03,5.992290000000000116e-01,8.482797839944949203e+01
5.104919999999947322e+01,1.546849999999999892e-01,1.049430100000000039e+03,6.187399999999999567e-01,8.443108163432104618e+01
5.204919999999947322e+01,1.597024999999999972e-01,1.042030299999999897e+03,6.388099999999999890e-01,8.383573648662834898e+01
5.306589999999960128e+01,1.648907500000000026e-01,1.027559600000000046e+03,6.595630000000000104e-01,8.267150758466932814e+01
5.404919999999947322e+01,1.699900000000000022e-01,1.009142299999999977e+03,6.799600000000000088e-01,8.118975805243864841e+01
5.506589999999960128e+01,1.753244999999999942e-01,9.823386000000000422e+02,7.012979999999999769e-01,7.903328723765847030e+01
5.606580000000030850e+01,1.807219999999999938e-01,9.471485000000000127e+02,7.228879999999999750e-01,7.620209514032876541e+01
5.706589999999960128e+01,1.862060000000000104e-01,8.997898000000000138e+02,7.448240000000000416e-01,7.239188780418000135e+01
5.784919999999965512e+01,1.906007500000000132e-01,8.560488000000000284e+02,7.624030000000000529e-01,6.887273970487655106e+01
