{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.897799999999999888e-04,1.465700000000000045e-05,2.451199999999999842e-04,8.372111969000000045e+02,2.900899999999999659e-02,6.714300000000000068e+01,9.073346456692912149e-03
1.949799999999999797e-04,1.877299999999999797e-05,2.642599999999999940e-04,8.433260017000001199e+02,3.035699999999999857e-02,6.763400000000000034e+01,9.664842519685039671e-03
2.053799999999999886e-04,1.620099999999999955e-05,2.934599999999999991e-04,8.550835124000000178e+02,3.482200000000000573e-02,6.857600000000000762e+01,1.091570866141732335e-02
2.105800000000000065e-04,1.825900000000000255e-05,3.146099999999999982e-04,8.615580116000000999e+02,3.667600000000000027e-02,6.909499999999999886e+01,1.166736220472440987e-02
2.157799999999999974e-04,2.186000000000000077e-05,3.276999999999999423e-04,8.669534276000000546e+02,3.785199999999999676e-02,6.952899999999999636e+01,1.204094488188976221e-02
2.209799999999999883e-04,2.031699999999999877e-05,3.448200000000000223e-04,8.722139582000000928e+02,4.021199999999999775e-02,6.995000000000000284e+01,1.277570866141732389e-02
2.261800000000000063e-04,1.928799999999999897e-05,3.609299999999999748e-04,8.762830011000000923e+02,4.232299999999999951e-02,7.027500000000000568e+01,1.345047244094488108e-02
2.313799999999999971e-04,2.186000000000000077e-05,3.780500000000000006e-04,8.806667766000000483e+02,4.438600000000000184e-02,7.062800000000000011e+01,1.402322834645669362e-02
2.365800000000000151e-04,2.340300000000000277e-05,3.921500000000000181e-04,8.854102465000000848e+02,4.611499999999999627e-02,7.100799999999999557e+01,1.451759842519685130e-02
2.417799999999999789e-04,2.237399999999999957e-05,4.132900000000000224e-04,8.895017702999999756e+02,4.800199999999999606e-02,7.133700000000000330e+01,1.539039370078740428e-02
2.469799999999999968e-04,2.391800000000000038e-05,4.284000000000000048e-04,8.937056986000000052e+02,5.001499999999999696e-02,7.167399999999999238e+01,1.592448818897638022e-02
2.521800000000000148e-04,2.700499999999999979e-05,4.424999999999999680e-04,8.986964583999999832e+02,5.198999999999999455e-02,7.207399999999999807e+01,1.635807086614173358e-02
2.573799999999999786e-04,2.700499999999999979e-05,4.596099999999999990e-04,9.026755777000000762e+02,5.384700000000000597e-02,7.239300000000000068e+01,1.703169291338582983e-02
2.625799999999999966e-04,2.854800000000000179e-05,4.747199999999999814e-04,9.069694296000000122e+02,5.535700000000000343e-02,7.273699999999999477e+01,1.756582677165354281e-02
2.677799999999999603e-04,2.443199999999999918e-05,4.978800000000000239e-04,9.120051512000001139e+02,5.834099999999999703e-02,7.314100000000000534e+01,1.863968503937007970e-02
2.729800000000000325e-04,2.751900000000000198e-05,5.089600000000000330e-04,9.161416368000000148e+02,5.937599999999999822e-02,7.347199999999999420e+01,1.895437007874015839e-02
2.781799999999999963e-04,3.060599999999999801e-05,5.250699999999999855e-04,9.199858707000000777e+02,6.111900000000000666e-02,7.378100000000000591e+01,1.946708661417323113e-02
2.833799999999999601e-04,2.700499999999999979e-05,5.482300000000000281e-04,9.238975473000000420e+02,6.367499999999999549e-02,7.409399999999999409e+01,2.052066929133858700e-02
2.885799999999999780e-04,3.060599999999999801e-05,5.653500000000000539e-04,9.278541857000001301e+02,6.570800000000000252e-02,7.441199999999999193e+01,2.105291338582677627e-02
2.937799999999999418e-04,3.317900000000000200e-05,5.814600000000000064e-04,9.311363970999999538e+02,6.712999999999999523e-02,7.467600000000000193e+01,2.158586614173228432e-02
2.989800000000000140e-04,3.215000000000000220e-05,5.915300000000000506e-04,9.352728827000000820e+02,6.866400000000000281e-02,7.500700000000000500e+01,2.202283464566929388e-02
3.041799999999999777e-04,3.677999999999999683e-05,6.156999999999999496e-04,9.388473457999999710e+02,7.069699999999999596e-02,7.529399999999999693e+01,2.279212598425196454e-02
3.093799999999999957e-04,2.906300000000000279e-05,6.277799999999999830e-04,9.429163887000000841e+02,7.283499999999999697e-02,7.562100000000000932e+01,2.357153543307086846e-02
3.145799999999999595e-04,3.420699999999999961e-05,6.449000000000000088e-04,9.465582944999999881e+02,7.460399999999998977e-02,7.591299999999999670e+01,2.404303149606299567e-02
3.197799999999999775e-04,3.626499999999999922e-05,6.660499999999999537e-04,9.498405059000001529e+02,7.650499999999998968e-02,7.617499999999999716e+01,2.479468503937008045e-02
3.249799999999999954e-04,3.935199999999999863e-05,6.761199999999999979e-04,9.546064567000000807e+02,7.834900000000000198e-02,7.655800000000000693e+01,2.506960629921260036e-02
3.301800000000000134e-04,3.523599999999999942e-05,6.992800000000000404e-04,9.579561108000000331e+02,8.091099999999999681e-02,7.682600000000000762e+01,2.614346456692913725e-02
3.353799999999999772e-04,3.729399999999999903e-05,7.133800000000000037e-04,9.623848480999999992e+02,8.222400000000000542e-02,7.718200000000000216e+01,2.661755905511811043e-02
3.405799999999999952e-04,4.140999999999999824e-05,7.304999999999999211e-04,9.667011809000001676e+02,8.387599999999999223e-02,7.752700000000000102e+01,2.712952755905511520e-02
3.457799999999999589e-04,3.935199999999999863e-05,7.486199999999999712e-04,9.700058732000001100e+02,8.635099999999999720e-02,7.779300000000000637e+01,2.792393700787401678e-02
3.509799999999999769e-04,4.089599999999999605e-05,7.677600000000000353e-04,9.743222060000000511e+02,8.801699999999999802e-02,7.813899999999999579e+01,2.861669291338582791e-02
3.561799999999999949e-04,4.140999999999999824e-05,7.808500000000000336e-04,9.784137297999999419e+02,8.953300000000000147e-02,7.846699999999999875e+01,2.911181102362205009e-02
3.613799999999999586e-04,4.398300000000000224e-05,7.909199999999999694e-04,9.822579637000001185e+02,9.135499999999999177e-02,7.877600000000001046e+01,2.940696850393700532e-02
3.665799999999999766e-04,4.192500000000000263e-05,8.140800000000000120e-04,9.863719684000001280e+02,9.348300000000001053e-02,7.910500000000000398e+01,3.039980314960630259e-02
3.769800000000000126e-04,4.501199999999999527e-05,8.483199999999999552e-04,9.932286429000000680e+02,9.687899999999999290e-02,7.965600000000000591e+01,3.162629921259842158e-02
3.821799999999999763e-04,4.655499999999999726e-05,8.634200000000000512e-04,9.965108543000000054e+02,9.923500000000000376e-02,7.991899999999999693e+01,3.216003937007874680e-02
3.873799999999999943e-04,4.964199999999999668e-05,8.825499999999999578e-04,9.988488679000000730e+02,1.011100000000000054e-01,8.010699999999999932e+01,3.279165354330708382e-02
3.925799999999999581e-04,4.604100000000000185e-05,9.047099999999999760e-04,1.001973713000000089e+03,1.032799999999999968e-01,8.035600000000000875e+01,3.380586614173228255e-02
3.977799999999999760e-04,4.964199999999999668e-05,9.147800000000000202e-04,1.004559016499999984e+03,1.041500000000000065e-01,8.056399999999999295e+01,3.406055118110236368e-02
4.029799999999999940e-04,4.964199999999999668e-05,9.329000000000000703e-04,1.007099358200000097e+03,1.065200000000000036e-01,8.076699999999999591e+01,3.477393700787401870e-02
4.081800000000000120e-04,5.170000000000000306e-05,9.540500000000000152e-04,1.009976913400000171e+03,1.085699999999999998e-01,8.099800000000000466e+01,3.552559055118110348e-02
4.133799999999999758e-04,4.449699999999999766e-05,9.721800000000000060e-04,1.013888590000000022e+03,1.106900000000000106e-01,8.131199999999999761e+01,3.652295275590551615e-02
4.185799999999999395e-04,5.324300000000000506e-05,9.842600000000000394e-04,1.016091718200000059e+03,1.118200000000000027e-01,8.148899999999999011e+01,3.665421259842519680e-02
4.237799999999999575e-04,4.398300000000000224e-05,1.004400000000000128e-03,1.018789426200000094e+03,1.147500000000000048e-01,8.170499999999999829e+01,3.781169291338583316e-02
4.289799999999999755e-04,5.375800000000000267e-05,1.022499999999999971e-03,1.022139080300000046e+03,1.161599999999999855e-01,8.197499999999999432e+01,3.813944881889763661e-02
4.341799999999999935e-04,5.272899999999999609e-05,1.035600000000000019e-03,1.024319727599999851e+03,1.182900000000000063e-01,8.214900000000000091e+01,3.869570866141731902e-02
4.393799999999999572e-04,5.272899999999999609e-05,1.053700000000000079e-03,1.027062397400000009e+03,1.194900000000000129e-01,8.236899999999999977e+01,3.940830708661417769e-02
4.445799999999999752e-04,5.221399999999999848e-05,1.071900000000000196e-03,1.029288006499999938e+03,1.221299999999999886e-01,8.254700000000001125e+01,4.014511811023622340e-02
4.497799999999999390e-04,5.735899999999999750e-05,1.087999999999999991e-03,1.032705103300000019e+03,1.236499999999999960e-01,8.282099999999999795e+01,4.057641732283464447e-02
4.549800000000000112e-04,5.838800000000000408e-05,1.106100000000000052e-03,1.035740024799999901e+03,1.256799999999999862e-01,8.306399999999999295e+01,4.124850393700787987e-02
4.601799999999999749e-04,5.993100000000000608e-05,1.121199999999999931e-03,1.038909831700000041e+03,1.269699999999999995e-01,8.331900000000000261e+01,4.178224409448818427e-02
4.653799999999999929e-04,5.787399999999999511e-05,1.143400000000000145e-03,1.041337768900000128e+03,1.295000000000000040e-01,8.351399999999999579e+01,4.273724409448819567e-02
4.705799999999999567e-04,6.147500000000000349e-05,1.154400000000000088e-03,1.043608339800000067e+03,1.313700000000000145e-01,8.369499999999999318e+01,4.302854330708661551e-02
4.757799999999999746e-04,6.198899999999999213e-05,1.169499999999999967e-03,1.046620780400000058e+03,1.330599999999999838e-01,8.393700000000001182e+01,4.360279527559055707e-02
4.809799999999999926e-04,6.559100000000000271e-05,1.188700000000000000e-03,1.048599099600000045e+03,1.343999999999999917e-01,8.409600000000000364e+01,4.421688976377952801e-02
4.861800000000000106e-04,6.147500000000000349e-05,1.205799999999999927e-03,1.050937113200000113e+03,1.365000000000000102e-01,8.428299999999998704e+01,4.505216535433070185e-02
4.913799999999999201e-04,6.147500000000000349e-05,1.228999999999999841e-03,1.052780547000000070e+03,1.395900000000000196e-01,8.443099999999999739e+01,4.596555118110235566e-02
4.965799999999999381e-04,6.764900000000000232e-05,1.229999999999999974e-03,1.054534057200000007e+03,1.392100000000000004e-01,8.457200000000000273e+01,4.576185039370079394e-02
5.017799999999999561e-04,6.353300000000000310e-05,1.250099999999999866e-03,1.055950353900000209e+03,1.417899999999999994e-01,8.468600000000000705e+01,4.671523622047243918e-02
5.069799999999999741e-04,6.147500000000000349e-05,1.268200000000000143e-03,1.056107720200000131e+03,1.439099999999999824e-01,8.469799999999999329e+01,4.750885826771653747e-02
5.121799999999998836e-04,6.507599999999999832e-05,1.289400000000000008e-03,1.057254246100000046e+03,1.453399999999999970e-01,8.479000000000000625e+01,4.820173228346456840e-02
5.173800000000000100e-04,6.661999999999999574e-05,1.296400000000000070e-03,1.058086039400000118e+03,1.464999999999999913e-01,8.485700000000001353e+01,4.841653543307086749e-02
5.225800000000000280e-04,6.867799999999999534e-05,1.305500000000000020e-03,1.058558138300000110e+03,1.478700000000000014e-01,8.489499999999999602e+01,4.869377952755905847e-02
5.277799999999999376e-04,6.610500000000000490e-05,1.313599999999999837e-03,1.059097679900000230e+03,1.491000000000000103e-01,8.493799999999998818e+01,4.911397637795275606e-02
5.329599999999999659e-04,6.867799999999999534e-05,1.337700000000000044e-03,1.058760466400000041e+03,2.392800000000000205e-01,8.491100000000000136e+01,4.996149606299213342e-02
5.381599999999999839e-04,6.919199999999999754e-05,1.338699999999999959e-03,1.058445733799999971e+03,2.397699999999999831e-01,8.488600000000000989e+01,4.998062992125983789e-02
5.433600000000000018e-04,7.073600000000000851e-05,1.353800000000000055e-03,1.057771306800000048e+03,2.412999999999999867e-01,8.483100000000000307e+01,5.051433070866141739e-02
5.485599999999999114e-04,6.661999999999999574e-05,1.364900000000000054e-03,1.056602300000000014e+03,2.438699999999999757e-01,8.473799999999999955e+01,5.111338582677165537e-02
5.499199999999999661e-04,6.970700000000000192e-05,1.367900000000000019e-03,1.056197643799999923e+03,2.437900000000000067e-01,8.470600000000000307e+01,5.110996062992126387e-02
