#time, displacement
2.000000000000000042e-08,-2.336514745399676264e-07
1.696000000000000025e-05,-1.618811107095184882e-04
4.034000000000000340e-05,1.659329119888127389e-05
4.788000000000000236e-05,2.565732737462760385e-04
5.539999999999999813e-05,6.307616328077875895e-04
5.945999999999999653e-05,9.081449879246952274e-04
6.360000000000000093e-05,1.257451837482128059e-03
6.765999999999999933e-05,1.674392098871427779e-03
7.171999999999999773e-05,2.174109820442426261e-03
7.577999999999999613e-05,2.765665340876090859e-03
7.983999999999999452e-05,3.458118998853388498e-03
8.390000000000000647e-05,4.260143521847390043e-03
8.795999999999999132e-05,5.172541265595073830e-03
9.201999999999998972e-05,6.188784246677532692e-03
9.607999999999998811e-05,7.302065048092398064e-03
1.001400000000000001e-04,8.505576252837307449e-03
1.041999999999999985e-04,9.792510443909885343e-03
1.082599999999999969e-04,1.115606020430776925e-02
1.123199999999999817e-04,1.258941811702858626e-02
1.163799999999999937e-04,1.408577676506999124e-02
1.204399999999999921e-04,1.563832873142959393e-02
1.244999999999999904e-04,1.724019178876599542e-02
1.285600000000000024e-04,1.888404677653121935e-02
1.326199999999999872e-04,2.056241636031603745e-02
1.366799999999999992e-04,2.226782298730742293e-02
1.407400000000000111e-04,2.399278910469230391e-02
1.447999999999999960e-04,2.572983715965762586e-02
1.488600000000000079e-04,2.747148959939035157e-02
1.529199999999999928e-04,2.921026887107740222e-02
1.569799999999999776e-04,3.093869742190574756e-02
1.610399999999999896e-04,3.264935334314936211e-02
1.650999999999999744e-04,3.433868815286835602e-02
1.691599999999999864e-04,3.600948671266675921e-02
1.772799999999999832e-04,3.930895543354612914e-02
1.813399999999999951e-04,4.094436577014929496e-02
1.854000000000000071e-04,4.257472020787624739e-02
1.894599999999999919e-04,4.420338883448805822e-02
1.935200000000000039e-04,4.583374173774582699e-02
1.975800000000000158e-04,4.746914900541066712e-02
2.016399999999999736e-04,4.911298072524364344e-02
2.056999999999999855e-04,5.076798501882615056e-02
2.097599999999999703e-04,5.243426636507677457e-02
2.138199999999999823e-04,5.411122697983121455e-02
2.178799999999999942e-04,5.579826907344220821e-02
2.219399999999999791e-04,5.749479485626254188e-02
2.259999999999999910e-04,5.920020653864501575e-02
2.300600000000000030e-04,6.091390633094240226e-02
2.341199999999999878e-04,6.263529644350747383e-02
2.381799999999999998e-04,6.436377908669306536e-02
2.422399999999999846e-04,6.609875647085186601e-02
2.463000000000000237e-04,6.783964684153943880e-02
2.503599999999999814e-04,6.958651536146877314e-02
2.544199999999999934e-04,7.134028144449378050e-02
2.584800000000000053e-04,7.310192301372457624e-02
2.625400000000000173e-04,7.487241799227126182e-02
2.666000000000000292e-04,7.665274430324402199e-02
2.706599999999999870e-04,7.844387986975298599e-02
2.747199999999999989e-04,8.024680261490831079e-02
2.787799999999999567e-04,8.206249046182013951e-02
2.828399999999999686e-04,8.389192133359862913e-02
2.868999999999999806e-04,8.573601790715097704e-02
2.909599999999999925e-04,8.759412280118508698e-02
2.950199999999999502e-04,8.946380478903415145e-02
2.990799999999999622e-04,9.134253847771346690e-02
3.031399999999999741e-04,9.322779847423823263e-02
3.112599999999999980e-04,9.700779581888491210e-02
3.153199999999999558e-04,9.889748238103723832e-02
3.193799999999999677e-04,1.007835936790958814e-01
3.234399999999999797e-04,1.026636043200760545e-01
3.274999999999999916e-04,1.045352886563774841e-01
3.315600000000000036e-04,1.063993872753096620e-01
3.356200000000000155e-04,1.082583340289363372e-01
3.396799999999999733e-04,1.101145825564401048e-01
3.437399999999999852e-04,1.119705864970035603e-01
3.477999999999999972e-04,1.138287994898092848e-01
3.518600000000000091e-04,1.156916751740398736e-01
3.558999999999999772e-04,1.175524339647476685e-01
3.599599999999999892e-04,1.194319427929918104e-01
3.640199999999999469e-04,1.213234631433160182e-01
3.680799999999999589e-04,1.232291696263710518e-01
3.721399999999999708e-04,1.251483986378926216e-01
3.761999999999999828e-04,1.270788312615231119e-01
3.802599999999999947e-04,1.290181279142469106e-01
3.843199999999999525e-04,1.309639490130484474e-01
3.883799999999999644e-04,1.329139549749122073e-01
3.924399999999999764e-04,1.348658062168226479e-01
3.964999999999999883e-04,1.368171631557640877e-01
4.005600000000000003e-04,1.387656862087210674e-01
4.046200000000000122e-04,1.407090382947962237e-01
4.086799999999999699e-04,1.426456807924351977e-01
4.127399999999999819e-04,1.445760106651445831e-01
4.167999999999999938e-04,1.465007124550508633e-01
4.208600000000000058e-04,1.484204707042804661e-01
4.249200000000000177e-04,1.503359699549598194e-01
4.289799999999999755e-04,1.522478947492153789e-01
4.330399999999999874e-04,1.541569296291736280e-01
4.370999999999999994e-04,1.560637591369609389e-01
4.411600000000000113e-04,1.579690678147037952e-01
4.452200000000000233e-04,1.598735402045286802e-01
4.461199999999999910e-04,1.602956692913386216e-01
