{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
4.959999999999999945e-06,-7.871599999999999309e-06,-1.838400000000000051e-06,1.010696302199999952e+00,1.059000000000000045e-03,8.115800000000000791e-02,2.375275590551180808e-04
1.101999999999999952e-05,-6.338300000000000792e-06,-5.793500000000000520e-06,3.007269993000000419e+00,7.524600000000000429e-04,2.414699999999999902e-01,2.144881889763780542e-05
1.681999999999999820e-05,-3.271600000000000152e-06,2.116800000000000214e-06,6.469328592999999294e+00,-7.297699999999999603e-06,5.194800000000000528e-01,2.121417322834646068e-04
2.355999999999999804e-05,-2.780499999999999891e-05,-1.838400000000000051e-06,1.733434756300000146e+01,9.658600000000000258e-04,1.391899999999999915e+00,1.022307086614173159e-03
2.855999999999999761e-05,-1.860499999999999890e-05,-1.838400000000000051e-06,3.428786868000000254e+01,1.132799999999999996e-03,2.753200000000000092e+00,6.601023622047244143e-04
3.538000000000000346e-05,-1.247200000000000019e-05,1.392199999999999986e-07,8.037146558999999968e+01,7.858000000000000184e-04,6.453700000000000436e+00,4.965047244094488105e-04
4.049999999999999510e-05,1.328499999999999859e-06,6.072000000000000479e-06,1.437181456099999934e+02,1.168299999999999937e-03,1.153999999999999915e+01,1.867519685039370166e-04
4.593999999999999722e-05,-4.804900000000000363e-06,1.991500000000000160e-05,2.473348618000000272e+02,5.739200000000000074e-04,1.985999999999999943e+01,9.732244094488188895e-04
5.137999999999999935e-05,-2.048599999999999961e-07,6.072000000000000479e-06,3.911002173000000539e+02,1.534200000000000104e-03,3.140399999999999991e+01,2.471204724409449050e-04
5.607999999999999839e-05,-4.804900000000000363e-06,1.793800000000000003e-05,5.305492400000000544e+02,1.580299999999999977e-03,4.260199999999999676e+01,8.953897637795277037e-04
6.085999999999999667e-05,8.995199999999999867e-06,2.189300000000000198e-05,6.505747651000000360e+02,2.071300000000000311e-03,5.223899999999999721e+01,5.077874015748032452e-04
6.551999999999999610e-05,-7.871599999999999309e-06,2.387000000000000016e-05,7.111158288000000312e+02,2.476599999999999809e-03,5.710100000000000620e+01,1.249669291338582726e-03
7.015999999999999234e-05,5.928500000000000074e-06,2.980300000000000248e-05,7.223787597000000460e+02,3.565899999999999886e-03,5.800600000000000023e+01,9.399409448818899643e-04
7.479999999999998857e-05,-3.271600000000000152e-06,4.957899999999999406e-05,7.252563149000000067e+02,6.378199999999999668e-03,5.823799999999999955e+01,2.080732283464566557e-03
7.943999999999999835e-05,-1.738199999999999934e-06,5.353399999999999939e-05,7.372835963999999649e+02,8.007399999999999587e-03,5.920300000000000296e+01,2.176070866141732556e-03
8.407999999999999459e-05,2.126199999999999735e-05,7.528800000000000151e-05,7.444999652999999853e+02,8.234800000000000453e-03,5.978199999999999648e+01,2.127007874015748000e-03
8.871999999999999082e-05,-1.738199999999999934e-06,9.901899999999999504e-05,7.518961814000000459e+02,1.214300000000000102e-02,6.037600000000000477e+01,3.966818897637795251e-03
9.336000000000000060e-05,-3.271600000000000152e-06,1.187900000000000062e-04,7.693863216000000875e+02,1.376299999999999919e-02,6.178100000000000591e+01,4.805574803149606673e-03
9.799999999999999684e-05,5.928500000000000074e-06,1.365899999999999916e-04,7.873935225000000173e+02,1.601399999999999699e-02,6.322699999999999676e+01,5.144153543307086220e-03
1.026399999999999931e-04,2.861799999999999858e-06,1.563699999999999953e-04,8.005898108000000093e+02,2.042199999999999918e-02,6.428600000000000136e+01,6.043629921259842733e-03
1.072800000000000029e-04,4.395199999999999864e-06,1.880100000000000109e-04,8.129767867000000479e+02,2.386200000000000127e-02,6.528100000000000591e+01,7.228929133858268477e-03
1.119199999999999991e-04,1.972900000000000033e-05,2.196499999999999993e-04,8.261730750000000398e+02,2.633399999999999630e-02,6.634100000000000819e+01,7.870905511811023339e-03
1.165599999999999953e-04,-1.738199999999999934e-06,2.671099999999999820e-04,8.398864240000000336e+02,3.264800000000000341e-02,6.744199999999999307e+01,1.058457480314960522e-02
1.211999999999999916e-04,1.328499999999999859e-06,2.928200000000000052e-04,8.518687437000000955e+02,3.615199999999999664e-02,6.840300000000000580e+01,1.147604330708661483e-02
1.258400000000000013e-04,7.461900000000000504e-06,3.304000000000000079e-04,8.640758723999999802e+02,4.083799999999999930e-02,6.938400000000000034e+01,1.271409842519685175e-02
1.304799999999999840e-04,1.819500000000000113e-05,3.778599999999999906e-04,8.786659765000000561e+02,4.649999999999999967e-02,7.055599999999999739e+01,1.416003937007874122e-02
1.351199999999999938e-04,1.819500000000000113e-05,4.233400000000000227e-04,8.922444401000000198e+02,5.110100000000000059e-02,7.164600000000000080e+01,1.595059055118110483e-02
1.397599999999999765e-04,1.359499999999999943e-05,4.708100000000000002e-04,9.054407284000000118e+02,5.735299999999999426e-02,7.270600000000000307e+01,1.800059055118110457e-02
1.443999999999999863e-04,2.861799999999999858e-06,5.162899999999999781e-04,9.176028953000000001e+02,6.427399999999999780e-02,7.368200000000000216e+01,2.021370866141732406e-02
1.490399999999999961e-04,1.819500000000000113e-05,5.637500000000000150e-04,9.298549858000000086e+02,6.780900000000000816e-02,7.466599999999999682e+01,2.147854330708661233e-02
1.536800000000000058e-04,1.052900000000000033e-05,6.151699999999999530e-04,9.415900155999999015e+02,7.537000000000000643e-02,7.560899999999999466e+01,2.380476377952755671e-02
1.583199999999999885e-04,2.126199999999999735e-05,6.606500000000000393e-04,9.517289015000000063e+02,8.148500000000000187e-02,7.642199999999999704e+01,2.517275590551181289e-02
1.675999999999999810e-04,4.395199999999999864e-06,7.674399999999999842e-04,9.735803362999999990e+02,9.393100000000000060e-02,7.817699999999999250e+01,3.004113385826771843e-02
1.722399999999999908e-04,1.206200000000000073e-05,8.149099999999999617e-04,9.831796805999999833e+02,9.929600000000000926e-02,7.894700000000000273e+01,3.160818897637795305e-02
1.768800000000000006e-04,1.972900000000000033e-05,8.663199999999999590e-04,9.927340630999999576e+02,1.041799999999999948e-01,7.971500000000000341e+01,3.333035433070866138e-02
1.815200000000000103e-04,1.512900000000000033e-05,9.217000000000000149e-04,1.001996193900000094e+03,1.114200000000000051e-01,8.045900000000000318e+01,3.569177165354330689e-02
