#time, displacement
2.000000000000000042e-08,9.327986563722841721e-08
7.780000000000000050e-06,3.609027093020349212e-05
1.519999999999999847e-05,6.943403194407111296e-05
2.523999999999999890e-05,1.110404646978956902e-04
3.161999999999999880e-05,1.343440608390062503e-04
3.910000000000000172e-05,1.581462577115654803e-04
4.625999999999999416e-05,1.812017117496159254e-04
5.273999999999999988e-05,2.069564493926386365e-04
5.889999999999999511e-05,2.396016201040571721e-04
6.441999999999999647e-05,2.785419257886324299e-04
7.009999999999999630e-05,3.309308120560749489e-04
7.548000000000000239e-05,3.945432337941473652e-04
8.079999999999999888e-05,4.731622794670603408e-04
8.611999999999999538e-05,5.696770568408924401e-04
9.143999999999999188e-05,6.863468752425932497e-04
9.676000000000000193e-05,8.254310439991126812e-04
1.020799999999999984e-04,9.891567143080614178e-04
1.073999999999999949e-04,1.179411879453608463e-03
1.127199999999999914e-04,1.397881136902745340e-03
1.180400000000000015e-04,1.646246324032596192e-03
1.233599999999999844e-04,1.926189278220282342e-03
1.286799999999999945e-04,2.239391836842930753e-03
1.340000000000000045e-04,2.587535837277662749e-03
1.393199999999999875e-04,2.972303116901599870e-03
1.446399999999999704e-04,3.395375513091866693e-03
1.499600000000000076e-04,3.858434841999293635e-03
1.552799999999999905e-04,4.361899442811142599e-03
1.606000000000000006e-04,4.901516660770653330e-03
1.659199999999999835e-04,5.471954669717758908e-03
1.712399999999999936e-04,6.067881643492405858e-03
1.765600000000000036e-04,6.683965755934528560e-03
1.818799999999999866e-04,7.314875180884064867e-03
1.871999999999999695e-04,7.955278092180956967e-03
1.978399999999999896e-04,9.248725944327988377e-03
2.031599999999999997e-04,9.899972422376102782e-03
2.084799999999999826e-04,1.055383933693707088e-02
2.137999999999999927e-04,1.121003120052162585e-02
2.191200000000000027e-04,1.186825252564049048e-02
2.244399999999999857e-04,1.252820782480438579e-02
2.297599999999999686e-04,1.318960161052403976e-02
2.350800000000000058e-04,1.385213839531018558e-02
2.403999999999999887e-04,1.451552269167353734e-02
2.457199999999999987e-04,1.517945901212482823e-02
2.510399999999999546e-04,1.584365297069680739e-02
2.563600000000000189e-04,1.650792666981022380e-02
2.616799999999999747e-04,1.717231993562532213e-02
2.669999999999999847e-04,1.783689646071132118e-02
2.723199999999999948e-04,1.850171993763739808e-02
2.776399999999999506e-04,1.916685405897272654e-02
2.829599999999999607e-04,1.983236251728652533e-02
2.882799999999999707e-04,2.049830900514796120e-02
2.936000000000000350e-04,2.116475721512624253e-02
2.989199999999999908e-04,2.183177083979053260e-02
3.042400000000000009e-04,2.249941345949798416e-02
3.095600000000000109e-04,2.316769063542433241e-02
3.148799999999999668e-04,2.383645526918649546e-02
3.201999999999999768e-04,2.450553545228859043e-02
3.255199999999999869e-04,2.517475927623472054e-02
3.308399999999999427e-04,2.584395483252897863e-02
3.361600000000000070e-04,2.651295021267548874e-02
3.414800000000000170e-04,2.718157350817834023e-02
3.467999999999999729e-04,2.784965281054163633e-02
3.521199999999999829e-04,2.851701641131493270e-02
3.574399999999999930e-04,2.918351561606856090e-02
3.627599999999999488e-04,2.984904580010071945e-02
3.733999999999999689e-04,3.117680051486886386e-02
3.787200000000000332e-04,3.183882575003894183e-02
3.840399999999999890e-04,3.249948337335574478e-02
3.893599999999999991e-04,3.315867373703632742e-02
3.946800000000000091e-04,3.381629719329774797e-02
3.999999999999999650e-04,3.447225562977509344e-02
4.053199999999999750e-04,3.512683326718457621e-02
4.106399999999999851e-04,3.578119711652760770e-02
4.159599999999999409e-04,3.643663838793029935e-02
4.212799999999999510e-04,3.709444829151881812e-02
4.266000000000000152e-04,3.775591803741926156e-02
4.319199999999999711e-04,3.842233883575774805e-02
4.372399999999999811e-04,3.909500189666043068e-02
4.425599999999999912e-04,3.977519843025342783e-02
4.478800000000000012e-04,4.046421964666285093e-02
4.531999999999999570e-04,4.116317505483661765e-02
4.585199999999999671e-04,4.187021245600234393e-02
4.638399999999999771e-04,4.258106872228140799e-02
4.691599999999999872e-04,4.329141064427360908e-02
4.744799999999999972e-04,4.399690501257872560e-02
4.798000000000000073e-04,4.469321861779656374e-02
4.851199999999999631e-04,4.537601825052690885e-02
4.904399999999999732e-04,4.604097070136955322e-02
4.957599999999999290e-04,4.668374276092428915e-02
5.010799999999999933e-04,4.730031361416749819e-02
5.063999999999999491e-04,4.789068796350420126e-02
5.117200000000000134e-04,4.845766780189960515e-02
5.170399999999999692e-04,4.900411162265198156e-02
5.223600000000000335e-04,4.953287791905965770e-02
5.276799999999998809e-04,5.004682518442087752e-02
5.329999999999999452e-04,5.054881191203399599e-02
5.383200000000000094e-04,5.104169659519727786e-02
5.436399999999999653e-04,5.152833772720900873e-02
5.489600000000000295e-04,5.201159380136749499e-02
5.499400000000000642e-04,5.210047244094487967e-02
