{'temperature':534.67, 'engineering_strain_rate':3600 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
4.980000000000000601e-06,-5.614600000000000420e-06,2.797499999999999897e-05,3.780388143999999784e+00,1.889999999999999862e-04,3.026200000000000001e-01,1.322425196850393744e-03
9.960000000000001201e-06,3.134499999999999911e-07,1.592200000000000104e-05,1.185282971600000046e+01,-1.770900000000000002e-04,9.487899999999999112e-01,6.145098425196851566e-04
1.541999999999999805e-05,-1.539100000000000011e-06,3.869700000000000406e-06,2.865190705000000193e+01,1.799600000000000049e-04,2.293499999999999872e+00,2.129448818897638107e-04
1.967999999999999792e-05,-4.275599999999999984e-07,1.190500000000000037e-05,5.103164300000000253e+01,1.856399999999999912e-04,4.084999999999999964e+00,4.855338582677165690e-04
2.341999999999999938e-05,-7.980599999999999875e-07,1.190500000000000037e-05,8.078511415000001250e+01,7.237500000000000010e-04,6.466700000000000337e+00,5.001204724409449289e-04
2.776000000000000188e-05,6.839499999999999272e-07,3.869700000000000406e-06,1.307534105800000077e+02,1.646800000000000022e-04,1.046700000000000053e+01,1.254232283464567013e-04
3.176000000000000085e-05,1.795500000000000216e-06,1.190500000000000037e-05,1.962425203699999940e+02,2.216999999999999949e-04,1.570900000000000141e+01,3.980118110236220480e-04
3.536000000000000026e-05,-7.980599999999999875e-07,2.395699999999999780e-05,2.734351866999999743e+02,9.629200000000000302e-04,2.188899999999999935e+01,9.746086614173227842e-04
3.895999999999999968e-05,-5.705699999999999932e-08,3.869700000000000406e-06,3.679673712000000023e+02,9.834699999999999605e-04,2.945599999999999952e+01,1.545967322834645877e-04
4.203999999999999729e-05,-7.980599999999999875e-07,-1.478499999999999905e-07,4.602739466000000448e+02,1.119200000000000099e-03,3.684400000000000119e+01,2.559881889763779449e-05
4.525999999999999696e-05,5.871000000000000201e-06,1.190500000000000037e-05,5.586728458999999702e+02,1.334499999999999966e-03,4.472100000000000364e+01,2.375590551181102511e-04
4.807999999999999367e-05,-1.168599999999999916e-06,3.869700000000000406e-06,6.378955375000000458e+02,1.585500000000000104e-03,5.106199999999999761e+01,1.983582677165354508e-04
5.085999999999999755e-05,2.536500000000000194e-06,3.199300000000000353e-05,7.011567901000000802e+02,2.011300000000000154e-03,5.612600000000000477e+01,1.159704724409448993e-03
5.360000000000000181e-05,2.166000000000000099e-06,2.395699999999999780e-05,7.448146979000000556e+02,2.656300000000000328e-03,5.962100000000000222e+01,8.579133858267716517e-04
5.625999999999999328e-05,1.424999999999999909e-06,4.002800000000000368e-05,7.705778093000000126e+02,3.243300000000000176e-03,6.168299999999999983e+01,1.519803149606299263e-03
5.881999999999999588e-05,8.834999999999999267e-06,5.208000000000000281e-05,7.851679133999999749e+02,3.728099999999999817e-03,6.285000000000000142e+01,1.702559055118110353e-03
6.134000000000000563e-05,4.759499999999999916e-06,5.208000000000000281e-05,7.952843183999999610e+02,6.177700000000000378e-03,6.366100000000000136e+01,1.863011811023622096e-03
6.386000000000000183e-05,8.093999999999999077e-06,6.011500000000000296e-05,8.055356087999999772e+02,8.102700000000000874e-03,6.448199999999999932e+01,2.048070866141732480e-03
6.637999999999999803e-05,2.166000000000000099e-06,8.422100000000000560e-05,8.160791509000000588e+02,1.027800000000000068e-02,6.532500000000000284e+01,3.230511811023622105e-03
6.890000000000000779e-05,8.834999999999999267e-06,1.002900000000000037e-04,8.254761670999999978e+02,1.179499999999999993e-02,6.607800000000000296e+01,3.600590551181102363e-03
7.142000000000000399e-05,9.575999999999999457e-06,1.203799999999999960e-04,8.330072686000000886e+02,1.340599999999999951e-02,6.668000000000000682e+01,4.362362204724409137e-03
7.394000000000000019e-05,7.723499999999999829e-06,1.243999999999999880e-04,8.399089049000000387e+02,1.678699999999999984e-02,6.723300000000000409e+01,4.593562992125983617e-03
7.645999999999999639e-05,9.946500000000000399e-06,1.645700000000000049e-04,8.483167614999999842e+02,1.919000000000000219e-02,6.790600000000000591e+01,6.087539370078740540e-03
7.898000000000000615e-05,8.464500000000000019e-06,2.087600000000000003e-04,8.598045014000000492e+02,2.393600000000000241e-02,6.882600000000000762e+01,7.885649606299212008e-03
8.150000000000000235e-05,7.723499999999999829e-06,2.168000000000000114e-04,8.732031177999999727e+02,2.758600000000000288e-02,6.989799999999999613e+01,8.231358267716535823e-03
