{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.078199999999999943e-04,4.815600000000000108e-06,2.266199999999999749e-05,5.788157323000000360e+02,1.800700000000000130e-03,4.677000000000000313e+01,7.026141732283464406e-04
1.129999999999999955e-04,8.417000000000000897e-06,2.669000000000000026e-05,6.076812079000000040e+02,2.213500000000000190e-03,4.910199999999999676e+01,7.194094488188975843e-04
1.181799999999999967e-04,6.873599999999999716e-06,2.971100000000000065e-05,6.223837164999999914e+02,3.422600000000000035e-03,5.029100000000000392e+01,8.991102362204723844e-04
1.233599999999999844e-04,5.330100000000000010e-06,3.776699999999999941e-05,6.339838608999999678e+02,4.102100000000000017e-03,5.122800000000000153e+01,1.277043307086614225e-03
1.285399999999999856e-04,4.301200000000000425e-06,3.877399999999999841e-05,6.463933177000000114e+02,4.585600000000000440e-03,5.222999999999999687e+01,1.357196850393700737e-03
1.337199999999999869e-04,7.902499999999999301e-06,4.985100000000000094e-05,6.575213632000001098e+02,5.588599999999999991e-03,5.313000000000000256e+01,1.651515748031496004e-03
1.388999999999999881e-04,7.902499999999999301e-06,5.891399999999999870e-05,6.683121952000000192e+02,6.456299999999999886e-03,5.400199999999999534e+01,2.008326771653543095e-03
1.440800000000000164e-04,6.873599999999999716e-06,7.099800000000000024e-05,6.782262721000000738e+02,7.473600000000000382e-03,5.480199999999999960e+01,2.524582677165354214e-03
1.492599999999999906e-04,7.387999999999999399e-06,7.703999999999999423e-05,6.877581737000000430e+02,8.658499999999999530e-03,5.557300000000000040e+01,2.742204724409448482e-03
1.544399999999999918e-04,8.931499999999999105e-06,8.912399999999999576e-05,6.956939313999999968e+02,1.011599999999999999e-02,5.621399999999999864e+01,3.157185039370079098e-03
1.596199999999999930e-04,8.417000000000000897e-06,9.818700000000001385e-05,7.033823992000001226e+02,1.162999999999999971e-02,5.683600000000000563e+01,3.534251968503937611e-03
1.647999999999999942e-04,1.047500000000000051e-05,1.112800000000000052e-04,7.104189208999999892e+02,1.265600000000000058e-02,5.740500000000000114e+01,3.968700787401574850e-03
