{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.081999999999999974e-05,-2.865799999999999735e-06,5.628199999999999536e-07,1.354811438499999987e+01,-7.855800000000000239e-05,1.091299999999999937e+00,1.349850393700787398e-04
2.165999999999999930e-05,-1.332499999999999948e-06,1.242800000000000027e-05,6.589376599000000567e+01,3.351100000000000086e-04,5.307699999999999640e+00,5.417519685039370262e-04
2.969999999999999686e-05,2.008699999999999981e-07,1.440599999999999895e-05,1.594008214499999951e+02,2.741600000000000178e-04,1.283999999999999986e+01,5.592570866141732605e-04
3.847999999999999750e-05,3.267599999999999852e-06,6.495599999999999269e-06,3.384949113000000125e+02,4.430799999999999930e-04,2.726599999999999824e+01,1.270866141732283298e-04
4.509999999999999849e-05,3.267599999999999852e-06,1.045099999999999870e-05,5.102040255000000002e+02,3.481099999999999993e-04,4.109700000000000131e+01,2.828110236220471893e-04
5.055999999999999703e-05,1.553400000000000069e-05,2.231599999999999776e-05,6.310838248000000021e+02,1.100400000000000076e-03,5.083399999999999608e+01,2.670078740157479460e-04
5.543999999999999775e-05,1.553400000000000069e-05,1.836099999999999920e-05,6.843410768999999618e+02,2.235800000000000027e-03,5.512300000000000466e+01,1.112992125984251445e-04
6.013999999999999679e-05,1.734199999999999846e-06,4.407000000000000327e-05,6.975148842999999488e+02,4.261800000000000484e-03,5.618600000000000705e+01,1.666763779527559181e-03
6.479999999999998944e-05,3.267599999999999852e-06,4.604700000000000145e-05,7.096320894000000408e+02,4.385400000000000235e-03,5.715999999999999659e+01,1.684228346456692832e-03
6.945999999999998887e-05,1.400099999999999859e-05,5.395800000000000075e-05,7.262679554000000053e+02,5.599600000000000584e-03,5.850199999999999534e+01,1.573110236220472613e-03
7.412000000000000186e-05,1.400099999999999859e-05,6.977800000000000853e-05,7.358897805999999946e+02,6.367499999999999896e-03,5.927600000000000335e+01,2.195944881889764361e-03
7.878000000000000128e-05,1.734199999999999846e-06,8.362200000000000676e-05,7.470403069999999843e+02,8.945100000000000967e-03,6.017300000000000182e+01,3.223929133858268164e-03
8.344000000000000071e-05,3.267599999999999852e-06,9.350900000000000206e-05,7.668234990000000835e+02,1.207800000000000019e-02,6.176699999999999591e+01,3.552811023622047797e-03
8.809999999999998659e-05,3.267599999999999852e-06,1.172399999999999956e-04,7.829198234000000411e+02,1.453300000000000078e-02,6.306399999999999295e+01,4.487102362204724304e-03
9.275999999999999957e-05,2.473400000000000070e-05,1.350400000000000081e-04,7.948796622000000980e+02,1.527599999999999965e-02,6.402700000000000102e+01,4.342755905511811593e-03
9.741999999999999900e-05,9.401000000000000285e-06,1.745899999999999937e-04,8.070193482000000813e+02,2.051500000000000198e-02,6.500499999999999545e+01,6.503503937007873957e-03
1.020799999999999984e-04,2.473400000000000070e-05,2.042500000000000045e-04,8.210699107000000367e+02,2.418000000000000010e-02,6.613800000000000523e+01,7.067559055118110764e-03
1.067399999999999843e-04,2.013400000000000069e-05,2.339200000000000101e-04,8.347158170000000155e+02,2.809100000000000139e-02,6.723600000000000421e+01,8.416771653543307988e-03
1.113999999999999973e-04,3.267599999999999852e-06,2.714899999999999909e-04,8.464733277000000271e+02,3.278600000000000264e-02,6.818399999999999750e+01,1.055993700787401582e-02
1.160599999999999967e-04,1.400099999999999859e-05,3.051099999999999841e-04,8.608386227999999392e+02,3.726800000000000251e-02,6.934000000000000341e+01,1.146098425196850380e-02
1.207199999999999961e-04,2.626800000000000329e-05,3.604799999999999910e-04,8.759682685000000220e+02,4.273099999999999815e-02,7.055899999999999750e+01,1.315795275590551060e-02
1.253799999999999956e-04,3.267599999999999852e-06,3.881700000000000189e-04,8.889397477999999637e+02,4.829499999999999765e-02,7.160399999999999920e+01,1.515363779527559296e-02
1.300399999999999950e-04,1.860100000000000029e-05,4.316799999999999869e-04,9.021360361000000694e+02,5.229099999999999721e-02,7.266700000000000159e+01,1.626295275590551245e-02
1.346999999999999944e-04,1.860100000000000029e-05,4.771600000000000190e-04,9.146129356000000143e+02,5.790599999999999220e-02,7.367300000000000182e+01,1.805350393700787606e-02
