{'temperature':534.67, 'engineering_strain_rate':3600 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
7.240000000000000138e-06,-1.301299999999999933e-06,1.303099999999999941e-05,6.265651638999999662e+00,2.145799999999999954e-04,5.047000000000000375e-01,5.642637795275591084e-04
1.272000000000000019e-05,3.885800000000000133e-06,9.013799999999999994e-06,1.878234233199999892e+01,-1.354700000000000023e-04,1.512899999999999912e+00,2.018897637795275706e-04
2.033999999999999838e-05,6.849800000000000046e-06,2.910099999999999802e-05,5.634612776000000167e+01,-5.004999999999999684e-04,4.538599999999999746e+00,8.760314960629921044e-04
2.642000000000000115e-05,3.515299999999999615e-06,2.106599999999999787e-05,1.158013639900000129e+02,-4.214900000000000048e-04,9.327799999999999869e+00,6.909724409448818284e-04
3.460000000000000076e-05,1.240699999999999996e-05,1.704900000000000228e-05,2.648250019999999836e+02,-5.444799999999999640e-04,2.133099999999999952e+01,1.827559055118111169e-04
3.991999999999999726e-05,2.033199999999999863e-06,2.106599999999999787e-05,4.095345553000000223e+02,6.259899999999999883e-04,3.298799999999999955e+01,7.493228346456692760e-04
4.422000000000000014e-05,5.367799999999999666e-06,9.013799999999999994e-06,5.369562965000000077e+02,8.170000000000000179e-04,4.325100000000000477e+01,1.435433070866141850e-04
4.813999999999999649e-05,1.426000000000000069e-05,1.704900000000000228e-05,6.310388629999999921e+02,9.618699999999999776e-04,5.083100000000000307e+01,1.098031496062992784e-04
5.149999999999999820e-05,1.277800000000000031e-05,3.713700000000000036e-05,6.774844024000000218e+02,1.379299999999999971e-03,5.457100000000000506e+01,9.590157480314961394e-04
5.441999999999999735e-05,3.515299999999999615e-06,3.713700000000000036e-05,6.898938592000000654e+02,3.042599999999999905e-03,5.557000000000000028e+01,1.323688976377953045e-03
5.705999999999999918e-05,1.277800000000000031e-05,7.329399999999999316e-05,6.877581737000000430e+02,4.214700000000000044e-03,5.539800000000000324e+01,2.382519685039369891e-03
5.970000000000000100e-05,1.537099999999999903e-05,4.115399999999999934e-05,6.853751982999999655e+02,5.221199999999999626e-03,5.520799999999999841e+01,1.015078740157480432e-03
6.231999999999999964e-05,5.367799999999999666e-06,7.329399999999999316e-05,6.898039356000000453e+02,7.852199999999998417e-03,5.556300000000000239e+01,2.674259842519684672e-03
6.493999999999999827e-05,1.870600000000000013e-05,7.731199999999999433e-05,6.996280888999999661e+02,7.314699999999999501e-03,5.635499999999999687e+01,2.307322834645669091e-03
