#time, displacement
2.000000000000000042e-08,7.366348195957758007e-08
8.199999999999999417e-06,3.028559607807116151e-05
1.995999999999999863e-05,7.472142591031975345e-05
2.599999999999999840e-05,9.842645949048906971e-05
3.863999999999999596e-05,1.510619395506361269e-04
4.445999999999999784e-05,1.770741523875183948e-04
4.989999999999999319e-05,2.026227633769636237e-04
5.913999999999999959e-05,2.514441737685736136e-04
6.375999999999999940e-05,2.817164499504946126e-04
6.873999999999999577e-05,3.213794157411448528e-04
7.394000000000000019e-05,3.728904272382671330e-04
7.855999999999999323e-05,4.292881685570410465e-04
8.309999999999998703e-05,4.962158259545676985e-04
8.763999999999999438e-05,5.762145318028922191e-04
9.218000000000000174e-05,6.709396047911641518e-04
9.671999999999999554e-05,7.820463636085330395e-04
1.012600000000000029e-04,9.110990414558209393e-04
1.057999999999999967e-04,1.058638478252757909e-03
1.103400000000000040e-04,1.224561724074602238e-03
1.148799999999999843e-04,1.408755815175550576e-03
1.194199999999999917e-04,1.611107787809802280e-03
1.239599999999999990e-04,1.831504678231554327e-03
1.285000000000000064e-04,2.069833522695004556e-03
1.330399999999999866e-04,2.325981357745829023e-03
1.375799999999999940e-04,2.599966861035691960e-03
1.421200000000000013e-04,2.892314825333490783e-03
1.466599999999999816e-04,3.203671656905111419e-03
1.511999999999999889e-04,3.534683762016444138e-03
1.557399999999999963e-04,3.885997546933374867e-03
1.602800000000000036e-04,4.258259417921791273e-03
1.648199999999999839e-04,4.652115781247577117e-03
1.693600000000000183e-04,5.068213043176627436e-03
1.738999999999999986e-04,5.507197609974820787e-03
1.829799999999999862e-04,6.453653571229894283e-03
1.875199999999999935e-04,6.957344156658263473e-03
1.920600000000000009e-04,7.478209975227269150e-03
1.965999999999999812e-04,8.013899587324079671e-03
2.011399999999999885e-04,8.562061553335867728e-03
2.056799999999999959e-04,9.120344433649799076e-03
2.102199999999999761e-04,9.686396788653043807e-03
2.147599999999999835e-04,1.025786717873277201e-02
2.192999999999999908e-04,1.083241716639885346e-02
2.238399999999999982e-04,1.140838698420919284e-02
2.283799999999999784e-04,1.198511427599704450e-02
2.329199999999999858e-04,1.256201641340135185e-02
2.374599999999999931e-04,1.313851076806105134e-02
2.420000000000000005e-04,1.371401471161507769e-02
2.465400000000000078e-04,1.428794561570236911e-02
2.510799999999999881e-04,1.485972085196185684e-02
2.556199999999999683e-04,1.542875779203248428e-02
2.601600000000000028e-04,1.599447380755319309e-02
2.646999999999999830e-04,1.655628628374434391e-02
2.692400000000000175e-04,1.711391317956064903e-02
2.737799999999999435e-04,1.766814883798075234e-02
2.783199999999999780e-04,1.822002845534785587e-02
2.828600000000000125e-04,1.877058722800511309e-02
2.873999999999999385e-04,1.932086035229567747e-02
2.919399999999999730e-04,1.987188302456274064e-02
2.964800000000000074e-04,2.042469044114946647e-02
3.010199999999999877e-04,2.098031779839900843e-02
3.055599999999999679e-04,2.153980029265454427e-02
3.101000000000000024e-04,2.210417312025924133e-02
3.146399999999999826e-04,2.267420793738454676e-02
3.191800000000000171e-04,2.324922767483990696e-02
3.237199999999999973e-04,2.382806007793735609e-02
3.328000000000000120e-04,2.499247214339667122e-02
3.373399999999999381e-04,2.557570643692756371e-02
3.418799999999999725e-04,2.615806265843867440e-02
3.464200000000000070e-04,2.673836812351450265e-02
3.509599999999999873e-04,2.731545014773956517e-02
3.554999999999999675e-04,2.788813604669839602e-02
3.600400000000000020e-04,2.845555618628001215e-02
3.645799999999999822e-04,2.901861795726276561e-02
3.691199999999999625e-04,2.957887445545993518e-02
3.736599999999999969e-04,3.013787969310739723e-02
3.781999999999999772e-04,3.069718768244101767e-02
3.827400000000000116e-04,3.125835243569666938e-02
3.872799999999999377e-04,3.182292796511021482e-02
3.918199999999999721e-04,3.239246828291755115e-02
3.963600000000000066e-04,3.296852733568374216e-02
4.008999999999999326e-04,3.355203730067168183e-02
4.054399999999999671e-04,3.414178634995221340e-02
4.099800000000000015e-04,3.473610086920681655e-02
4.145199999999999818e-04,3.533330724411701956e-02
4.190599999999999620e-04,3.593173186036430905e-02
4.235999999999999965e-04,3.652970110363022715e-02
4.281399999999999768e-04,3.712554135959627438e-02
4.326800000000000112e-04,3.771757901394397899e-02
4.372199999999999915e-04,3.830414045235482762e-02
4.417599999999999717e-04,3.888362259670807147e-02
4.463000000000000062e-04,3.945569140436483435e-02
4.508399999999999322e-04,4.002111199257306351e-02
4.553799999999999667e-04,4.058068581954565185e-02
4.599200000000000011e-04,4.113521434349543676e-02
4.644599999999999814e-04,4.168549902263529033e-02
4.689999999999999616e-04,4.223234131517805690e-02
4.735399999999999961e-04,4.277654267933660853e-02
4.780799999999999763e-04,4.331890457332379651e-02
4.826199999999999566e-04,4.386022845535247211e-02
4.839599999999999675e-04,4.401992125984251908e-02
