{'temperature':534.67, 'engineering_strain_rate':1800 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.877999999999999976e-05,3.815899999999999329e-06,6.472599999999999659e-06,3.042340197000000401e+01,-4.275500000000000112e-04,2.455200000000000049e+00,1.045944881889763946e-04
3.176000000000000085e-05,-3.850899999999999840e-06,6.472599999999999659e-06,1.580879368900000088e+02,1.752700000000000007e-05,1.275799999999999912e+01,4.064370078740157824e-04
3.957999999999999713e-05,6.882599999999999969e-06,2.031599999999999997e-05,3.293901468000000250e+02,2.104899999999999989e-04,2.658300000000000196e+01,5.288740157480314921e-04
4.520000000000000092e-05,2.282500000000000169e-06,1.240500000000000066e-05,4.890270177000000444e+02,7.007899999999999633e-04,3.946600000000000108e+01,3.985236220472440833e-04
5.069999999999999908e-05,1.148300000000000000e-05,2.229300000000000154e-05,6.345234024999999747e+02,9.336400000000000124e-04,5.120700000000000074e+01,4.255905511811024374e-04
5.538000000000000171e-05,1.301599999999999871e-05,2.229300000000000154e-05,7.037870553999999856e+02,1.683500000000000101e-03,5.679699999999999704e+01,3.652362204724410419e-04
7.068000000000000769e-05,6.882599999999999969e-06,5.591199999999999594e-05,7.163089167000000543e+02,6.368399999999999755e-03,5.780799999999999983e+01,1.930291338582677081e-03
7.509999999999999586e-05,1.914900000000000250e-05,8.359899999999999699e-05,7.239299417999999378e+02,8.460799999999999224e-03,5.842199999999999704e+01,2.537401574803149415e-03
7.951999999999999759e-05,1.148300000000000000e-05,8.755399999999999554e-05,7.313936006000000134e+02,1.141900000000000033e-02,5.902399999999999380e+01,2.994921259842519678e-03
8.393999999999999931e-05,1.301599999999999871e-05,1.132599999999999964e-04,7.502101139000000103e+02,1.388000000000000171e-02,6.054299999999999926e+01,3.946614173228346796e-03
8.836000000000000104e-05,7.492000000000000648e-07,1.310600000000000090e-04,7.713646407999999610e+02,1.725800000000000251e-02,6.225000000000000000e+01,5.130346456692914427e-03
9.278000000000000277e-05,5.349199999999999539e-06,1.528099999999999955e-04,7.873935225000000173e+02,1.923199999999999910e-02,6.354399999999999693e+01,5.805543307086614632e-03
9.720000000000000450e-05,3.295000000000000131e-05,1.844600000000000059e-04,8.020735502000001134e+02,1.974099999999999813e-02,6.472899999999999920e+01,5.964960629921259305e-03
1.016200000000000062e-04,3.295000000000000131e-05,2.338999999999999933e-04,8.196311331000000564e+02,2.527100000000000180e-02,6.614600000000000080e+01,7.911417322834644883e-03
1.060400000000000079e-04,2.282500000000000169e-06,2.516899999999999975e-04,8.374584867999999460e+02,3.146399999999999891e-02,6.758499999999999375e+01,9.819192913385826199e-03
1.104599999999999826e-04,2.988300000000000171e-05,2.991599999999999750e-04,8.547238180000000511e+02,3.464400000000000118e-02,6.897700000000000387e+01,1.060145669291338334e-02
1.148799999999999843e-04,6.882599999999999969e-06,3.347499999999999781e-04,8.702131581000001006e+02,4.092500000000000304e-02,7.022700000000000387e+01,1.290816535433070809e-02
1.192999999999999860e-04,2.068300000000000170e-05,3.802400000000000051e-04,8.876358556000000135e+02,4.544200000000000322e-02,7.163299999999999557e+01,1.415578740157480246e-02
1.237199999999999878e-04,1.454900000000000080e-05,4.237399999999999782e-04,9.034399283000000196e+02,5.097799999999999554e-02,7.290899999999999181e+01,1.610988188976377952e-02
1.281399999999999759e-04,1.914900000000000250e-05,4.731800000000000199e-04,9.171083155000000033e+02,5.586599999999999899e-02,7.401300000000000523e+01,1.787523622047244160e-02
1.325599999999999912e-04,2.528300000000000171e-05,5.087800000000000178e-04,9.316309769000000642e+02,6.127999999999999420e-02,7.518500000000000227e+01,1.903531496062992046e-02
1.369799999999999794e-04,3.295000000000000131e-05,5.641500000000000247e-04,9.450745550999999978e+02,6.691500000000000226e-02,7.626899999999999125e+01,2.091338582677165422e-02
1.413999999999999947e-04,2.068300000000000170e-05,6.155699999999999627e-04,9.589452704000001404e+02,7.266200000000000436e-02,7.738899999999999579e+01,2.342074803149606435e-02
1.458199999999999828e-04,2.068300000000000170e-05,6.551200000000000296e-04,9.719392305999999735e+02,7.755599999999999994e-02,7.843600000000000705e+01,2.497783464566929318e-02
1.502399999999999981e-04,2.374900000000000250e-05,7.085200000000000265e-04,9.838316267000001289e+02,8.367800000000000238e-02,7.939699999999999136e+01,2.695948818897637989e-02
1.546599999999999863e-04,3.754999999999999793e-05,7.619099999999999744e-04,9.961736408000000438e+02,8.926499999999999713e-02,8.039300000000000068e+01,2.851811023622047303e-02
1.590800000000000016e-04,3.295000000000000131e-05,8.014600000000000413e-04,1.007256724500000018e+03,9.454800000000000704e-02,8.128799999999999670e+01,3.025629921259842536e-02
1.634999999999999897e-04,3.141599999999999872e-05,8.509000000000000287e-04,1.018137480099999948e+03,1.006299999999999972e-01,8.216599999999999682e+01,3.226314960629921014e-02
1.679199999999999779e-04,3.601600000000000211e-05,8.924300000000000462e-04,1.027601939000000129e+03,1.057099999999999845e-01,8.292799999999999727e+01,3.371708661417322644e-02
1.723399999999999932e-04,3.908300000000000511e-05,9.438499999999999841e-04,1.036953993400000172e+03,1.110599999999999921e-01,8.368500000000000227e+01,3.562074803149606339e-02
1.767599999999999814e-04,3.448300000000000171e-05,9.893300000000000705e-04,1.045788987099999986e+03,1.164099999999999857e-01,8.439799999999999613e+01,3.759240157480315397e-02
1.811799999999999967e-04,2.988300000000000171e-05,1.046700000000000018e-03,1.055051117900000236e+03,1.220599999999999880e-01,8.514399999999999125e+01,4.003216535433070516e-02
1.900200000000000001e-04,3.601600000000000211e-05,1.133700000000000072e-03,1.072091640099999950e+03,1.332699999999999996e-01,8.651999999999999602e+01,4.321590551181102302e-02
1.944399999999999883e-04,3.601600000000000211e-05,1.197000000000000147e-03,1.080364611299999979e+03,1.389299999999999979e-01,8.718799999999998818e+01,4.570803149606299937e-02
1.988600000000000036e-04,4.061599999999999873e-05,1.224700000000000007e-03,1.089244566800000030e+03,1.442200000000000149e-01,8.790500000000000114e+01,4.661748031496062983e-02
2.032799999999999917e-04,4.061599999999999873e-05,1.278099999999999896e-03,1.097472576200000049e+03,1.490799999999999903e-01,8.856700000000000728e+01,4.871984251968503737e-02
2.076999999999999799e-04,3.908300000000000511e-05,1.329499999999999953e-03,1.105363372099999879e+03,1.541599999999999915e-01,8.920499999999999829e+01,5.080381889763779107e-02
2.121199999999999952e-04,3.141599999999999872e-05,1.373000000000000088e-03,1.113591381500000125e+03,1.602200000000000013e-01,8.987000000000000455e+01,5.281826771653543723e-02
2.165399999999999834e-04,4.215000000000000132e-05,1.418500000000000056e-03,1.119683705400000235e+03,1.654700000000000060e-01,9.035999999999999943e+01,5.418700787401575791e-02
2.209599999999999986e-04,4.674999999999999794e-05,1.477799999999999817e-03,1.126855112500000132e+03,1.702500000000000124e-01,9.093899999999999295e+01,5.634055118110235794e-02
2.253799999999999868e-04,5.441600000000000213e-05,1.525300000000000050e-03,1.133824191500000097e+03,1.761699999999999933e-01,9.150100000000000477e+01,5.790881889763779822e-02
2.298000000000000021e-04,3.448300000000000171e-05,1.566799999999999920e-03,1.139466897400000107e+03,1.814599999999999824e-01,9.195799999999999841e+01,6.032744094488188408e-02
2.342199999999999903e-04,4.521600000000000212e-05,1.628099999999999947e-03,1.145671625799999902e+03,1.874800000000000078e-01,9.245700000000000784e+01,6.231826771653543179e-02
2.386399999999999784e-04,4.061599999999999873e-05,1.659700000000000064e-03,1.151359293500000149e+03,1.927900000000000169e-01,9.291599999999999682e+01,6.374346456692914220e-02
2.430599999999999937e-04,5.441600000000000213e-05,1.715100000000000001e-03,1.156125244300000077e+03,1.980500000000000038e-01,9.330100000000000193e+01,6.538125984251969003e-02
2.474799999999999548e-04,4.061599999999999873e-05,1.758599999999999920e-03,1.161790431099999978e+03,2.029200000000000170e-01,9.375900000000000034e+01,6.763716535433070276e-02
2.518999999999999972e-04,4.215000000000000132e-05,1.804100000000000105e-03,1.167410656099999869e+03,2.085100000000000009e-01,9.421200000000000330e+01,6.936811023622048433e-02
2.563199999999999854e-04,5.135000000000000133e-05,1.853500000000000113e-03,1.171682027099999914e+03,2.136599999999999888e-01,9.455599999999999739e+01,7.095078740157481634e-02
2.607399999999999735e-04,6.361699999999999755e-05,1.898999999999999863e-03,1.176695267800000011e+03,2.187000000000000055e-01,9.496200000000000330e+01,7.225917322834644885e-02
2.651600000000000159e-04,5.441600000000000213e-05,1.946499999999999880e-03,1.180134845499999983e+03,2.251400000000000068e-01,9.523799999999999955e+01,7.449149606299211579e-02
2.695799999999999499e-04,6.208300000000000851e-05,2.003800000000000026e-03,1.184316292900000235e+03,2.309300000000000241e-01,9.557700000000001239e+01,7.644555118110235581e-02
2.739999999999999923e-04,6.668299999999999835e-05,2.049300000000000427e-03,1.189014801000000034e+03,2.359900000000000053e-01,9.595499999999999829e+01,7.805578740157481654e-02
2.784199999999999804e-04,6.514999999999999795e-05,2.102699999999999882e-03,1.192297012400000085e+03,2.422099999999999809e-01,9.622100000000000364e+01,8.021850393700787063e-02
2.828399999999999686e-04,5.441600000000000213e-05,2.160099999999999867e-03,1.196163727200000039e+03,2.486300000000000177e-01,9.653299999999998704e+01,8.290094488188977373e-02
2.872599999999999568e-04,6.361699999999999755e-05,2.219400000000000279e-03,1.200142846500000132e+03,2.546199999999999575e-01,9.685399999999999920e+01,8.487334645669292188e-02
2.916799999999999992e-04,6.514999999999999795e-05,2.255000000000000060e-03,1.204436698400000068e+03,2.598799999999999999e-01,9.720000000000000284e+01,8.621456692913385955e-02
2.960999999999999873e-04,6.668299999999999835e-05,2.314300000000000038e-03,1.207943718799999942e+03,2.654900000000000038e-01,9.748299999999998988e+01,8.848885826771653307e-02
