load at 0.005 in, ultimate load
2.335480078958240483e+03, 3.014050821935009935e+03
2.484453701185281716e+03, 2.888626531663940114e+03
2.652671870352416136e+03, 3.100928720983859876e+03
2.579581847910406395e+03, 3.234236472522290114e+03
2.641696685290178266e+03, 3.254512965857969903e+03
2.628971004959184029e+03, 3.216932331023149800e+03
