load at 0.005 in, ultimate load
2.672837668037671392e+03, 3.384780747244929898e+03
2.757939468575037608e+03, 3.415762010175879823e+03
2.713934638611507125e+03, 3.365417101160619950e+03
2.696427476490282515e+03, 3.271900532550840126e+03
2.738036408137713352e+03, 3.337010383616130184e+03
2.673542171544010671e+03, 3.385524329169029897e+03
