load at 0.005 in, ultimate load
2.627395563289871461e+03, 3.065568952622069901e+03
2.707856993293246887e+03, 3.167054164012799902e+03
2.526380477455729761e+03, 2.976933855545330061e+03
2.590261239146721891e+03, 3.110462244767169977e+03
2.591721258709701488e+03, 3.077918954853650121e+03
2.640357759136694767e+03, 3.147790189080989876e+03
