{'temperature':533.0699999999999, 'direction':'R11' }
time,displacement,load,engineering_strain,engineering_stress
2.37338252e+04,0.0741,203.9462,7.41e-05,4.25629606842378
23734.8252,0.1234,242.1033,0.0001234,5.0526233091983235
23735.8252,0.2139,280.9183,0.0002139,5.862680725790881
23736.8252,0.2468,319.0754,0.0002468,6.659007966565423
23737.8252,0.3372,355.9167,0.0003372,7.427874855703936
23738.8252,0.4359,391.1134,0.0004359,8.162419435752456
23739.8252,0.4359,422.6917,0.0004359,8.821449092286908
23740.8252,0.4853,448.0201,0.00048530000000000003,9.350045209005263
23741.8251,0.5839,470.388,0.0005838999999999999,9.816856578027563
23742.8251,0.5757,486.1772,0.0005757,10.146372449779806
23743.8251,0.6415,497.0322,0.0006414999999999999,10.372913046381948
23744.8251,0.6086,501.3085,0.0006086,10.46215814571403
23745.8251,0.6251,500.6506,0.0006251,10.448427969896015
23746.825,0.6415,491.4402,0.0006414999999999999,10.256209682383865
23747.825,0.5675,478.9405,0.0005675,9.9953446897217
23748.825,0.5346,460.8488,0.0005346,9.61777633306145
23749.825,0.477,436.8361,0.000477,9.116638481009097
23750.825,0.403,408.2183,0.00040300000000000004,8.519393572170696
23751.825,0.3455,373.0216,0.0003455,7.784848992122177
23752.825,0.2961,339.1408,0.0002961,7.077766850679717
23753.8249,0.1892,301.3126,0.00018920000000000002,6.288303654329167
23754.825,0.1728,263.8134,0.0001728,5.505706589372639
23755.8249,0.0576,224.6695,5.76e-05,4.688785128356089
23773.8246,0.0576,203.2883,5.76e-05,4.242565892605766
23774.8246,0.1481,244.077,0.00014810000000000002,5.093813836652368
23775.8246,0.1728,282.2341,0.0001728,5.89014107742691
23776.8246,0.2632,319.7333,0.0002632,6.672738142383438
23777.8246,0.3126,356.2457,0.0003126,7.434740987097959
23778.8246,0.3619,390.1265,0.0003619,8.14182312854042
23779.8245,0.4441,421.7048,0.0004441,8.800852785074872
23780.8245,0.5099,449.6648,0.0005099,9.384369605065286
23781.8246,0.5182,469.4012,0.0005182,9.796262357785556
23782.8245,0.5757,488.4798,0.0005757,10.194427021657843
23783.8245,0.6004,496.7033,0.0006004000000000001,10.366049001957956
23784.8244,0.6251,502.2953,0.0006251,10.482752365956038
23785.8244,0.6004,500.3216,0.0006004000000000001,10.441561838501995
23786.8244,0.6333,493.0849,0.0006332999999999999,10.290534078443889
23787.8244,0.5428,479.9273,0.0005428,10.015938909963708
23788.8244,0.5511,461.8356,0.0005511,9.638370553303458
23789.8245,0.4935,437.494,0.0004935,9.130368656827113
23790.8244,0.4359,407.8893,0.0004359,8.512527440776676
23791.8243,0.3208,375.3242,0.0003208,7.832903564000215
23792.8243,0.2961,340.7855,0.0002961,7.11209124673974
23793.8243,0.1892,301.3126,0.00018920000000000002,6.288303654329167
23794.8243,0.107,261.5108,0.000107,5.457652017494603
23795.8243,0.0659,224.0116,6.59e-05,4.675054952538074
23814.324,0.0988,222.3669,9.88e-05,4.640730556478051
23815.324,0.1317,263.4844,0.0001317,5.498840457978618
23816.324,0.1974,301.3126,0.0001974,6.288303654329167
23817.3239,0.3043,339.7986,0.0003043,7.091494939527704
23818.324,0.3537,374.6663,0.00035370000000000003,7.819173388182199
23819.3239,0.4359,407.5604,0.0004359,8.505663396352682
23820.3239,0.4688,434.8625,0.0004688,9.07545004052508
23821.3239,0.5099,458.5462,0.0005099,9.569721761183413
23822.3239,0.5264,479.2694,0.0005264,10.002208734145693
23823.3238,0.6004,493.7428,0.0006004000000000001,10.304264254261904
23824.3238,0.6333,500.3216,0.0006332999999999999,10.441561838501995
23825.3238,0.6333,502.9532,0.0006332999999999999,10.496482541774053
23826.3238,0.5757,498.0191,0.0005757,10.393509353593984
23827.3238,0.6004,487.493,0.0006004000000000001,10.173832801415834
23829.3238,0.5264,449.3358,0.0005264,9.377503473671263
23830.3237,0.4441,422.3627,0.0004441,8.814582960892887
23831.3237,0.4195,391.1134,0.0004195,8.162419435752456
23832.3237,0.3372,358.2193,0.0003372,7.475929427581973
23833.3237,0.2797,321.378,0.0002797,6.707062538443461
23834.3237,0.2057,282.563,0.00020569999999999999,5.897005121850904
23835.3237,0.1152,243.0901,0.0001152,5.073217529440331
23836.3237,0.0001,203.2883,1.0000000000000001e-07,4.242565892605766
23859.1833,0.3372,350.6537,0.0003372,7.318037623099876
23859.9233,0.7073,553.2811,0.0007073,11.54681073078677
23860.6833,1.1185,752.6191,0.0011185000000000001,15.706935046353617
23861.4232,1.4721,937.8127,0.0014721,19.571869973198275
23862.1832,1.8504,1121.3617,0.0018504,23.402482590952943
23862.9232,2.204,1300.6344,0.0022040000000000002,27.143850109375524
23863.6832,2.5905,1474.6441,0.0025905,30.775380395194045
23864.4232,2.9276,1637.7989,0.0029276,34.180372171380455
23865.1833,3.3142,1789.4407,0.0033142000000000002,37.34509108817668
23865.9232,3.6924,1908.1884,0.0036924,39.82331999680241
23866.6832,4.1694,1992.7263,0.0041694,41.587600632591666
23867.4231,4.6957,2047.3305,0.004695700000000001,42.72717392093647
23868.1832,5.2385,2083.843,0.0052385,43.489178852621016
23868.9231,5.7565,2108.5136,0.0057565,44.00404688049139
23869.6831,6.3651,2128.2501,0.0063651,44.41594172018169
23870.4231,6.9572,2141.7367,0.0069572,44.69740302005589
23871.1831,7.5822,2151.6049,0.0075822,44.90334939641602
23871.9231,8.24,2160.4863,0.00824,45.088701552534154
23872.6831,8.8568,2166.0783,0.0088568,45.20540491653224
23873.4231,9.4489,2174.6308,0.0094489,45.38389302822637
23874.1831,10.1232,2176.2755,0.0101232,45.41821742428639
23874.923,10.7482,2182.5254,0.010748200000000001,45.548650964102485
23875.683,11.4308,2186.1437,0.0114308,45.62416380064653
23876.423,12.0475,2188.7753,0.0120475,45.67908450391858
23877.183,12.7219,2192.3936,0.0127219,45.754597340462624
23877.923,13.3551,2196.3409,0.0133551,45.836976308400686
23878.683,14.0787,2198.9724,0.0140787,45.89189492470272
23879.423,14.679,2201.604,0.014679000000000001,45.946815627974765
23880.183,15.3534,2202.5908,0.015353400000000001,45.96740984821678
23880.9229,15.9948,2206.2091,0.0159948,46.042922684760825
23881.683,16.7103,2205.8802,0.0167103,46.03605864033683
23882.4229,17.2695,2210.4854,0.0172695,46.13216778409291
23883.1829,17.9602,2211.1433,0.0179602,46.145897959910926
23883.9229,18.5934,2212.1301,0.0185934,46.16649218015292
23884.6829,19.2513,2215.4195,0.0192513,46.235140972272966
23885.4229,19.901,2217.3931,0.019901,46.27632941275698
23886.1829,20.526,2220.3536,0.020526,46.33811416045303
23886.9229,21.2085,2222.6562,0.0212085,46.38616873233107
23887.6829,21.8417,2223.972,0.0218417,46.41362908396711
23888.4229,22.4996,2227.5903,0.0224996,46.48914192051114
23889.1828,23.0917,2228.2482,0.0230917,46.502872096329156
23889.9228,23.7331,2229.235,0.0237331,46.52346631657117
23890.6828,24.3992,2231.2087,0.0243992,46.564656844025215
23891.4228,25.0078,2234.4981,0.0250078,46.63330563614525
23892.1828,25.6328,2234.1691,0.0256328,46.62643950475123
23892.9228,26.2331,2236.1428,0.0262331,46.66763003220528
23893.6828,26.9156,2237.4586,0.0269156,46.69509038384131
23894.4227,27.5242,2239.7611,0.027524200000000002,46.74314286874932
23895.1828,28.1903,2242.3927,0.0281903,46.79806357202138
23895.9227,28.7824,2244.3663,0.0287824,46.8392520125054
23896.6627,29.3991,2244.3663,0.0293991,46.8392520125054
23898.1828,30.6656,2246.9979,0.0306656,46.894172715777444
23898.9226,31.307,2251.932,0.031307,46.99714590395751
23899.6827,31.9155,2251.603,0.0319155,46.990279772563504
23900.4227,32.5241,2253.2477,0.0325241,47.02460416862351
23901.1826,33.182,2254.8924,0.033182,47.05892856468355
23901.9226,33.807,2258.1819,0.033807000000000004,47.12757944377361
23902.6826,34.4319,2256.8661,0.0344319,47.1001190921376
23903.4226,35.0652,2260.1555,0.0350652,47.168767884257626
23904.1826,35.6655,2261.1423,0.0356655,47.18936210449964
23904.9226,36.2822,2264.1028,0.0362822,47.251146852195696
23905.6825,36.899,2265.4186,0.036899,47.27860720383172
23906.4225,37.5487,2266.7343,0.0375487,47.30606546849772
23907.1825,38.1325,2267.3922,0.0381325,47.31979564431573
23907.9225,38.774,2268.379,0.038774,47.34038986455774
23908.6826,39.3907,2269.3659,0.0393907,47.36098617176978
23909.4225,40.0568,2270.6816,0.040056800000000004,47.38844443643578
23910.1825,40.6489,2272.9842,0.040648899999999995,47.43649900831382
23910.9225,41.2492,2274.3,0.0412492,47.463959359949854
23911.6825,41.9153,2276.2736,0.0419153,47.50514780043387
23912.4225,42.5403,2277.9183,0.0425403,47.53947219649388
23913.1825,43.1571,2278.9052,0.0431571,47.56006850370593
23913.9224,43.741,2279.563,0.043741,47.57379659255391
23914.6825,44.4235,2281.2078,0.0444235,47.60812307558397
23915.4224,45.0238,2280.8788,0.0450238,47.60125694418994
23916.1824,45.6735,2282.1946,0.0456735,47.62871729582597
23916.9224,46.282,2284.8261,0.046282,47.683635912128004
23917.6824,46.907,2283.1814,0.046907,47.64931151606798
23918.4223,47.5402,2286.1419,0.0475402,47.711096263764034
23919.1823,48.1899,2287.4576,0.0481899,47.738554528430036
23919.9223,48.7655,2288.4445,0.0487655,47.759150835642075
23920.6823,49.4152,2288.4445,0.0494152,47.759150835642075
23921.4224,50.0484,2291.4049,0.0500484,47.82093349636809
23922.1823,50.6652,2292.7207,0.0506652,47.848393848004115
23922.9223,51.3148,2292.3918,0.0513148,47.84152980358012
23923.6823,51.9316,2293.3786,0.0519316,47.86212402382214
23924.4222,52.5401,2294.3654,0.0525401,47.88271824406415
23925.1822,53.2145,2295.0233,0.0532145,47.896448419882155
23925.9222,53.8148,2297.6548,0.053814799999999996,47.95136703618418
23926.6822,54.4316,2296.0101,0.054431600000000004,47.91704264012417
23927.4222,55.0483,2299.6285,0.055048299999999994,47.99255756363823
